content,polarity
"Waktu itu breakfast disini ketika menginap di GH Universal. Pemandangan jangan ditanya. Selain menghadap kota bandung, interior di dalam restoran ini juga sangat mewah. Recommend banget deh. Apalagi untuk dinner di chapel nya. Wajib dicoba",positive
Tempat yang sangat bagus untuk di kunjungi bersama pasangan ataupun keluarga maupun bisnis Terletak di jalur wisata yg cukup stategis Cukup dekat dari pusat kota bandung Dan harga yang cukup bersahabat bagi anda yg mau dinner bersama pasangan maupun rekan bisnis,positive
"mengabadikan moment bersama keluarga, dan memberikan kejutan ultah untuk ibu. alhamdulillah lancar, berkat bantuan para mas dan mba. trimakasih ya atas keramahannya, best view. rasanya pgn foto2 d stiap tempat. makananya juga enak jadi pgn nambah kalo gratis. hehee",positive
Bellevue restaurant di lantai lima Pelayanan pak Usep somantrianan mantap banget Makanan nya enak. Saya suka ikan salmon nya Wine nya juga bervariasi Bellevue ini buka 24 jam Next nge wine bareng temen.,positive
Bellevue restaurant dengan pelayanan yang luar biasa dan menyajikan makanan ala perancis dan italia Makasih pak usep somantrianan atas pemayann dan informasi tentang restaurant bellevue Makanan nya enak enak dan pemandangan nya menghadap ke kota bandung. Romantissssss abisssss,positive
"Tempatnya Bagus kalo malem dingin dan melihat pemandangan kota bandung yang indah top pokoknya, makanan nya juga recommended, harga untuk kelas menengah. banyak yang dateng untuk foto foto.",positive
Hello gh lovers Ini bellevue restaurant best makanan italy dan perancis terletak di labtai 5 Terima kasih pak usep simantriana atas pelayanan nya Makanan oke Nuansa nya enak. Romantis Seneng bisa menikmatin makanan itali dan peancis. Escargot dan fillet mignon nya enak. Daging bya empuk,positive
Chapel adalah pilihan kami untuk merayakan hari ulang tahun suami tercinta Restaurant bellevue oke banget yang ada di lantai lima hotel gh universal Service nya ok. Pelayanan sebelum kami datang sangat sempurna terima kasih pak Usep somantriana semua permintaan di lengkapi dan sempurna sesuai banget sampe hal yang terkecil Sampai jumpa yah.,positive
Restaurant bellevue yang ada d gh universal hotel. Tempat nya bagus. Makannya enak. Pelayanan nya ramah. Terima kasih pak usep somantriana untuk pelayanan nya dan mengiformasikan restaurant dan item makan nya Keren hotel dan restaurant nya,positive
Italian resto yg terletak di lantai 5 GH Universal Hotel Bandung. Menyajikan italian food yg dilengkapi dengan menu beer and wine. Jika anda ke sana malam hari pastikan anda menggunakan pakaian yg cukup karena cuacanya cukup dingin.,positive
"kami sengaja ingin berlibur singkat ke bandung, tak terasa tiba di bandung pukul 11 siang. perut pun mulai terasa lapar, kami pun memutuskan untuk mampir makan siang di restoran bergaya eropa yang terletak di jalan setiabudi tepatnya di GH Universal Bandung. Restoran Bellevue merupakan restoran yang ada didalam hotel GH Universal. dengan masuk kedalamnya kami di sambut oleh pelayan yang. Lanjutan",positive
"Bellevue yang ada di hotel gh universal lantai lima tempat nya bagus, makan nya enak dengan ala perancis dan itali kami d antar oleh mba febby yang sedang bertugas di front office, service nya cepat dan kami merasa puas, minuman nyapun enak enak, pokokyna rekomendasi deh.",positive
"Thanks pak usep somantriana atas pelayanan nya, makan an breakfast di lantai lima yang bervariasi dan menunya pun yang banyak, di tambah pemandangan yang indah, nuansa restaurant nya cocok dengan konsep hotel dengan menu ala perancis dan italia, mercy pak usep",positive
"saya datang ke sini hari senin sekitar jam 2 siang, restoran belum ramai hanya ada 1 tamu yang makan disana juga saat itu, resto ini ada dilantai 5 (rooftop resto), untuk yang tidak menginap di GH, atau tamu umum dari luar kita dikenakan minimum payment Rp 150.000/orang. saat masuk interiornya mewah dan bagus. cocok deh buat kalian yang mau makan. Lanjutan",positive
"Restonya ok,makanannya banyak,pegawainya ramah2.pas kebetulan lg ada halloween theme.nice place to visit",positive
"bulan Ramadhan kemarin sy dan teman sekantor mengadakan buka puasa disini. makanan yg ditawarkan bervariatif, dari sop iga, asinan, dan yg paling saya suka sorbet mangga nya.enak banget sebelumnya kita bisa berfoto di area hotel. desain hotelnya instagramable,",positive
"Makanan yg disajikan ada menu barat dan sunda, belle vue trdpat d dlm hotel gh universl hotel bergaya eropa d tngh kota bndung sngt cocok untuk hang out dan fto fto bgus bngt tmptny",positive
"Saya berkunjung kesini untuk merayakan hari ulang tahun ibu saya. Kami mereservasi dari sore hari untuk dinner, dan memilih spot yang menurut kami paling bagus dan terkesan mewah. Makanan disini bisa dibilang mahal dibandingkan dengan restoran pada umumnya. Tapi untuk acara spesial, tentunya worthed, karena interior dan pemandangannya sangat indah, membuat kita betah berlama2 untuk berselfie dan berwefie ria. Pelayanannya. Lanjutan",positive
keren. viewnya bagus banget. udah ada welcome drinknya. banyak perbaikan disini. kamar gedein dong hehe. mantaap berasa di erop,positive
"Restoran Belle Vue ini terletak di Rooftop GH Universal Hotel, dan tetap mengusung konsep Eropa. Pemandangan yang didapat juga bagus dan makanan di sini juga lezat. Bagi yang datang bersama pasangan, wajib dinner di sini, suasana romantisnya dapet banget deh.",positive
pemandangan bagus dan saat malam hari bisa melihat kota indahnya bandung dari ketinggian.sayang untuk menunya masih kurang variatif dan tastenya masih kurang.,positive
"sajian yang disajikan beraneka macam , termasuk asian food , western food , dan masih banyak yang lainnya selain itu pemandangan nya langsung menghdap kota bandung . sangat cocok menikmati di malam hari",positive
"Restaurant ini letaknya di rooftop GH Universal hotel. Pemandangan di sini bagus banget. Dekorasinya ala-ala Eropa. Cocok buat foto-foto. Untuk soal makanan rasanya standar, saya paling suka dengan chicken wingsnya. Bumbunya meresap hingga ke tulang. Lychee ice tea nya juga enak banget. Kalau harga ya termasuk mahal.",positive
