content,polarity
"Sebelumnya saya sudah pernah berdua sama istri, lalu pada saat libur 1 januari punya ide untuk bawa Orang tua, adik dan anak-anak saya kecil kecil. Perjuangan memang macet dari simpang dago sampai dago atas karena bottle neck setelah terminal dago. tapi langsung puas setelah sampai di lokasi. sampai di lokasi jam 12 siang, sayangnya menurut staff resto bahwa baru bisa. Lanjutan",positive
"Tidak sulit menuju lokasi kecuali jalan dari Dagonya yang muacet, persis didepan gerbang so klu gak bawa kendaraan pun taxinya gak bakal complain nganter. Datang menjelang senja jauh lebih sahdu n romantis banget ditemanin live music yang menemani santap malam kita. Suasananya dapet lah, memang makanannya tidak bisa dibilang luar biasa tapi ok dilidah.",positive
Tempat yg paling dekat dari Kota Bandung untuk melihat suana Bandung di Malam Hari ada Live Music nya juga,positive
"Saat merayakan tahun baru 2016 kesini doubledate gt dengan paket min order 400.000/couple, wort it banget lah, terus kesini lagi buat celebrate ulangtaun 2 ma sang suami, tempatnya asik banget, suka ada live musik, untuk beberapa tempat duduk bisa liat cityligh, untuk harga relatif lah, berdua 300K, uda makan steak tuhh",positive
"Saya bersama keluarga mengunjungi restaurant ini pada tanggal 26 november 2016 yang lalu. Ambience restaurant sangat menyenangkan dengan ruang privasi untuk keluarga sambil duduk lesehan. ada music live yang berada di depan ruang makan. suasana sangat cocok untuk anak muda. Secara keseluruhan restaurant ini cocok untuk hang out. Sayangnya, makanan yag ada rasanya kurang enak. kami pesan nasi goreng sea. Lanjutan",positive
"View di restoran ini bagus. Makanannya pun enak-enak, Saya memilih saung agak dibawah (rupanya kita masuk dari atas lalu menuruni beberapa anak tangga). Sebenarnya tempat ini lebih cocok untuk mereka yang berpasangan atau dengan teman-teman. Saya bawa anak-anak yang masih balita cukup waswas karena selain banyak anak tangga, juga di sisi anak tangga tidak ada pengaman atau pegangan. Takut anak-anak. Lanjutan",positive
"Selagi msh ada waktu, tdk ada salahnya lht sunset dr the stones cafe rooftop.santai banget buat semua suasana, apa lg yg lg pacaran. Hehehe. romantis Dg belanja Rp.150.000 F&B dpt menikmati rendam2 di kolam sambil lht sunset.",positive
"TEMPAT -Lokasinya di Dago Atas, cukup jauh dari city center. Tapi ada harga yang terpuaskan kalau Anda datang ke sini, yaitu mendapatkan view yang bagus untuk melihat kota Bandung yang indah. -Exterior dan interior restoran sangat bagus dan terkesan mewah. AKTIVITAS -Makan -Menikmati pemandangan kota Bandung. -Dari tempat ini Anda bisa lanjut berjalan-jalan ke Lembang dan Tangkubanperahu. DISUKAI: -Suasana restoran. Lanjutan",positive
"Walaupun ada berbagai cuisine, yang cukup OK adalah western cuisine nya, yaitu Steak. Suggest untuk pesan Australian Wagyu, karena Steak ala The Stone nya cukup average taste. Untuk minuman lokal yang hangat-hangat, sebaiknya pesan Susu Madu Jahe atau Bandrek. Good ambiance, especially at night as you can gaze around Bandung city lights and feel the wind breeze.",positive
"Resto ini berlatar belakang pemandangan kota Bandung yang sangat indah. Desain interiornya cukup bagus serta penataan ruangan yang baik. Layanannya cukup baik. Makan disini dapat menikmati pemandangan dengan suasana yang romantis Tersedia beragam menu makanan seperti Mie goreng, Tenderloin, Sop buntut bakar, Sirloin dan masih banyak lagi. Tenderloin rasanya enak dan nikmat. Rata-rata masakannya enak.",positive
