content,polarity
"Rumah makan ini ramai pengunjung. Kami mendapatkan waiting list nomor 3. Kami dapat memilih apakah area smoking atau area no smoking. Bangunan sangat luas, dan terkesan kuno karena temboknya tidak diplester dan tidak dicat, lantai tidak diubin hanya dicor saja. Lampu tidak begitu terang. Kesannya jadi unik. Tersedia aneka macam steak, ada steak ayam , ada steak daging. Steaknya enak. Lanjutan",positive
"Tempatnya lumayan keren tp kebetulan saya kebagian tempat indoor no smooking area agak pengap cos gk ada acenya jd makannya kegerahan gk terlalu menikmati kl di out doornya lumayan nyaman kebetulan waiting listnya dpt di indoor area, yg penting steaknya lumayan enak n minumannya bikin puas porsinya yg lumayan berlebih harganya terjangkau pelayanya ramah2.lumayan lah buat diner bareng keluarga",positive
My favorite menu here is mix grill. Sirloin steaknya enak juga sih. Sauce nya enak. tempatnya juga cukup cozy,positive
"Dari segi harga sih sebanding sama makananya, malah rasa steaknya enak. Kayanya kalo ultah cocok bgt pesen yang bisa buat banyakan sampe 8 orang. Tempatnya juga enak walaupun agak gelap, over all good.",positive
Sirloin nya mantap. Harganya reasonable. Parkirnya agak sulit. Jika datang di jam makan pasti masuk waiting list,positive
"Saya memesan 1 sop buntut, rib yg paling porsi besar dan cheese yg memakai keju mozarela . sayang makanan lama datangnya. ya saya memaklumi karna ini adalah menu daging. konsep yg diberikan seperti adventure rasa makanan cukup enak dan para waiterpun sigap ketika kami meminta request. Tidak salah ketika anda coba untuk makan disini . untuk hargapun cukup . Tempat. Lanjutan",positive
"cari menu steaknya nya disini, T-bone yang saya suka, pilihan menu banyak, harga medium, rasa medium",positive
"Kali ini saya sudah yg ke dua kalinya mencicip steak di Karnivor. Tempatnya yang luas pas buat saya dan teman2 yg datang bersamaan. Meski rasanya menurut saya biasa saja, namun tempat makan ini tak pernah sepi pengunjung, rupanya memang sedang jadi hits di kota Bandung. Menunya tak hanya steak, ada pizza super besar yg dapat dinikmati rame-rame bersama teman. Harganya. Lanjutan",positive
Wow tempat nya yg gelap2 gmn gtu serasa makan di gua tapi nyaman bgt tempat nya makanan jg enak di hidangkan dalam porsi besar mantap dijamin kenyang enak dan murah dech penasaran klo ke bdg datang yah ke karnivor,positive
"Menu kambing guling ini cuma ada pas weekend aja, rasanya tested banget, untuk steaknya uda aga bosen sey sama sausnya mungkin perlu ada saus baru kali ya biar ga pada bosen. Untuk kentang kritingnya suka rada"" keasin asinan. Kambing Guling harganya sekitar 45rb",positive
Selalu ingin datang berkunjung kemari jika kami mempunyai kesempatan ke Bandung. Saya sangat merindukan mushroom sauce-nya dan potato chips serta coffee rub steak plus T-Bone nya.it's so delish! :),positive
"Kemarin puas banget pesen makan yang super big semua, kenyang banget sampai2 di takeaway makanan yang ga abis nya hehehe",positive
Bagi para karnivor wajib kesni. Merasakan steak karnivor yang rasanya maknyus. Saya kecanduan jg makan steak disini karena memang rasa daging dan sausnya yg enak serta harganya yang kebilang murah dibanding makan steak di tempat lain dengan porsi/ukuran daging yang sama.,positive
Steak yang luar biasa enak dengan harga yang bersahabat. Minumnya juga unik2 dan kami disana pesan gorila apa gitu lupa tapi rasanya sesuatu bgt enyakk enyak seger dengan porsi besar.,positive
"kami datang dengan jumlah yang besar sekitar 8 orang dan memesan monster steak. Saat datang wuih sangat besar dan rasanya pun sangat enak. Kalau dihitung-hitung pun jatuhnya malah lebih hemat. Kami senang sekali makan disini. Agak horror sih karena tema yang mereka pilih untuk tempatnya ""Asylum"" tapi disitu daya tariknya. keren!",positive
"Waktu pertama melewati resto ini, ada minat mau mencoba karena saya cukup suka juga dengan steak, walau tidak terlalu sering =) Akhirnya kemarin kesampaian. Lokasinya bersebelahan dengan Nanny's Pavillion dan tempat parkirnya digabung. Pintu masuknya tidak luas, tapi di dalam, tersedia banyak meja yang bisa dipilih. Waktu lihat menu, langsung tertarik mencoba tenderloin steak (sudah +kentang +sayuran +pilihan saus). Pilihan. Lanjutan",positive
"Dengan harga yang tidak terlalu mahal, saya mendapatkan tenderloin steak yang lumayan besar dan sangat mengenyangkan. Minuman Jungle Punch menjadi favorit saya dan teman-teman, 1 porsi cukup untuk 4 orang.",positive
"suasananya remang2,moster steaknya gede bgt dagingnya ckp buat ber5an,kentang gorengnya banyak.saladny enak banget cm sayang sedikit.",positive
"Cocok untuk pecinta daging. Yang menarik adalah menu monster yang ditawarkan di sini. Hanya saja stoknya terbatas, bila datang malam hari sulit untuk mendapatkan menu monster. Harganya pun affordable, monster steak seberat 1kg steak bisa didapatkan dengan sekitar 200ribu saja. Sayangnya kemarin saat saya memesan t bone, dagingnya sangat alot padahal rasa bumbunya enak.",positive
Kalo kesini pasti waiting list. Sebenernya rasanya biasa aja sih. Cuma sizenya yg ga biasa dan interiornya bikin menarik. Porsinya yg byk bgt kadang bisa makan ber 3.,positive
makan steak sirloin di karnivor karnivor ini memiliki saos steak yang bermacam macam diantaranya barbeque black papper dan lain2.tempatnya nyaman harganya pun cukup terjangkau,positive
"makanan nya enak pelayanan nya cepat, makan disini lebih enak sama temen2 dari pada sendirian karna porsi makanan juga cukup banyak",positive
"Kalau mau makan steak yang enak dan kenyang ya disini tempatnya.dengan harga mulai dari 35 ribu dijamin puas makan disini. Nasgor karnivor : enak, dipenuhi bumbu rempah, daging domba, kismis, porsinya besar Tenderloin steak : lembut, enak, kenyang saosnya boleh milih dari bbq, blackpepper, mushroom, berat 200 gram, kentang goreng/mashed potato/wedges, sayuran Nasi iga bakar/sop buntut bakar : saosnya enak,. Lanjutan",positive
