content,polarity
"Saya mampir ke Nanny's Pavillon karena penasaran dengan konsepnya. Suasana resto ini memang hommie dan instagramable. Pelayannya memakai seragam yang lucu. Jika dilihat sekilas dari luar, resto ini terlihat ""tua"". Namun kesan itu langsung berubah begitu masuk ke resto ini, suasana seketika menjadi hangat, cocok untuk dijadikan tempat makan bareng keluarga/teman teman. Menu yang ditawarkan cenderung western. Saya memesan tortilla. Lanjutan",positive
"pas dateng kesini terkesan sama tempat nya. lucu,cozy, nyaman kaya dirumah sendiri :D . buat yg doyan foto kaya aku sich seneng kalo dapet tempat kece gini :D lumayan buat stok galeri :p . o ya selain tempat disini keren. makanan disini juga jempolan loh. kmaren sich nyobain Blueberry cheese roll pancake sama nyobain nanny's cocktail dan tarammmmmmmmmm. rasanya menggigit. Lanjutan",positive
"Kesana buat diner sama sang suami, tempatnya asik banget instagramable banget deh buat yang doyan selfih. AKu besen lasagna 45rb da porsinya guede banget cocok buat berdua lah, trus bebeb pesen tinderloin steak 145rb rasanya cocok sama harganya, aku juga pesen bratwurs dan baby potato rasanya enak banget harganya lupa :) Pokoknya asik lah buat diner berdua bisa spare 250-300",positive
"Tempat makan yang berada dijalan riau, memiliki nuansa yang unik,cozy dan nyaman untuk berkumpul dengan teman bila merayakan ulangtahun atau reuni, makanan yang disediakan lebih condong ke western. yang saya kurang suka yaitu hot cappucino yang terlalu banyak susu d banding dengan kopi. tapi tak masalah saya akan tetap balik lagi jika main ke arah riau :)",positive
Tempatnya unik. Makanan & minumanya cukup enak. taste.nya kurang cetar.(Lasagna n shake manggo= 100rb),positive
"Resto ini memang unik, pengunjung bisa pilih ruangan dengan tema apa ( tema tempat tidur, tema kamar mandi, ruang ibu menjahit, ruang main anak dan masih banyak lagi). Desain interiornya unik dengan penataan yang serasi. Menu beragam seperti Tuna sandwich, Smoke beef sandwich, Cheeses steak sandwich, Blueberry cheese pancake, mom's green spaghetty dan sebagainya. Spzghetty ini memiliki cita rasa yang. Lanjutan",positive
interior yang unik membuat kami memutuskan untuk bukber di nannys pavillon untuk makanan sendiri kebanyakan western diantaranya spagethi steak dan lain-lain dan untuk minuman disini ada milkshake tea untuk harga lumayan mahal,positive
"Udah booking dari 5 hari yang lalu, gataunya pas dateng spot yang di booking katanya udah di reserve sama orang lain padahal pas awal telfon udah confirm disitu, akhirnya pindah ke meja yang ga sesuai. Kecewa banget tapi thanks to soni yang pelayanannya excellent udah akuin kesalahan dari staff mereka, pas udah selesai juga soni nyamperin buat ngobrol ngobrol dan. Lanjutan",positive
Saya datang kesini bersama teman - teman saya untuk makan dan berbincang - bincang. Kesan pertama adalah unik. dimana saya beberapa kali kesini dan mencoba beberapa ruangan. Ruangan yang paling unik menurut saya adalah dekorasi kamar mandi. Sangat unik dan instagrammable untuk di foto. ada dekorasi ruangan kamar juga dan ada juga meja yang yang sangat lucu dengan dekorasi mesin. Lanjutan,positive
Memang harga tidak membohongi. Harga makanan dan minuman di sini memang mahal. Tetapi sesuai dengan rasa dan tempat yang diberikan,negative
Tempatnya lumayan bagus karyawanya lucu2 apalagi kl dah yel2 gt.hahaaa hiburan.kl makanan sip deh suka pancake nya lupa lagi namanya.,positive
Maksudnya disini kan kita makan di suasana tempat tidur. Kamar mandi. Kamar bermain anak. Ruang jahit. Jd sesuatu yg berbeda.makanannya enak. Saya suka pancake nya. Steak nya jg enak. Harga memang aga tinggi tapi kalo puas?? Ga masalah sepertinya. Yang susah itu parkir nya. Kadang bikin males apalagi wiken,positive
"Saya mengunjungi restaurant ini saat berlibur akhir pekan ke Bandung. Dari luar tampak seperti rumah yang nyaman, namun dengan nama restaurant yang besar dan berwarna hijau di depannya. Begitu masuk, tempat waiting list dan penerimaan tamu terlihat cantik. Saya rekomendasikan meminta tempat duduk dibagian Bar/Kitchen karena atmosfernya menyenangkan, atau di Garden bagian belakang untuk area smoking. Makanan disajikan dengan porsi. Lanjutan",positive
"Saya suka tempatnya, design ruangannya unik. Service, lokasi dan harga juga oke. Over all puas sama restoran ini. Cuma waktu datang kesana chicken wings yang saya pesan agak not good. Mungkin lebih diperhatikan saja kedepan untuk kualitas makanan.",positive
"Ke Bandung, saya tidak akan melewatkan berkunjung ke restoran ini khususnya menikmati menu sarapan yang hanya ada di beberapa restorannya. Konsepnya sangat bagus dengan pilihan indoor dan outdoor. Jenis sarapan yang ditawarkan sangat enak dan banyak variasi.",positive
"Tempatnya nyaman, makanannya enak, cocok untuk kumpul bersama teman dan betah lama lama di nanny's. selain itu restaurant ini bisa dibilang menyajikan konsep yang homey tapi girly, dan cocok untuk berfoto karena banyak accessories yang lucu dan tempatnya juga keren buat foto. kita juga dapat memilih mau indoor atau outdoor, walaupun malam hari di outdoor tidak perlu khawatir digigit nyamuk. Lanjutan",positive
