content,polarity
Saya datang mambawa teman saya makan disini. awal pertama masuk d jamu oleh greter dan menjelaskan sedikit menu yang disediakan lalu saya lihat dr awal sampai ujung begitu banyak variasi makanan pastry dengan fresh donatnya ada ice cream green tea ada main course dan rasa makanan pun enak untuk tempat anda bisa pilih mau di dalam atau bisa di luar. Lanjutan,positive
Bagus tp variasi sarapan kurang. so far overall ok pelayanannya. Makanannya enak. Pertama kali kesini mungkin akan kembali lagi,positive
"Menunya beragam dan rasanya enaaakk, favorite saya croisssantnya hangat lembuuuttt servicenya sangat bagus Next pengen kesini lagi",positive
"Kamar luas dan nyaman, sarapan banyak macam dan enak, pelayan baik dan ramah. Ciri khas makanan Bandung agar dimunculkan. #trimakasihmashelmi",positive
"Lengkap dan enak!! Si kakak yg doyan sushi,dimsum,steak,ada. Si adek yg suka makan nasi plus ikan bakar,ditutup dengan eskrim plus pancake,ada. Papa yg suka bebek panggang,kambing guling,es serut,ada semua. Mama cukup sate kambing,noodle station,chocolate fountain,dan salad bar,terutama thai beef saladnya enak banget!! Suasananya nyaman,pelayanan ramah. Ga pernah bosen dinner disini.",positive
"Makanan nya sangat enak dan cocok untuk dinner,must try deh!! Pelayanan dari waiter helmi andrian sangat memuaskan dan sangat ramah",positive
"tempat yang nyaman untuk makan malam bersama sahabat. ketika masuk langsung disambut hangat oleh staff yang bernama Ema, dan kami dilayani dengan sangat ramah oleh Berry dan Helmi. terimakasih sudah membuat kami puas makan malam disana :)",positive
"menunya sangat variatif, pelayanannya sangat ramah dan helpful, tempatnya sangat eksklusif (ada indoor dan outdoor)",positive
"Saya bersama keluarga sangat senang ketika makan malam di Purnawarman, staff nya sangat ramah, makanan nya juga sangat enak. Saya akan merekomendasikan ke teman2 yang lain. Hilton is the Best",positive
"Sudah beberapa kali kesini untuk sekedar dinner bersama pasangan dan selalu mendapatkan pelayanan terbaik dari para staff di purnawarman restaurant salah satunya Mas Wisnu Despina, luar biasa membantu saya untuk menyiapkan candle light dinner ini. Hilton memang selalu memberikan yang terbaik dan saya selalu merasa puas baik sekedar dinner maupun menginap disini.",positive
Purnawarman Restaurant terletak dihotel Hilton Bandung. Menyajikan berbagai makanan buffet tetapi tidak include minuman. Yang spesial bebek pekingnya enak.,positive
"menyajikan makanan buffet style, dengan banyak pilihan. ada sushi, mie, aneka salad, western food dan dessert kue kue yg menarik.",positive
"Saat menginap disini, menikmati breakfast. Makanan yang disediakan cukup banyak untuk ukuran hotel di daerah Bandung.",positive
"weekend dinner @purnawarman, 240K/pax nett exclude drink. 1. suasananya nyaman. 2. variasinya bolehlahh. walaupun ada food selection yang sama dengan breakfast. 3. bbq nya hanya sate ayam, sate daging sapi, beef tenderloin, chicken fillet, TANPA seafoodnya. dgn saus beberapa macam. ada bbq, peanut, black pepper souce. 4. pasta selection dgn beberapa macam saus. 5. ada roasted duck, local cuisine, sushi. Lanjutan",positive
"Saya datang ke restoran ini untuk merayakan ulang tahun bersama teman-teman dekat. Untuk variasi makanan karena saya datang di hari Minggu, rasanya kurang variatif untuk pilihan makanannya. Untungnya kurang variatifnya makanan bisa ditutupi dengan pelayanan terbaik dari staff. Terima kasih untuk mas Berry, Derry, Adhi, Wisnu, Albert, dan Angga yang telah menjadikan ulang tahun saya menjadi berkesan. Sampai berjumpa lagi. Lanjutan",positive
"Kalau ke sini jangan lupa cicipin menu Iga Bakar nya,Iga Bakar nya menggunakan kecap manis dan rempah yang pekat,sangat gurih, iganya empuk, kenyal dan mudah sekali untuk dikunyah. Ayam Saus Jamur juga mantap, dan satu lagi jgn lupa Sapi Lada Hitam , sangat makyus. Sebuah restaurant yang ada dalam hotel bintang lima, tempat yang sangat strategis.",positive
"Restoran ini menyajikan variasi makanan yang cukup berlimpah. Yang paling menonjol adalah home made ice cream yang lezat. Pelayanan di sini juga bagus, walaupun katanya banyak siswa smk praktek di sana.",positive
"restoran yang cukup dekat dengan hotel Hilton, makanannya enak, luas dan cukup tenang baik, bisa digunakan untuk pertemuan kantor, pelayanan ramah",positive
"variasi makanannya banyak, baik yang tradisional sunda maupun yang internasional, rasanya enak juga. Tempatnya ada yang indoor dan ada yang outdoor dengan desain yang menarik. waktu breakfast pilihlah meja yang dekat dengan jendela karena akan mendapat suasana yg unik",positive
