content,polarity
Buffet dinner sabtu malam paling TOP.harga sesuai yang didapat.rasanya enak pilihannya banyak.jika bisa harga di diskon lagi jika rombongan.sukses selalu ya.,positive
"Hotel keren dengan konsep turun ke bawah bukan naik. Unik sekaligus top markotop. Makanan nya endes, jacuzzi nya nyamannn. Hotel yang recommend banget deh",positive
"makan disini masakannya sih standar,tapi yang beda adalah suasananya, keren banget buat melihat pemandangan, apalagi jika malam hari.",positive
"Sudah berkali2 menginap di hotel ini, menikmati sarapan, makan siang ddan makan malam di restoran ini, secara umum puas baik dari sisi makanan maupun dari pelayanannya.",positive
lokasi di atas puncak pegunungan dengan view yang luar biasa . pelayanan ramah dan cepat. makanan sangat bervariasi .,positive
"Saya hanya merasakan makan siang dan sarapan di restoran ini, namun dari dua kesempatan tersebut kesan yang saya dapat cukup memuaskan. Menu yang tersedia super lengkap, dari menu khas jawa barat, menu indonesia lainnya dan juga tak ketinggalan menu eropa dan asia timur. Saat sarapan juga tersedia jamu untuk menjaga stamina saat meeting ataupun berlibur di bandung. Satu hal yang. Lanjutan",positive
"Restoran ini sangat recommended. Selain rasanya yang lezat, variasi makanannya juga banyak sekali. Waktu saya dulu ke Restoran ini bersama keluarga, saya mencicipi rendang yang enak sekali. Karena saya membawa si Kecil, di sana ada menu nasi kuning dan potatoes menu si Kecil yang lezat. Ada banyak sekali hidangan tradisional, yang cocok di lidah saya. Ada banyak camilan, buah-buahan dan. Lanjutan",positive
Banyak jenis makanan dan variasi makanan yang bentuknya unik dan rasanya enak. Makan siang disini memang sangat menyenangkan. Pemandangan alami dan sejuk,positive
"variant menu di resto ini sangat banyak mulai dari western, japanise hingga sundanis (traditional food), mejanya pun banyak sehingga jika sedang ramai kita tidak perlu susah mencari meja. rata-rata makannya enak semua, view nya juga bagus bisa menghadap ke kolam renang juga bisa menghadap ke hutan. menu yang wajib dicoba jika lunch disini adalah reuceuh, rasanya enakkk. pilihan menu kopi. Lanjutan",positive
"Jika kita mampir di restoran Padma pada sore hingga malam, kita akan diiringi oleh lantunan piano tunggal dan penyanyi yang memiliki selera terhadap lagu lagu yang dipilih serta berkualitas. Agar tidak mengganggu keasrian lantunan pilihan lagu ini maka manager nya lebih memilih tidak memberi peluang kepada pengunjung untuk menyanyi di sini agar pengunjung lain tidak terganggu.",positive
Menikmati breakfast disini sungguh menyenangkan dengan udara yang segar dan view yang keren. Betah berlama-lama.Natural banget. Pilihan menu juga cukup variatif. Staff yang ramah dan helpfull.,positive
"Makan disini sangat menggugah selera. bukan hanya karena pilihan makanan dan minuman yang variatif, tapi udara dan view nya yang seakan akan malas untuk beranjak dari the restaurant. anak anak pun sangat lahap menyantap makanan yang ada.",positive
"Yang paling menarik perhatian dari restoran Padma adalah hamparan hutan di seberang yang alami - sangat natural dan lengkap. Suara-suara binatang-binatang malam yang berloncatan di antara cabang dan ranting pohon yang berwarna-warni, semilir angin malam yang berhembus dari berbagai arah menghadirkan pengalaman sedang berada jauh di dalam hutan. Namun, sajian yang moderen dan pelayanan yang diberikan menyadarkan kami, kami sedang. Lanjutan",positive
"Perpaduan antara makanan yang enak dan lokasi yang mantap. Viewnya bagus banget. Pelayanannya bagus, cepat dan ramah",positive
"Pemandangannya bagus, tempatnya bagus, bisa juga untuk menghilangkan stress dan makanannya juga enak-enak",positive
"makanannya enak, pilihan banyak. menu buat anak2 juga ada. jajanan tradisionlalnya juga lezat. good food",positive
"Restaurant di Padma Hotel termasuk salah satu tempat yang nyaman dan indah dengan pemandangan bukit, lembah dan pepohonan yang hijau. Sehingga bisa menikmati makanan dengan suasana yang berbeda. Makanan disini cukup bervariasi dan banyak pilihan tidak beda jauh dengan restaurant-restaurant lain di Bandung, tapi disini ada menu pilihan tradisional yang membuat anda bisa merasakan khas makanan yang berbeda sambil menikmati. Lanjutan",positive
"Seperti biasa kami selalu mencari kuliner yang lain dari pada yang lain, dapatlah kami ditempat ini yaitu The Restaurant Padma Hotel. kami memesan menu yang ada. ada dari indonesia,eropa dan chinese, ternyata semua masakan nya enak semua nya.",positive
"Awalnya cuma karena bingung makan dimana dan ternyata emang gak salah tempat. The restaurant Padma emang paling TOP. Dari makanan dari view nya semuanya perfect. Sesuai dengan harga gak bikin rugi yang ada malah ketagihan hehehe. Wajib banget coba tiap makanan yang ada disini ditambah sama atmosfer yang bikin tenang view nya keren sama udaranya yang sejuk. Yang punya cemewew,. Lanjutan",positive
Tempat sangat indah.makanan sangat bervariasi menu dari makanan indonesia chinese eropa semua ada dan ENAK.pelayanan bagus.,positive
"makanannya banyak variasi untuk buffetnya, dan sebaikny sudah booking dulu sebelum kesana karena ramai yang antri. saya suka bbqnya disana. dan juga pemandangannya bagus disana",positive
