content,polarity
Tempat yang klasik dengan suasana dengan sensasi kolonial di sekeliling bangunan era perjuangan namun sudah lengkap dengan sajian menu yang khas dari jaman dulu,positive
"Braga permai jenis makanannya sangat banyak. Sy pesan mushroom pizza, ukurannya large dan tipis sangat enak. Mix appetizernya ada kentang, bitterballen, sosis dan mozarella sticks. Es krim coklatnya enak banget. Cocok kalo makan rame2 krn porsinya banyak.",positive
"Braga permai merupakan salah satu restaurant favorit saya terutama untuk nongkrong di teras restaurant sore2 sampai waktunya utk dinner, karena kita duduk langsung dibawah langit dengan suasana yg cozy di tengah keramaian jalan braga di wkt sore. dulu saya pernah berfikir kalo makanannya pasti mahal tapi ternyata harganya sama dengan cafe2 pada umumnya dan makanannya pun lumayan enak. mungkin yang. Lanjutan",positive
"Ketika anda duduk di meja braga permai, anda akan merasakan atmosphere restoran barat yang bercampur dengan atmosphere kota tua braga yang ke khas an nya sangat terkenal sejak jaman awal abad 19. Dengan menu yang lengkap, anda akan banyak menemukan jenis makanan yang disajikan sangat apik dan kualitas rasa yang mungkin tidak akan didapatkan di restoran lain. sangat cocok untuk. Lanjutan",positive
"Bingung mau makan di mana, pilihan akhir kepengen coba Resto Jadoel, yg selama cuma sempat di lewatin. Mengandalkan review pengunjung lain, nyoba pie ayamnya.enak. Suami suka ikan dan maunya pedas.pilih salmon shecuan. Mantap ah.porsi besar. Puas.",positive
Braga permai adalah resto langganan kami sejak lama.quality control rasa mknannya baik.terpercaya.hanya ketika Buka bersama dgn relasi kantor.pelayanan sangat lambat.mngkin karna traffic pemesanan meningkat d waktu yg sama.overall puas,positive
"Resto ini selalu ramai pengunjung,masakannya enak,porsinya besar,suasananya nyaman.pelayanan lumayan cepat.",positive
"Wow disini steik nya enak dan punya beragam pilihan dari daging impor n lokal ada disibi. Harganya juga ok. Sangat disarankan untuk memilih dengan membaca panduan menunya, karena ragam pilihan disini hampir serupa. Harganya mulai dari Rp90.000 hingga Rp150.000.",positive
"Selalu suka kalo dateng kesini, pelayannya oke, makanannya enak2 tapi sekarang udah pada naik harganya, dan live musicnya juga kece. Terdiri dari 2 lantai tapi saya bingung, yang bawah rame banget tapi di atas bisa sepi banget. Makanannya western dan ala Indonesia, minumannya juga beragam banget.",positive
"Setiap ke Bandung, rasanya selalu tergoda untuk datang ke sini. Kue-kuenya tradisional dan rasanya enak. Saya sempat mencoba es krimnya, meski tidak istimewa tapi enak karena teksturnya lembut. Yang istimewa menurut saya kue Bolu Bluder-nya. Kuenya enak, padat tapi lembut, porinya kecil jadi tidak seret pada saat dimakan. Servis pelayannya juga memuaskan, saya hanya beli kue tapi disuguhi air dan. Lanjutan",positive
