content,polarity
Tempatnya bagus dan banyak spot foto. Makanannya enak bgt. Parkir gampang. Saya makan creme brullee dan creamy salmon. Enak banget. Musiknya juga ngga hingar bingar jadi bs ngobrol. Makanannya lumayan terjangkau,positive
"Masakannya enak walau nunggunya agak lama, steak Tenderloin nya enak gak keras, Oreo milkshake nya number one in the world, pelayanannya juga bagus, harganya terjangkau. Biasa ssaya makan steak tidak habis, berbagi dengan Papa/mama saya, kali ini habis.",positive
"Restauran nya sangat menarik, unik dan memiliki salah satu masakan favorit saya Sop Iga, sangat lezat dan bersih.",positive
"Saya dan istri memilih restoran ini untuk makan siang karena lokasinya dekat dengan kantor, di daerah Setiabudi, Bandung. Lokasinya tepat berada di belakang SPBU jalan Setiabudi, di seberang hotel Hemangini. Tempat parkirnya cukup luas. Suasana bistro dan bar ini sangat nyaman, dengan desain interiornya yang unik, dan cocok sekali bagi yang senang berfoto ria, selfie, maupun yang senang hang out. Lanjutan",positive
"Tempatnya sangat menarik dan klasik. Konsepnya sangat bagus untuk keluarga, pasangan, maupun sendiri. Tempatnya unik karena dekorasinya dan juga artistik. ada area indoor dan outdoor. Pelayanan cepat dan makanan enak kok.",positive
Saya lebih suka datang ke saka bistro pada malam hari. Suasana yang enak ditambah live music yang menambah nikmat suasana. Makanan yang disajikan enak dan harga terjangkau. Namun agak susah jika akan berkunjung hari sabtu karena jalan kesana macet.,positive
Saya datang bersama pasangan.sempet 3x pindah tmpt duduk soalnya banyak yg suasananya enak hahahahah. Kita pesen main course dan minuman. Eh trakhir saya tergoda sama latte art yg bisa pake muka kita. Meskipun menunggu hampir stengah jam hasilnya keren. Baristanya hebat bgt. Waktu saya yg bikin ka tan2pranata. Liat difoto yaaaa. Semua makanan enak. Minuman jg enak. Harga standar.,positive
"Saya dan beberapa teman saya mencoba steak disini dan rasanya enak, tingkat kematangan pas dengan permintaan dan harganya pun sesuai dengan kualitasnya!",positive
"Wah ini cocok banget untuk temoat nongkrong, tempatnya asik banget. cuma untuk menu makanannya kurang enak sih, saya pernah makan gyu tan don dan salmon pasta rasanya biasa banget.",positive
Merayakan tahun baru 2016 di kota Bandung pasti tidak lepas untuk wisata kuliner di Kota Bandung. Sebelum merayakan New Year kami mencari makan siang di daerah setiabudi bawah sampai lah di SAKA BISTRO. Tempat yang sangat sangat menarik untuk dikunjungin dengan interior dan eksterior yang sangat modern. Lokasi nya mudah dijangkau dari pusat kota. Dan menu disini sangat beranekaragam. Next. Lanjutan,positive
"Tempatnya asyik dan nyaman. Bisa dijadikan salah satu pilihan untuk keluarga ataupun rekan bisnis. Pilihan menu nya beragam. Terakhir kesini, coba memesan Salmon Carbonara dan Calamary. Salmon Carbonaranya sangat lezat. Sayang calamarynya kurang berasa dan terlalu kering, jadi kurang bisa dinikmati.",positive
"Saya suka banget tempat ini. Sayangnya pas ksini, hujan melanda. Jd ga bs cobain romantisny outdoor. Chocolate gateau nya the best bgt. Cappuccino nya jg pas bgt ditambah dgn seksinya 3d art. Recommended place!!",positive
love love love sticky ribs dengan nasi ijo nya. iga nya lembut dan gendut tapi less fat. yumm. jyu jyu steak nya somehow biasa aja nothing special. overall suka sama suasananya. harga nya juga reasonable,positive
"Tempatnya nyaman bgt ky di rumah,hangat suasananya,makanannya juga enak,suka bgt sama jyu-jyu steaknya.",positive
Disini rib eye nya enak. Bumbunya tidak ada duanya. Lava cakenya kurang meleleh. Pastanya juga cukup enak. Pilihan birnya banyak. Suasana cafenya juga nyaman.,positive
"Bingung mau makan kemana yang tempatnya asik, makanan enak dan harga terjangkau. Kesini aja. Saya dan pasangan sangat menikmati. Pengunjung kebanyakan anak muda jadi ikutan ngerasa muda lagi.",positive
"Salah satu tempat makan di Bandung yang saya suka dan sangat recommended. Letaknya strategis, mudah untuk diakses. Desainnya unik, didominasi oleh kayu, jadi membuat suasana yang dibangun terasa nyaman dan homey, tapi tetap gaya berkelas. Makanannya enak-enak, beberapa kali saya kesini belum pernah merasa kecewa dengan makanannya, dan lebih penting lagi harganya bersahabat! Jarang ada restoran yang letaknya strategis, makanannya. Lanjutan",positive
"Saya senang berlama-lama disini, karena suasannya enak, pencahayaannya bagus, ada pilihan bisa di luar ruangan atau di dalam. Makanannya lumayan",positive
"Makan di Saka Bistro & Bar luar biasa.Mulai dari suasana, menu nya, penyajiannya hingga personnel nya two thumbs deh. Gak akan kapok buat balik lagi. Di weekend lebih baik reservasi dulu, jarang ada tempat duduk",positive
"Tempatnya emang agak menjorok kedalem, hampir gak kelihatan kalau lewat jalan setiabudi tepatnya deket rumah mode bandung, dari luar sih nampak biasa aja, tapi pas masuk area resto dengan pemandangan luar dan interiornya yang keren bikin betah lama-lama disini. Ada beberapa ruangan yang bisa kita pakai, sekitar 5 tempat dengan konsep dan tema yang berbeda, kalau mau makan doang bisa. Lanjutan",positive
