content,polarity
"tmpatnya ramai sekali, makanan bervariasi. desain dan lingkungan nyaman. udara sejuk, banyak tempat bermain anak.",positive
"Tempatnya lumayan jauh dan butuh kesabaran ekstra untuk mencapai lokasi, terutama saat weekend. Luangkan waktu seharian untuk menghabiskan waktu disana tanpa terburu2, banyak kegiatan dan berbagai makanan yang bisa dicoba, lengkap dengan udara sejuk khas Lembang.",positive
"Pergi ke Dusun Bambu hari Minggu, pastinya sangat ramai sekali *biasa tempat wisata Cocok nih bawa keluarga se kampung,hehe. Di Dusun Bambu banyak kuliner yang bisa di cicipin nih. tapi buset antrinya panjang pisan euy. jadi harus sabar ya. waktu di sana nyobain nasi liwet, rasanya gak ngecewain kok. harganya terjangkau.(pembayarannya menggunakan uang-uangan gitu deh, jadi kita harus menukarkan dulu. Lanjutan",positive
"pemandangannya makin bagus, dengan pohon rindang dan taman yang tertata dengan baik, banyak pilihan makanan yang bisa di coba dengan harga yang varitatif",positive
"Wajib mampir kesini jika kalian berkunjung ke Bandung. Terletak di Lembang sekitar 2 jam dari Kota Bandung. Suasana nyaman dengan hawa sejuk pegunungan, banyak tempat yg bagus untuk mengabadikan foto-foto. Disini jg terdapat souvenir shop dan juga foodcourt untuk makan dan minum teh atau kopi dg sistem pembayaran dengan voucher. Tentunya untuk mendapatkan voucher ini harus dibeli terlebih dahulu ya. Lanjutan",positive
suka dengan tempat ini. bayar masuk hanya 20rb saja. tp makanan di dalam cukup mahal. tp ya namanya juga tempat wisata sepadan lah. unik nya uang di tukar di kasir dengan voucher uang2 ngan hehe. tp jangan nuker banyak banyak dl yah. soalnya uang yang sudah di beli ga bisa di ganti sama uang lagi heheh. tempat spot foto banyak. Lanjutan,positive
"makanan yang disajikan sebenarnya setandar saja.berbagai makanan khas nusantara, namun dukungan suasana dan lingkungan ditambah hawa dingin menjadikan makan menjadi lahap sekali.",positive
Dusun bambu berlokasi di area Lembang dan cukup mudah dijangkau dari kota Bandung. Disini terdapat berbagai aktraksi dan aktivitas untuk anak-anak. Selain itu terdapat foodcourt dan restoran yang menyediakan berbagai hidangan Indonesia.,positive
makanan nya berkisar antara Rp 20.000 - Rp 100.000 tersedia banyak pilihan menu masakan dan untuk rasa nya lumayan enak,positive
"Ini tempat makan dan foto-foto, ada juga permainan anak. Saya tidak makan disini, kebetulan masih pagi pas kesini jadi masih sepi. Udaranya enak banget, sejuk. kalo ga suka foto-foto ya ga usah ke sini. 2 tiket bisa ditukar bibit tanaman. Rata-rata tempat wisata di lembang, cuma jual tempat doank, makanan dan rasa biasa aja, harga mahal.",positive
Objek wisata yang sangat cantik serta luas dan banyak tempat untuk berfoto bersih sejuk dan nyaman dan tidak akan kelaparan karena ada tempat makan di sana kita bisa main di atas perahu di danau buatan yang di pinggirnya terdapat pedopo yang berbentuk rumah kecil ada pula tempat makan di jembatan gantung yg berhubungan dari pohon satu ke pohon yang lain. Lanjutan,positive
"denger dari teman tempat ini bagus, bisa buat foto2 prewed, etc. usaha dech ke sana tapi agak mengecewakan. tempatnya biasa aja cuma kaya kebun2 yg di tata trus ada danau. restonya mahal, dan gak enak.",positive
Untuk tempat luas banget. Banyak spot-spot bagus buat di jadiin selfie :p waktu abis beli tiket nanti di sediain mobil andong-andong gratis buat menuju ke tempat utama. Sebenernya jalan kaki juga bisa soalnya ga begitu jauh juga dr tempat utama. Untuk harga makanan disana rada mahal sedikit hehe. Jgn lupa nukerin uang sebelum belanja d foodcourtnya,positive
"OVERALL : Lumayan ^^ Atmosfer nya enak juga buat santai2 bareng. Ceritanya ke sini ga sengaja soalnya pgn nyoba tempat baru. Pas masuk yg dicari prtma yaa lgsg restonya dulu soalnya laperrr. hahaha. aq psn nasi bambu (lupa namanya) & mnrt aq sih biasa aja, minumannya sih enak,, cmn klo liat hrga nya yaa jujur aja mmg mahal & aq. Lanjutan",positive
"Jika ingin ke rumah yg dipinggir kali atau di sangkar burung harus memesan terlebih dahulu. Dan itu hitungan per jam saja harganya belum termasuk makanan. Tp kami pernah menikmati di dalam rumah pinggir kali itu, suasana nya akan berbeda dengan di pasar dusun bambu nya , karna disini super dilayani , tempat duduk empuk dan bs buat bobok istirahat hehehe. Lanjutan",positive
"wisata yang memiliki beberapa ikon yang bisa dinikmati, seperti makan di restaurant yang berada di tengah dan pinggiran danau, taman dan air sungai buatan yang indah yang bisa dijadikan ikon untuk berfoto, dan restaurant yang berada di alam terbuka juga disini terdapat arena tempat bermain anak - anak.",positive
"Konsep restaurant dan cottage yang menarik. Sebaiknya datang di weekdays supaya bisa menikmati suasana yang sejuk, nyaman dan romantis. Harga tiket masuk terjangkau. Untuk mengisi perut ada 3 restaurant, lutung kasarung, burangrang dan saung purbasari. Coba makan di restoran burangrang, ambil sofa bulat di depan untuk santai menikmati view danau dari atas, dengan minimum order senilai Rp. 500 rb utk. Lanjutan",positive
"Sangat menarik untuk di explore dan sangat cocok untuk keluarga krn ada playground nya. View sangat bagus, udara sangat fresh. Banyak variasi makanan yang tersedia. Negative: tukar 2 tiket masuk dengan 1 air mineral ukuran botol kecil mungkin sekitar 330ml which is sangat tidak masuk akal kenapa tidak 1 tiket dewasa free 1 air mineral toh botolnya juga botol kecil. Lanjutan",positive
"Tempat untuj rekreasi keluarga maupun bersama teman, melihat indahnya alam terbuka dengan udara yang sejuk",positive
makan di lokasi yang kayak sarang burung ya disinilah tempatnya. makanan beragam dengan suhu yang dingin tetnunya akan menambah selera makan kita. di samping restoran ada playground cantik buat anak dengan bayar 50 ribu sepuasnya. indah banget. harga makanan cukup mahal tp worth it banget,positive
"Untuk sekadar jalan-jalan, menikmati sejuknya udara Bandung Barat sih masih oke lah. Bila menginap di sekitar Jalan Setiabudi, Bandung, tak terlalu jauh juga. Bila datang ke sini ada juga beberapa objek wisata lain, seperti kampung gajah, curug cimahi, jadi bisa sekalian jalan. bisa juga digabung dengan tempat wisata di dekat setiabudi, Hanya sebaiknya, jangan pilih untuk makan di sini. Saya. Lanjutan",positive
