content,polarity
"Kegiatan yang diberikan sangat menyenangkan, bermain angklung bersama, sangat menarik bagi anak dan orang tua. lokasinya cukup jauh dari kota Bandung, dan perhatikan jadwal acaranya agar tidak ketinggan.",positive
"Saung Angklung Udjo merupakan destinasi wajib baik bagi anda yang sering atau baru sekali ke Bandung. Tempat wista ini merupakan tempat wisata alternatif untuk para buah hati hati, anak anda akan diajarkan sejak dini cara memainkan alat musik tradisonal, kebersamaan, kekompakan dan rangsangan untuk terus melestarikan alat musik angklung, satu dari sedikit alat musik Indonesia yang telah diakui dunia. Saung. Lanjutan",positive
Di Saung Angklung Udjo kita tidak hanya bisa menyaksikan pertunjukan seni angklung tapi juga belajar bagaimana membuat angklung. Disini dapat dibuat acara untuk perusahaan atau lainnya. Sangat edukatif. Staf dan pelayanannya sangat baik. Parkir sangat luas.,positive
"Saung angklung udjo adalah salah satu tempat yg sangat baik untuk dikunjungi saat anda di Bandung. Pertunjukan yang baik untuk mengenalkan seni alat musik angklung. Pertunjukan seni yang baik dan menjadi hiburan yg baik pula. Hanya saja perlu diperhatikan lagi saat menunjukkan tari2an nusantara seperti saman, tor-tor, betawi, dll. Karena hanya terkesan seadanya. Atau lebih baik hanya menampilkan dan memperkenalkan. Lanjutan",positive
"Welcome drink bandrek / es puter, doger dan kalung angklung gratis. Pertunjukan angklung yang atraktif, interaktif dan keren+ Salah satu tempat oleh2 kerajinan tangan terlengkap di bandung.",positive
Saat berniat makan malam di restoran saung udjo setelah menonton pertunjukan angklung sayang sekali restorannya sudah tutup. Mungkin pihak pengelola bisa mempertimbangkan untuk memperpanjang waktu operasional restoran agar pengunjung yang sudah selesai menonton pertunjukan bisa mencicipi hidangan di restorannya juga. Pengalaman menonton pertunjukan saung angklung udjo sendiri sangat berkesan bagi saya dan keluarga. Untuk pertama kalinya kami mencoba sendiri memainkan. Lanjutan,positive
Ke 2 kalinya kesini. Tempatnya bagus khas jawa barat. Dapet voucher minum gratis. Yg gak dilupain disini nonton pertunjukan angklung. Dikasih kesempatan ke penontln untuk coba. Pengalaman liat pertunjukan tradisional kaya gini yg selalu keinget.,positive
saung angklung udjo ini ialah saung yang menampilkan musik dengan alat musik tradisional yang dinamakna angklung. alunan merdu yang terdengar dari alat musik ini membuat para pecinta musik semakin terkagum kagum akan masih adanya musik tradisional yang eksis di era modern ini,positive
Selain makanan yang OK disini kita dapat menonton pertunjukan angklung yang bisa memainkan berbagai macam lagu. Asyiknya kita semua jika diajarkan bermain angklung bersama. Sebentar saja bisa tuh. Toko souvenirnya juga OK. Singkatnya budaya angklung bisa menjadi terkenal di tempat ini,positive
"Tempat ini ga pernah sepi pengunjung. Selalu banyak acara kesenian dan budaya yang ditampilkan. Asyik loh ternyata belajar kesenian tradisional. Jangan mau kalah dong sebagai masyarakat lokal, bule aja banyak yang belajar ke sini loh. Adem tempatnya.",positive
"Di saung ini kita dapat menyaksikan pembuatan angklung yang sudah terkenal di dunia dan diakui oleh UNESCO sebagai warisan budaya dunia karya bangsa Indonesia yang dilahirkan di Bandung. Di saung ini terdapat amphitheatre yang luas untuk menyuguhkan atraksi bermain angklung yang dimainkan oleh puluhan seniman angklung dari ""Saung angklung Ujo"". Kesenian angklung ini disajikan bila ada rombongan pengunjung/tourist dan hampir. Lanjutan",positive
beberapa kali kesini tempat ini selalu menjadi Favorite. tak hanya kita bisa menikmati pagelaran angklung dari berbagai tingkat kemahiran tapi jika beruntung akan bisa menyaksikan murid murid saung angklung udjo yang mahir mamainkan lagu dengan tingkat kesulitan tinggi dari 10 angklung per orangnya. dan diakhr acara kitapun akan diajak main angklung bersama. sangat menginspirative. mungkin saran saya akustik perlu dibenahi. Lanjutan,positive
"Saung Angklung ini sangat ramai di kunjungi rombongan bus tour, yang paling berkesan acara belajar angklung bareng dengan seluruh peserta. sangat recommended",positive
"saung angklung mang udjo merupakan tempat yang harus anda kunjungi apabila berwisata ke Bandung, disuguhi pertunjukan kolosal angklung yang sangat menarik dan menghibur disanapun kita dipinjami angklung untuk belajar memainkan angklung walaupun hanya sebentar, terdapat tempat membeli oleh-oleh khas bandung juga ditempat ini. highly recomended",positive
Takjub dengan kemasan yg diberikan oleh saung udjo. Berkelas internasional banget. Yang datang pasti enggak rugi. Pulangnya happy. Tetep berkreasi. indonesia wajib bangga punya saung udjo .,positive
"Sangat cocok mengajak anak-anak kesini untuk memperkenalkan warisan budaya bangsa. Fasilitas cukup lengkap, ada restoran, tempat ibadah, playground dan yang terpenting pertunjukkan angklungnya sangat memukau.",positive
"Makan di sini suasananya lumayan asyik, bisa santai sambil menikmati permainan angklung musik Sunda, lebih nikmat lagi sambil menyantap nasi timbel, ayam kremes dan sambal lalapan, waaahhh maknyuuuusss, sedap sekali. Tempatnya luas, teduh, dijamin anak-anak pasti suka dengan tempat ini. Sayangnya, menu-menunya terbatas, kurang variasi.",positive
"Tidak menyangka nasi kotak yang begitu sederhana namun berisi makanan set yang sedap disantap. Ada ayam goreng plus sambal pedas dan lalapan, ditambah karedok dan bakwan jagung, makan siang di Saung Angklung terasa komplit, setelah menikmati pertunjukan seni yang cukup berkesan. Tempat makan outdoor namun nyaman udaranya, tidak panas atau lembab. Ditutup dengan es cendol ijo, serasa lengkap sudah pengalaman. Lanjutan",positive
Tempat mengenal budaya lebih dalam. Anak anak yang lucu dan lincah mahir bermain alat musik. Mengajarkan anak2 kita tentang kebudayaan . Banyak souvenir unik yg dapat di beli.,positive
"Resto nya makannya termasuk murah. Nasi timbel dan kremes nya enak. Tempatmya cozy. Ada tmpt jual sovenir, tp agak mahal utk harga lokal. Tempt luas parkir nyaman. Ada pabrik di angklung di sini",positive
Saynf anggklung mang UJO di bNdung timur. Daerah nya masuk kedalam dari perumahan. Didalam komplek mang UJO : banyak jualan sovenir 2 dan wayang-wayang . Disitu ada jadwal petunjukan kesenian asal jawa-barat .,positive
"Tempat hiburan melihat pertunjukan angklung oleh anak2 berbakat. Tidak hanya itu, kita bisa melihat bagaimana angklung dibuat. dan restoran di area ini menyajikan makanan Sunda yang lezat.",positive
"pertama kali kesini untuk menyaksikan pergelaran kesenian asli sunda, namun kesan yang didapat justru diluar ekspektasi. percampuran kebudayaan tradisional dikemas secara modern. permainan angklung sangat harmonis dan melibatkan penonton memberikan kesan yang menyenangkan",positive
