content,polarity
"tahu susu ini rasanya enak dan terasa lembut di gigit, lebih enak dimakan panas panas dengan lontong.",positive
"Beberapa kali kesini dan pastinya beli tahu susu nya sama susu kedelai, dan sekarang lagi suka banget sama banana crispy tapi agak mahal :( cuma emang enak banget sih, udah gitu kalo turun sedikit banyak makanan lagi juga ga terlalu mahal, dan enaknya lagi ada atm BCA",positive
"Tenant food courtnya nyaris sama dengan Floating market, minus pemandangannya. Hanya ada bagian khusus yang menjual snack khas Lembang/Bandung. Ada tempat bermain anak, tapi tampaknya sudah tidak terurus. Tidak ada anak yang bermain di situ juga.",positive
"Tahu susunya khas, enak, gurih tetapi harganya agak mahal. Sekotak kecil isi 10 tahu goreng 15rb dan 1 kota tahu mentah 25rb. Lokasi pinggir jalan raya lembang. Ada restonya juga untuk makan bersama keluarga atau teman",positive
"Modelnya kaya foodcourt2 gitu, segala model kuliner bandung ada di sini. plus tahu plus susu murni yang segar. tempatnya luas. parkirannya juga. rame? pasti!",positive
Salah satu tempat kuliner di daerah lembang. The best nya ya tahu susu goreng nya. Tahunya lembut dan asin. Enak sekali di makan saat panas2. Varian makanan lainnya jg banyak. Untuk arena bermain nya juga lumayan banyak. Tapi lingkungannya agak kurang terawat. Better di percantik lagi akan menambah daya tarik pengunjung. Rumah sosis pun (yang dulu di setyabudi bawah) sekarang. Lanjutan,positive
"BIsa menikmati aneka makanan khas Bandung baik makanan ringan ataupun berat disini, selain pusat oleh-oleh. Tahu susu Lembang terkenal sangat lembut teksturnya, lezat. Ada Sosis dari Rumah Sosis juga di area ini.",positive
"Ke lembang belum lengkap rasanya kalo lom kesini. dis ini saya beli tahu susu mentah 25rb/10pcs,tahu mentega mentah 30rb/pcs. Ada juga yg jual tahu susu yg sudah digoreng dg potongan yg lebih kecil harganya 15rb/10pcs.o iya kalo buat perjalanan jauh ati2 ya.soalnya cuma bisa tahan 2hari di suhu ruangan jgn lupa beli yogurt dingin nya yg dijual disini ya saya. Lanjutan",positive
Makanan cukup enak. Saya coba seblak. minta sedeng. ternyata pedes baget. Mungkin kadar sedeng nya beda2. Coba mie kicok. Cukup enak. Coba keong tutut. Cukup enak walau agak pait dan agak pedas untuk anak2. mendoan cukup enak. Ada menu baru banana pie. cukup enak boleh buat di coba,positive
"sebenarnya niat hati awalnya mau nyicipin tahu susu Lembang yg legendaris. tapi akhirnya malah makan batagor. biasa aja sih rasanya. tapi kuenyaaangggg. sebenarnya ada beberapa permainan, tapi karena cuma dateng berdua akhirnya ga ngapa-ngapain. jalan-jalan aja dan berakhir di distro belanja jaket branded yang murah meriah. seru.",positive
"Selama liburan di Bandung kami sekeluarga menyempatkan diri untuk mampir ke pom tahu susu Lembang ini, disini pusatnya oleh-oleh Lembang, ada tahu susu, susu kacang, mie kocok dlsbnya, tempat kuliner dan pusat oleh-oleh cocok untuk keluarga, selain parkirnya luas, tempatnya pun sejuk, dan tersedia sosis bakar, butik dll. Menu cemilan andalan kami adalah tahu susunya, rasanya pas dan tahunya pun. Lanjutan",positive
"Ramai-ramai makan malam di tahu lembang bersama keluarga. Duduk model lesehan. Tidak ada dinding, jadi dingin nya berasa. Pelayanannya agak lambat, entah pegawainya sedikit tapi waktu itu tamunya tidak terlalu banyak. Tapi tahu susu nya enak.",positive
"Tempat ini cukup baik untuk pemberhentian saat di lembang. Tempatnya besar, parkir luas, petugas parkir siaga, musholla bersih, kamarmandi cukup bersih. Tidak hanya menjual tahu namun juga menjual panganan lainnya seperti, otak2, batagor siomay, bakmi, rumahsosis, susu kedelai, tahu gejrot, dan soto betawi. Dan ada juga layanan drivethru untuk beli tahu.",positive
"di bagian depan ada tempat penjualan drive thru, ada FO, penjualan oleh-oleh, produksi/pabrik pembuatan tahu, dan restoran/tempat makan",positive
Tempatnya gampang dicari. Harga terjangkau. Pelayanannya juga cepat. Kebersihan lumayan. Spot foto sepertinya tidak ada.,positive
