content,polarity
"Tak ada momen yg paling berharga. Berkumpul bersama dengan orang"" yg tercinta. Bersama keluarga Bisa membuat keluarga bahagia adalah salah satu momen paling membahagiakan dalam hidup ini. Jika kita ikhlas dalam berupaya untuk kebahagiaan kehidupan keluarga, Tuhan akan memudahkan dan menunjukkan jalan.",positive
Sangat nyaman denga nuansa resort Makanannya lengkap tapi banyak menu internasionalnya. Pelayanan ramah dan membantu Sempurna makanya dengan suasananya,positive
Tempat makan paling romance di bandung bakalan nyesel klo ga kesini loh. pokonya ruar biasa dech suasana sama makanan nya. wow bgt,positive
"Tempatnyah cozy,recommended banget,ditambah live musicnya yg bikin makin betah disini. Wajib dicoba nih atmosphere resort cafe",positive
"Tempatnya nyaman banget buat kumpul bareng temen,birthday disini asik . blue velvetnya juaraaaa,thanks atmosphere resort cafe !",positive
"Food food, nice staff, good atmosphere, i love to come again next time. Menurut ai sih lebih enak dari sapu lidi, tempat buat meeting oke, santai sama pasangan juga mantep banget",positive
Try Atmosphere Salad and Atmosphere Supreme Salad. Suasananya cukup enak untuk hang out and utk yg dtg dgn group ada live music juga.,positive
"Suasana di restoran ini sangatlah bagus. Gazebo yang rindang dan kolam ikan memberikan kesan adem. Rasa makanan biasa saja sih, mungkin karena kurang fokus segala macam makanan ada dari western, japanese dan indonesian. Pelayanan juga sopan walaupun sempat mengalami hal yang agak awkward. :) Saya memesan semacam mix platters lupa nama persisnya, di menu tertulis beef, lamb and chicken. Setelah. Lanjutan",positive
"Bagian depan Cafe ini biasanya di dominasi yg ingin merayakan Ulang Tahun atau acara yg lebih resmi seperti menjamu tamu Sedangkan di bagian belakangnya ala Nuansa Resort, bisa duduk di gazebo dengan lesehan atau di pinggir kolam ikan. Suasana terasa sangat romantis. Untuk menu makanan bervariasi mulai dari Western Food dan Makanan Indonesia Untuk harga memang mahal tapi sebanding dengan. Lanjutan",positive
atmosphere resort cafe mempunyai pelayanan yang sangat baik dengan suasana cafe yang mewah tapi bisa di nikmati oleh berbagai kalangan,positive
restoran favorit. nyaman aman dan ramah. menu good and lezatos kalau ada tips untuk mengurangi nyamuk berkeliaran.haha,positive
"Menu yang beraneka ragam. Makanan indonesia, western food, sampai dessert dan cakes. Semuanya enak dan menggugah selera. Di temani live music. Membuat suasana semakin romantis",positive
"Atmosphere resto tempat nya sangat nyaman,,, berkesan natural menyatu dengan alam meskipin lokasinya beeada d pusat kota bandung. Untuk pelayanan nya sangat memuaskan, order makanan tidak menunggu terlalu lama dan makanan nya sendiri yummy untuk lidah kami.",positive
Suasana ok. makanannya ok. service good kekurangannya hampir tidak. klw bisa waktu bukanya ditambah,positive
"Greettttt restaurant. Romantic place Buat kalian yg cari tempat makan yang enak romantis bisa bareng teman, keluarga juga pasangannn. Jngan lupa coba blueberry cheese cake nya okaayy!! Happy holidayyy",positive
"Makanannya enak, tempatnya nyaman, pelayanannya oke, live musicnya ok n tempat yg nyaman utk kencan. Toiletnya bersih n parkir lumayan",positive
"Tempatnya enak, makanannya enak. Lokasi nya juga strategis, ga terlalu jauh dari Alun- alun kota Bandung. Cocok untuk yg ingin makan sambil bersantai",positive
"Rasa enak, pelayanan ok, view nya the best. Recommended buat yang mau wisata kuliner di bandung. Tempat favorite di bandung",positive
"Tempatnya cocok banget buat ngumpul2 sama keluarga, temen dll. Suasananya kalem bgt, banyak pilihan menunya. makanannya enak, gaperlu nunggu lama",positive
Buat yang mau liburan dan berwisata kuliner di bandung. Wajib bgt dateng ke atmosphere ressort cafe. Pelayanan cepet rasa enak bgt.,positive
"Tempat makan terbaik di Bandung. Makanannya enak2, service ok, view nya keren banget. Restoran di tengah kota dengan nuansa ressort. The best ressort cafe in town",positive
"Tempat nyaman bersama keluarga,hangout dengan sahabat maupun kerabat,tempat romantis, makanan enak, pelayanan cepat.thanks Atmosfere Resto.sukses terus.",positive
"Sudah beberapa kali makan di resto ini tapi terakhir saya makan disini, service jelek sekali. Makan disini untuk acara kantor dan kebetulan ada acara juga dibawah jadi mungkin pelayanan terbagi 2. Dikasih spot diatas kiri dan beberapa bohlam lampu pada mati dan dengan entengya pelayan ya bilang ""tidak ada lampu cadangan"" jadi disuruh pakai lilin. Restaurant bagus kok tidak ada. Lanjutan",negative
Makanan di sini enak tmptnya jg enak. Untuk kumpul keluarga sama teman teman sangat seru. Apalagi ada live band.,positive
makan di sini tmptnya enak bgt. makanan jg ok bgt. buat ngajak keluarga sama teman boleh jg tmptnya.,positive
"Sesuai dengan namanya, resto ini ga cuman jual makanan tapi juga ""tempat"" dan ""suasana"". homy, relax dan adem pisan euy. ditambah persembahan live music klo pas ada, makan disini ga bakal kuciwa. yang lagi program diet pun ga perlu watir coz banyak menu yang ""green peace"" ala Sundanese abis. kurangnya cuman 1:lahan parkir! apalagi klo weekend ato lagi ada special. Lanjutan",positive
"Tempatnya romantis dan konsepnya sudah jauh lebih jelas ya, lebih berasa kalau datangnya malam ma pasangan or keluarga. Makanannya juga oke dengan harga relatif ya.",positive
"Nice and romantis Banyak pohon2 hijau sejuk,lampu2 kecil di sepanjang jalan makanan dan minumnanya good.",positive
"Tempatnya cukup bagus dan enak buat nongkrong rame2. tempatnya luas dan nyaman. makanannya juga enak2. terutama escargot-nya . spesial banget. first time cobain escargot di sini. Gak enaknya di sini sangat rame. jadi kadang ketika kita nambah menu, datangnya agk lama. tapi enak2 sih menunya. selain western food. di sini juga banyak menu indonesianya . Harus dicoba kalau ke Bandung. Lanjutan",positive
"berada di pertengahan kota. suasana cafe didalam sangatlah berbeda. nyaman, bersih dan berkelas. top",positive
Iga Sapi bakar rica daging nya keras hampir separuh porsi ga bisa termakan. Delicious Sop buntut goreng Nice Lesehan. Nice Atmosphere,positive
"Makanannya cukup enak, suasananya juga cukup nyaman. Kami kesana bersama rombongan kantor jadi booking lantai bawah. Saya belum lihat lantai atas, tapi dari teman yang pernah kesana memang bagus juga katanya",positive
Satu2nya resto steak yg bisa booking duluan katanya. Tempat enak apalagi kalo dapat di taman. Makanannya cukup enak. Harganya ternasuk tinggi buat kantongku sih.live musiknya oke.pas ada yg ultah.,positive
Baru pertama datang kesini dan keluarga sangat enjoy dengan mknan n live music nya. Cuma pelayanan nya hrus d tingkatkan,positive
"Kesini nghadirin acara ulang tahun anaknya teman. Tempat luas, menu makanan enak, ada kolam ikan penghilang bosan buat anak kecil, dibelakang bisa duduk lesehan, ada life music buat yang suka karaoke boleh kedepan.",positive
Di sini ada irish coffe. coffe yg di campur dengan vodka tapi rasanya nagih alias bikin kita pengen dateng lagi. selain itu suasana yg cozy bikin kita betah banget nongkrong di sana. sama temen juga rame banget. bisa bercerita dari santai sampai riuh. Selain itu steak dan makanan lainnya juga enak. Tapi sy sengaja ke sini karena ingin coba irish. Lanjutan,positive
"Suasananya sangat romantis sekali. Remang remang lampunya. Tempatnya luas cocok utk keluarga. Makanan yg aku pilih entrecote mont blanc. Jenisnya ada 1/4 bagian yg minyak, 3/4 bagian daging. Banyak juga menu lainnya. Menunya variasi kok. Ada promo smp sept'16,jam9malam sampai 23malam, ada buy 1, get free 1. Kamu harus cek kesini, tidak berlaku sabtu minggu.",positive
"Tempatnya enak, nyaman. Kami saja hampir tertidur di lesehan di atas. Hanya saja entah staff yang terlalu lelah, apa yang kami minta terlalu lama datangnya. Bahkan harus beberapa kali diingatkan. Seperti minta tissue, minta mangkok kosong. Butuh 15 menit untuk mengantarkan pesanan blueberry cheesecake. Itupun setelah mengingatkan kembali pesanan tersebut ke staff. Air putihpun hanya datang 3 gelas, padahal kami. Lanjutan",positive
restoran yang indah dengan rooftop diatasnya. . memberikan suasana makan malam yg romantis ditengah kota bandung dengan lokasi yang strategis.,positive
"suasana bisa dibilang cukup romantic, mudah dijangkau lokasinya, berada di tengah kota, harga kompetitive, mohon menu lebih ditingkatkan lagi variant nya",positive
"Susasana restoran ini menyenangkan. Ada yang berupa gazebo dan berbentuk restoran untuk banyak orang. Kalau jumlah rombongan tidak terlalu besar misalnya 6 orang pilihkan gazebo karena lebih nyaman. Makanan favorit saya Chicken Gordon Blue, yummy",positive
"dengan lokasi strategis dan tempat yang di desain dengan sebegitu nyamannya, kami memutuskan untuk membawa anak2 makan dsini. pilihan makanan sama dan rasa saya pikir standar saja, hanya harga sedikit lebih tinggi dari tempat lain. tapi tidak masalah karena tempatnya sangat nyaman :)",positive
Pemandangannya bagus. Tempatnya oke. Pelayannya ramah lagi. Lokasi mudah dijangkau. Kebetulan deket dengan hotel saya ketika di bandung. Pokoknya recommended deh,positive
"Tempatnya asik, makanannya enak. Dan kami pun sering datang kesini kembali. Di kolam nya ada Ikan Arapaima yang besar sekali.",positive
"Ordered American mix grill dengan tingkat kematangan medium. Lamb meat nya ok, tapi beef nya cenderung ke well done jadi keras. Mashed potato ok. Menu lain sirloin steak medium tapi dapetnya lebih ke well done juga :(",positive
Berkunjung makan pada siang hari bersama keluarga. Desain cafe sangat menarik dengan berbagai macam pilihan menu lokal dan internasional.,positive
Fettuccine au gtain. good taste. good service. buka puasa disini ga rugi deh. cuma sayang pas ke sini pas buka puasa jdi full book,positive
"Tempat yang sempurna untuk mengadakan makan bersama dengan keluarga, pasangan, maupun rekan bisnis. Cobalah pesan sop buntut-nya yang rasanya sangat otentik. Selain itu, tempat ini sering mengadakan konser musik. Afghan, Raisa, dan Maliq n D'Essentials pernah beberapa kali konser disini.",positive
"Cafe yg paling deket dari rumah, 5 menit jalan, makanan enak, suasana menyenangkan buat kumpul2, cuma harga nya skrg lumayan ya.",positive
"Sepi, krn lg bulan puasa, cuma bbrp table yg terisi. Servicenya tetap oke, meskipun employee nya lg puasq kyknya.hehehe",positive
"Luar biasaaaaa aaaaaaaaaaa enaaaaaaaaaaaaaaaaaaaaaaaaaaaaakk banget makanannya, tempatnya seru buat hang out, seperti makan ditempat saung2 gitu,bisa muat banyakan orang, cocok buat kantor yg mau lunch bareng",positive
"makan siang disini bersama teman teman kantor ,, makanan nya endeeesss. minumnya juga.pokonya pas buat rame-rame dan yang pasti mah harus awal bulan ke sini nya biar klo mau mesen bisa sepuasnyahhh.",positive
Atmosphere Resto paling juara di Bandung Menu dan pelayanannya juara.bikin loe balik lg kesini #gagaldiet,positive
Zuppasoup rasanya agak asin. Suasananya romantis. Pelayanan ckup baik. Makanan bervariasi.tempat bisa untuk pesta.,positive
"Waktu datang gaada yang melayani, pelayannya bingung"" semua, tempatnya bagus, view tamannya bagus banget, menunya variasi.",positive
"Bandung mang pas di Bilang Paris Van Java semua da disini mau makan, minum, beli baju, nginep semua ada, Cafe yang satu ini luar biasa namanya Atmosphere Cafe tempat makan sekaligus nongkrong rame-rame ma keluarga, kawan-kawan kantor atau relasi dijamin ngak nyesel deh, dengan nuansa romantis yang cocok juga kalo buat yang berbulan madu atau dengan sang kekasih. Tempatnya sangat. Lanjutan",positive
"Restoran yang sangat nyaman dan menu makanan yang tersedia sangat enak dinikmati, ada sajian live musik cocok untuk siang dan malam hari",positive
tempatnya enak suasana nyaman.favorit keluarga.makanan yang tersedia juga enak.adavdi jalan lengkong besar jika ingin mengunjungi,positive
