content,polarity
"Udah berkali kali sih kesini gak kapok. suasananya bikin ngangenin dan makanannya juga rasa ulekan sunda nan enak. hahahaha Makanannya juga segar-segar. Disini makannya per pondok gitu, berjarak dari satu pondok ke pondok lain. udaranya seger banget di bandung atas ditambah banyak pepohonan. dingin sejuk bangetlah ditambah makanan enak. gimana gak betah? harganya menurut saya sih gak terlalu mahal ya. Lanjutan",positive
"Pengunjungnya lumayan ramai, kalo biasa makan di rumah makan padang lupakan kebiasaan sembarang ambil. Karna disini semua dihitung dan anda akan merasakan harga yang tergolong mahal. Satu itemnya disajikan banyak, seperti pesan ikan teri untuk pendamping lauk utama disini akan disajikan banyak, kalau untuk sendiri tidak bakal habis. Bagi penulis tergolong mahal dibanding tempat lain di Bandung. Tidak direkomendasikan.",positive
"Tempatnya sangat bagus,udaranya sejuk. antriannya lama, makanannya jga lama dan rasa makannannya biasa saja dan mahal",positive
"Kampung daun selalu menjadi favorit keluarga kami ketika berkunjung ke bandung. Makanan yang enak dan lokasi yang unik menjadi alasan kami selalu kembali berkunjung. Sebagai persiapan, sebaiknya pengunjung membawa payung dan mengenakan alas kaki non slipery untuk mengantisipasi cuaca yang seringkali hujan.",positive
Disini sangat ramai skali pada jam makan kl mau santai hrs datang lebih awal makanan enak dan udaranya agak dingin cukup tenang untuk relax sejenak pelayanan juga cukup cepat,positive
"Untuk perjalanan ke kampung daun cukup jauh dari kota bandung, pengunjung yang ingin kesana di butuhkan kendaraan baik pribadi atau kendaraan umum dan sewa jalannya naik turun dan berkelok. Untuk restorannya nyaman buat keluarga, menu makannya bervariasi dan sesuai untuk lidah orang Indonesia, restorannya cukup unik menyajikan suasana persawahan pedesaan dan bersih untuk harga relatif tidak terlalu mahal",positive
Masakan average tetapi lokasi amat cantik. Air terjun kotor (pollution). Makanan lambat sampai dan mahal.,positive
"Tempatny nyaman, makanan lumayan enak tapi laaaammaaa bgt nunggu main dishny, tp giliran minum n gorengan cepat bgt dtgny n masih hangat, buat yg mau ngobrol lama2 cocok bgt Ada byk tempat lesehan cozy bgt plus udara yg sejuk tipsny siapin makanan cadangan dulu sebelum pesan main dish",positive
Tempat yg nyaman dan alami utk membawa keluarga relaks suasana pedesaan alami.mengenalkan anak pda alam,positive
"Udara yang sejuk dan pemandangan indah di kawasan lembang, membuat kami terasa lapar dan ingin menikmati makan siang yang berkesan bersama keluarga. Kampung Daun tempat yang sangat sejuk dan suara derasnya air tempat saung yang pas untum menikmati istirahat sambil makan bersama keluarg. Dengan menu nasi liwet komplit yang harga terjangkau. Keluarga menikmati makan siang menghirup udara segar, apalagi cocok. Lanjutan",positive
Sebelum saya dan pasangan pulang ke jakarta. Saya mampir dahulu ke kampung daun ini. View nya keren dan makanan nya pun murah meriah. Recommend sekali,positive
Makanan khas Sunda dengan nuansa romantis. Cocok bagi anda yang ingin pergi bersama pasangan juga cocok untuk keluarga. Nuansa alam konsep nya bagus. makanan nya pun enak. pas di lidah saya .,positive
"Makan di Kampung Daun sama dengan makan di hutan pegunungan alami. Dilalui oleh air terjun (curug) kecil, suasana di Kampung Daun benar-benar memberi pengalaman baru, bahkan bagi saya yang sudah biasa berpetualang. Makanannya menyenangkan, tapi harganya agak sedikit mahal, sesuai dengan pengalaman yang didapatkan pengunjung.",positive
"cocok buat yang mencari masakan khas sunda, sambal terasi ma ayam gorengnya enak banget terasa bumbu gurihnya",positive
