content,polarity
"Restoran ini selalu ramai, sebaiknya perut jangan terlalu lapar jika berkunjung mengingat jika harus menunggu bisa 30 menit atau lebih. Menu selain Sop Buntut adalah tahu-tempe, gado-gado, ayam goreng. Menu terbatas. Pelayan kurang sigap disini, harus dipanggil dahulu. Selain itu jangan heran jika ada pesanan yang belum keluar karena pelayan tidak memastikan semua pesanan sudah diterima, sebaiknya memeriksa dan memastikan. Lanjutan",positive
"Pesen bbrp porsi ga disangka ukuran per porsi nya besar dan bener bener worth to try bgt. kenyang bukan main,rasa jgn ditanya lagi. enak bgt daging nya empuuuuuuk kuah nya ngaldu bgt.",positive
"Pertama kali kemari dahulu mungkin sekitar 4 th lalu, diajak trman yang urang bandung, pertama ngerasin langsung jatuh cinta, sampai sekarang slalu menyempatkan kemari, sekarang ini sudah di perlebar, yg td nya hanya dipojok sekarang rumah utama di jadikan juga tempat pengunjung. Recomended kalo mau cari yang panas.",positive
"Pertama kali nyobain makan disini, karena reviewnya sob buntutnya terkenal enak banget. Padahal gak terlalu doyan sop buntut sih sebenernya, tapi mumpung lagi di bandung ya udah cobain mampir aja. Kayanya enak makan sop hangat di udara dingin bandung. Tempatnya rumahan banget, homey dan nyaman. Meski kita datang gak pas jam makan, tapi tetep rame pengunjung. Kita pesan sop buntut. Lanjutan",negative
"Malam itu saya menginap di Bandung bersama keluarga. Kami memilih daerah Cihampelas agar tidak terlalu jauh merasakan macetnya Bandung saat weekend. Karena lapar dan tidak tau harus makan ke mana, akhirnya kami berkendara saja dengan menggunakan gmaps, dan kami memilih resto ini karena kelihatannya ramai pengunjung. Pelayanannya ramah, bahkan tukang parkirnya sekalipun. Namun, saat kami lihat menunya, ternyata tidak terdapat. Lanjutan",positive
Berlokasi di jalan cipaganti tepat di sebrang pom bensin. Resto yang bernuansa rumah ini terkenal dengan sop buntut goreng dan kuahnya. Untuk harga worth it dengan harganya dan dagingnya yang empuk.,positive
"Untuk lokasi di jalan Cipaganti agak susah dicari, saya dan suami harus putar 2x untuk menemukan tempat ini, dan sign Dapur Dahapati terlalu kecil. Sampai ditempat kami memesan masing-masing satu porsi soup buntut kuah dan goreng, harganya murah 60k dan terlebih lagi rasa serta porsinya pas. Kami sangat menikmatinya dan akan merekomendasikan tempat makan ini ke teman-teman kami.",positive
"Setiap ke bandung harus sempet makan disini. lokasi di jalan cipaganti, depan pom bensin cipaganti. sop buntut yang paling enak. dengan rasa klasik khas. kuahnya juga tidak terlalu berlemak, daging buntut sangat lembut. kesukaan saya sop buntut kuah yang klasik. tapi tersedia juga sop buntut goreng, yang ditumis dengan bumbu kecap. selain sop buntut tersedia juga ayam goreng dan makanan. Lanjutan",positive
"Tempatnya asik, cocok untuk makan bersama keluarga ataupun kolega. Specialis sop buntut untuk yang sedang berlibur di Bandung. Sayangnya variasi makanannya kurang banyak. Lebih di tambah lagi variasi makanannya.",positive
"Lokasinya searah kalau mau ke daerah atas, setiabudi.satu arah , seberang pom bensin Cipaganti. jd gampang cari lokasinya.sup buntut nya enak bgt kuah bening plus sayur wortel dan kentang, ada jg yg gorengnya.tp ada jg menu lainnya yg perlu di coba, gado2nya jg nikmat.hanya tempat parkirnya yg agak sempit , susah kalau lagi pas jam makan siang.",positive
