content,polarity
"aku pesan iga bakar dan sop iga. kalo menurut ku rasa iga bakar nya enak banget. di sajikan panas panas, lalu masukan cabai iris sesuai selera. sampai sampai sebelum pulang saya bungkus buat di hotel hahahha.",positive
"Ke tempat ini bersama keluarga. Porsi lumayan mengenyangkan dengan iga bakar yang disajikan menggunakan hot plate. Bumbu sangat kerasa, daging empuk. Disekitar tempat ini juga banyak jajanan lain sehingga kalau berkunjung dengan keluarga dimana ada anggota keluarga yg ingin jenis masakan lain, bisa terpenuhi.",positive
"Saya pesan melalui Gojek, rasanya tidak jauh berbeda dengan iga bakar yang lainnya. Harganya cukup mahal untuk ukuran makanan street food.",positive
"Iga bakar Si Jangkung emang mantap dan ngangenin. Saya kesini sewaktu menginap di Hotel Ardan, deket banget ke tempat ini.",positive
"Porsinya yahut, harganya standar, rasanya luar biasa nikmat, bumbunya meresap, lembut, ga amis, jempolan pokoknya. Tempatnya sederhana, biasa aja ga besar tapi soal rasa boleh diadu. Kuliner wajib buat yg suka sama iga bakar. Dekat dgn ciwalk, tgl jalan kaki 3 menit.",positive
"Iga bakar sapi & iga bakar kambing nya TOP banget rasanya, jadi mau nambah lagi. Porsi juga lumayan banyak & harga tidak terlalu mahal",positive
"Enak, Harga ekonomis mungkin tempat bisa diperbaharui lagi biar bisa lebih bersih dan nyaman . ketika weekend pasti tempat ini full terkadang kita bisa waiting menunggu yang lain selesai makan. yap salah satu tempat favorit saya",positive
Berhubung mlm minggu bandung hujan jd deh kita order iga bakar si jangkung pake gofood dianter ke hotel Pesen iga bakar kambingnya muraaah cm 35rb tambah nasi 5rb total 40rb ud makan enaaaak kenyang kambingnya enak ga bau trus empuk melt di mulut jd nyesel ga pesen banyakan bungkus bawa balik ke Bekasi,positive
"iga bakarnya mantap, kalo mau pedas tgl ditaburkan potongan cabe rawitnya. kmaren nyoba sop iga jg, ga kalah la sm iga bakarnya wow",positive
Baru kali ini saya makan Iga bakar Si Jangkung. Dan memang benar kata teman teman saya tentang makanan ini. Enak Cuuiii,positive
Harga nya lmyn mahal buat dompet mahasiswa. Tp soal rasa beuhhhh enaksss banget bro. Porsinya kurang menurut saya. Kurang banyak haha,positive
"Iga Bakar rumahan yang berlokasi di Jl Cipanganti No.75B ini,adalah iga bakar yang cukup melegenda di bandung, dia menyediakan 2 pilihan daging kambing dan sapi ini rasanaya manis gurih dan sambel nya mantep pedees banget. Harga nya per porsi Rp. 35.000 an sangat ramah di dompet. Jika anda ke bandung dan penyuka iga bakar sempatkan untuk mampir ke warung ini.",positive
Sampai saat ini Iga Bakar Si Jangkung masih yang paling enak di Bandung menurut saya. Walaupun sekarang sudah banyak pesaingnya seperti Iga Bakar WS dan lainnya. Tapi hot plate di atas wadah mangkuk dari tanah liat khas Si Jangkung tidak ada bandingnya. Harganya juga murah.,positive
"Lokasinya cukup strategis dan aksesnya mudah. Resto ini menawarkan olahan masakan dari Ayam, Kambing, dan Sapi dengan harga tidak mahal. Menu seperti Sop iga, Iga bakar kambing, Iga bakar sapi, Sate kambing, Sate ayam, Tongseng kambing, Krengsengan sapi, Gulai kambing, Nasi goreng. Iga bakar sapi rasanya enak dan nikmat. Dagingnya empuk dan sudah dk potong-potong yang menyerupai potongan daging sate. Lanjutan",positive
"Memesan iga bakar yang menjadi favorit ditempat ini, disajikan diatas hotbowl, rasanya maknyus, harga juga terjangkau. bener-bener harus dicoba. anak-anak juga sangat suka, worth try deh ke sini.",positive
"Setiap ke bandung pasti mampir kesini, rasa iga bakarnya khas tiada lawan, menu pendamping nya juga lumayab enak. Walau sedikit harus sedikit usaha untuk cari parkir mobil",positive
"Tempat yg berada d pusat kota sehingga mudah ditemukan, rasanya enak. Pertama kali kesini sih. Tp enak. Makanan d taruh di semacam cawan panas, jadi daging disajikan panas. Kekurangannya adalah parkir yg susah. Tp untuk harga worth it lah",positive
Ini favorit makanan bandung lain nya yg selalu ngangenin! Iga bakar jangkung ini tuh rasa nya manis pedes gurih. dihidangkan di piringan pot gitu. Rasa nya yummy. Ada nya cuma malam hari. Selalu rame ini tempat. Untung skr udh di luasin tempat nya jd gk ky dl antri waiting list nya lama hihi. Harga nya pun rekomendasi lah dgn rasa. Lanjutan,positive
"Temoatnya nyaman banget, harga makanan dan minumannya pun sesuai lah dengan rasa dan penampilannya. Cocok untuk dijadikan tempat buka bersama bersama keluarga, teman dan si doi",positive
"Iga Bakar adalah salah satu makanan favorit saya, dan ke Bandung saya pun mencari tempat makan yang ada iga bakar nya salah satu tempat makan iga bakar yang enak ada di Iga Bakar Si Jangkung. Jujur ini kayaknya iga bakar terenak yang pernah saya makan, walaupun keliatan porsinya kecil tapi ternyata enaknya pakai banget, bumbunya meresap ke daging, dan campuran. Lanjutan",positive
Iga bakarnya yang ditaruh di cawan hitam memang lezat banget. kalau lagi musim liburan tempat ini ramai dikunjungi.,positive
"Terletak sangat strategis dekat dengan pusat perbelanjaan. Menu yang ditawarkan aneka olahan kambing dan sapi seperti iga bakar, tongseng, dan ada juga nasi goreng. Saya paling suka iga bakar kambing dan nasi goreng kambingnya. Rasanya lezat dan disajikan di hot plate sehingga senantiasa panas. Selain menikmata hidangan, pengunjung juga dapat menikmati live musik sederhana dari pengamen yang mangkal disana.",positive
"Enak selain sapi ada juga yang lain. Ada nasi goreng juga. Ada ayam tong seng. Tong seng sapi. Kambing. N ada live music. ""Pengamen"" di depannya. enak",positive
"Tekstur iga bakanya empuk, rasanya enak akan tetapi cukup asin, sehingga mempengaruhi rasa keselurahan iga bakarnya. Mungkin perlu ada quality control agar rasa terstandar dengan baik. Tempatnya juga perlu direnovasi agar lebih comfort dan tidak terkesan becek saat hujan. Jika membawa mobil, pastikan mendapat space parkir yang baik.",positive
"Kesan pertama bagi saya adalah rasa iga sapi yang lezat, dagingnya juga empuk. Sesuai dengan harga. Tapi sayang sekali, pelayannya butuh latihan lagi, tidak bisa menyambut tamu yang baru datang dengan baik. padahal ada tamu di depan mata, tapi sangat acuh sekali. Tolong di latih lagi untuk pelayannya.",positive
"mau tau iga bakar yang paling enak di Bandung? Ya, disinilah tempatnya. Tapi harus siap untuk mengantri agar dapat makan ditempat ini. Tidak pernah sepi walaupun hujan, dan menu yang paling favorit adalah iga bakar. Juara deh pokoknya!+",positive
"Sekitar jam 8 malam saya kesana, alhamdulillah sudah tidak ramai dan belum habis. Bisa request di buatkan pedas dengan penambahan rawit. Bikin ngiler kalau di ingat-ingat.",positive
