content,polarity
"Terakhir kesini 2taun lalu pelayanan masih ok, ramah dan berbicara bahasa sunda, ia lah secara tempatnya dibandung, resto sunda, tapi sekarang sy kesini ceritanya minta ke pelayannnya gabung 3 meja, eeeh itu pelayan malah bilang pesan aja dulu bu, sy bilang, saya rombongan, pesannya nanti saja kl rombongan udah dateng, eh itu pelayan malah gabung 2 meja, sy samperin lagi. Lanjutan",negative
"Restoran ini menyediakan masakan khas sunda tradisional dengan beberapa variasi nasi dan lauk yang dimasak diatas tungku bara api. Mereka juga menyediakan nasi putih biasa dan nasi merah. Lauk beraneka ragam, seperti : ikan asin, sambal jengkol, ayam goreng, empal daging, sate telor, cumi hitam, dan cumi asin. Tidak ketinggalan paru goreng, usus goreng, dan babat gorengnya. Parunya tebal dan. Lanjutan",positive
Hampir semua makanan sunda porsi besar ada disini. Hanya hati hati penyajian karena bisa nanti jorok dan banyak lalat. Maju terus dan jaga kebersihan ya,positive
"Restoran sunda tradisional yang menyediakan beberapa variasi nasi dan lauk Menu yg saya pilih adalah nasi liwet, yang dimasak diatas tungku bara api. Mereka juga menyediakan nasi putih biasa dan nasi merah. Lauk yg saya coba: cumi hitam, dan cumi asin. Favorit saya cumi hitamnya. Tidak ketinggalan paru goreng, usus goreng, dan babat gorengnya. Parunya tebal dan enak! Disini juga. Lanjutan",positive
"Kebetulan melintas gedung sate untuk foto-foto, pas lapar dan Mampir tanggal 27 Desember kemarin saat liburan Natal di Bandung. Pengunjung padat dan antrinya bikin lapar kabur. Kami kesulitan dapat meja kosong lho, ada begitu hanya meja yg sudah terisi dan ada masih kosong namun sudah dibook orang. Tapii. Makanannya enak tenan.semua menu khas Jawa dan asli Indonesia sehingga pas buat. Lanjutan",positive
Saya baru pertama kali mengunjungi restoran ini. Saya makan malam bersama rekan kantor saya yang mengusulkan untuk makan malam di sini karena saya ingin mencicipi makanan khas Sunda namun lokasinya tidak jauh dari area Dago. Restoran ini tampak sederhana dan tradisional namun pengunjung sangat banyak terlebih di saat akhir pekan. Menu makanannya juga bervariasi dan cukup lezat dan terjangkau. Lokasinya. Lanjutan,positive
"Makan disini suasanya asyik, dibuat berasa di desa dengan bentuk kursi+meja serta tempat lesehannya. Peralatan makan yang digunakan juga pakai peralatan jadul seperti piring, gelas, ketelnya. Menu makanannya bervariatif dan full traditional sundanese foods dan self service. Nasi liwet, pilihan ikan asin yang bervariatif, sambal, lalapan, serta menu hidangan lain. Gak ketinggalan desertnya juga ada cendol, dawet dll. pokoknya yang. Lanjutan",positive
"- ada nasi liwet - lauk nya beragam dari ayam, burung dara cumi, ikan hingga udang - lokasinya di pusat kota - tempatnya nuansa jadul banget",positive
"Rumah makan khas kuliner sunda, tersedia berbagai jenis menu favorit serta terdapat hidangan pencuci mulut",positive
"Yang makan rame,antri,menu masakan,masakan standar seperti dirumah.rasa biasa aja.harga ngak sesuai kualitas rasa.",positive
Rm makan sunda dengan konsep jadoel. Memakai piring dan gelas dari kaleng. Menunya banyak dan rasanya lumayan. Hari libur penuh susah parkir.,positive
"Tempat makannya unik,penyajian makanan tradisional banget.Rasa standar banget,masih ada banyak rumah makan khas sunda yang rasanya lebih menang. Kalau menikmati suasana sunda jaman dulu sih oke. Tapi kalau soal enak , relatif deh",positive
Makan disini jgn pas makan siang. Antrinyaaa. Makan pakai piring seng. Ada kue balok Minuman makanan jaman dulu juga ada. Rate makanan standar sih,positive
"Restaurant yang menyediakan menu makanan khas Jawa barat. sebetulnya rasa standard seperti layaknya restaurant Sunda lainnya, yg unik disajikan di piring kaleng jadul dan harga murah sekali.",positive
"Homy banget suasana nya. makanannya baaaanyak banget ragamnya. nyenengil liatnya. yang paling top emang tahu gejrot, paru sama burung puyuhnya. Must try menu.",positive
"Lokasinya berada di pojokan dekat pertigaan, sehingga parkirnya agak susah khususnya pada lunch time dan weekend. Keunikannya adalah menggunakan peralatan makan jadul seperti piring kaleng dan mug kaleng. bahkan ada yang sudah sompel. hidangannya khas sunda dan sudah tersedia diatas meja saji, tinggal tunjuk atau ambil dan bayar. kebanyakan menu gorengan, seperti tahu, tempe, ayam, ikan mujair, jeroan dll. rasanya. Lanjutan",positive
"suka banget kalo ke bandung datang kesini, banyak pilihan masakan dan sayur lalapan, khas sunda banget. tututnya enak banget, es goyobot jugaa. mantap banget pokoknya",positive
"Rekomen untuk makan siang ala indonesia , pilihan makanannya banyak sekali tinggal tunjuk saja. kebanyak yang bentuk gorengan , misalnya empal, ayam goreng , tahu goreng dll. Peralatan makan yang dipakai yang ala model jaman dulu, seperti piring seng , gelas seng, mengingatkan makan di jaman dahulu. Pelayanan cepat",positive
"Saya lbh memilih bancakan drpd ampera. Krn cita rasa n bumbu nya yg pas. Identik sama piring dan gelas kaleng khas petani2. Paling suka menu es goyobod nya sama usus, abon ny hmmmm yummy di makan dengan nasi panas. Kekurangan nya cuma 1, parkiran nya susahhhhhh. Disarankan kalau kesini jangan saat jam makan siang or malam minggu.krn rame sekaliiii. Ya. Lanjutan",positive
"Sdh bbrpa kali makan di tmpt ini. Menu merupakan menu khas sunda, trutama tersedia menu yg sdh jarang ditemukan di rmah makan lainnya di bandung. Rasa makanan, sungguh lezatt",positive
"Tempatnya tradisional, tempat makan nya juga piring kaleng jaman dulu lucu deh, antrinyaaaaa gilaaak! Parah banget. rasanya sih biasa aja enakan buatan umi. Sop iganya sih suka. Es goyobotnya kurang enak sih hihi",positive
"Menu masakan yang disajikan relatif umum dengan cita rasa sunda, akan tetapi yang membuat unik adalah piring makan dan gelas minum yang digunakan merupakan piring dan gelas seng yang bermotif ""jadul"" atau ""old-fashioned""",positive
"pergi kesini karena melihat di salah satu acara televisi, tiba di rumah makan disuguhi makanan khas sunda (dan saya langsung ke menuju ke menu kesukaan saya yaitu SEMUR JENGKOL) namun setelah dicoba semua rasa makanannya standar dan satu hal bagi saya yang perokok di sini tidak disediakan tempat makan bagi perokok padahal ruangannya tidak tertutup secara keseluruhan Secara keseluruhan tempat. Lanjutan",positive
"1. makanan khas sunda 2. rasanya enak 3. harga pas di kantong 4. nuansa tempoe doeloe 5. rekomended nasi liwet, empal dan abon nya",positive
"kelebihan restoran ini adalah pada gaya penyajiannya yang kita dikembalikan ke masa dahulu dimana masih menggunakan gelas kaleng hijau motif batik hingga piring kaleng, kue batok dan beberapa jajanan khas tempo dulu lainnya kalau soal rasa masakan, enak , biarpun tidak seenak beberapa restoran sunda yang saya pernah rasakan lainnya hal lainnya, restoran ini mudah ditemui dan berada di pusat. Lanjutan",positive
"nasi bancakan ini sebuah restoran sunda yang tentunya menawarkan masakan sunda seperti liwet, beragam jenis pepes, dll. harganya yang terjangkau di dompet ini patut anda kunjungi bersama keluarga, teman-teman dan orang terkasih anda. keadaan rumah makan yang tradisional membuat anda betah lama lama disini, karena keadaan yang lumayan asik dan nyaman untuk bersantai.",positive
Tempat yang pas untuk cari makanan rumahan dengan rasa yang pas dan harga yang juga pas dikantong! Ada juga jajanan seperti tahu gejrot dan otak-otak yang pas sebagai makanan pembuka,positive
"Saya termasuk orang yang suka wisata kuliner. Lidah saya bisa menerima semua cita rasa makanan. Makanya saya bisa makan dimana saja yang penting higienis. Hampir setiap saya ke kota bandung, saya sempatkan makan di tempat makan Bancakan ini. Menu makanan yang cukup beragam khas sunda, ada ikan asin, ada sambel orex, ada sate telur, ayam panggang, ayam goreng, sayur-sayuran, dan. Lanjutan",positive
"lokasinya gampang banget dicari, cuma memang kalo pake mobil agak susah nyari parkirnya. makanannya enak-enak, tapi ati2 kalap karena modelnya prasmanan. nasi liwetnya terlalu manis menurut saya, tututnya mantap.",positive
"Tidak perlu bingung untuk mencoba cita rasa sunda dari mulai camilan hingga makanan berat. Disinilah tempatnya! Pertama - tama Anda akan dipersilakan untuk antri parasmanan sunda dgn berbagai pilihan nasi, lauk dan lalapan. Kemudian, Anda dapat memilih minuman tradisional yang pas sebagai pendamping makanan Anda, tak lupa juga ada camilan camilan khas 'karuhun' seperti kue balok yang nikmat disantap sehabis. Lanjutan",positive
"Makanan disini menurut saya kurang enak ya, karena saya orang minang, saya tidak terlalu suka makanan sunda yang manis hehe",positive
"Tempat wajib kalau berkunjung ke bandung. Makanan yg nikmat, dihidangkan dengan sederhana, entah kenapa selalu suka sama piring dan gelas jaman dulu yg digunakan disini. Kalo ga nambah tuh kyaknya ada yg beda. Nasi liwetnya enak, pete bakar dan ikan peda. wah makanan sederhana, nikmat tiada tara. Harganya pun murah. Eits, siap2 antri ya kalo kesini pas weekend.",positive
