content,polarity
Sangat memuaskan meskipun perjalanan yang panjang karena macet di tahun baru. Namun sampai sana kami sangat menikmatinya dan mendapatkan banyak foto2 bagus. Makanan juga cukup memuaskan meski harganya agak tinggi. Namun sepadan dengan view dan kenyamanan yang diberikan,positive
tempat ini best banet buat kalian mau pacaran atau nembak ala romantis di puncak gunung dengan hawa sejuk dengan disajikan wine dan makanan eropa yang khas.,positive
"Sebenarnya kesini karena ada acara ulang tahun teman, jadi kita menginap di villa burgundy yang berdekatan dengan restaurant nya. restaurantnya sih Oke banget yaa, banyak spot2 bagus buat berfoto ala ala hahaha untuk menu nya aku suka sama hot chocolate dan chicken quesadillas. makanan2 cocok dengan suasana dan cuaca disana yang sejuk banget. next pengen kesana lagi.",positive
Restoran yang bagus dengan konsep outdoor yang nyaman serta pemandangan yang bagus. sayang harga yang dipatokkan terlampau mahal,positive
"Buat kalian yang cuma tau tempat dinner romantis yg ada di dago, boleh di coba neh makan di burgundy sini, disini sich menurut gw tempat yang enak bgt buat ngadem selaen tempat nya yg hening kita jg bisa liat rerumputan yang hijau meski cuma di taman nya, hehehe. tapi balik lagi buat gw sich makanan, haha. ga usah di ragukan. Lanjutan",positive
"Restoran burgundy ini letaknya di dago atas. tempanya ada yang outdoor, dan memang bagus duduk2 di outdoor nya jadi kurang cocok kalau musim hujan. makanannya bergaya eropa",positive
"kita makan siang disini, untuk harga makanan harganya cukup mahal, Makanan yang tersedia lebih ke western. untuk rasa cukup enak.",positive
"Tim saya akan mengadakan dinner team di burgundy. Daripada tersesat, saya dan sekretaris saya mencoba mengecek tempatnya dahulu sehari sebelumnya. Sekalian juga tes makanan. Perjalanannya jauhhhhhhh sekali dan naik turun bukit. Diperparah ketika kami ke sana itu hari Minggu sore sehingga macet. Sesampainya di sana sih pemandangannya OK. Tapi layout restorannya biasa saja. Di sana saya hanya memesan susu coklat. Lanjutan",negative
"Tempatnya terletak di maribaya, udaranya sejuk, suasananya romantis bgt, makanannya enak, harganya agak lumayan mahal. my favorite place with hubby.",positive
"Tempatnya agak terpencil dan agak susah cari nya, untungnya ada petunjuk pas di pasar lembang, tempatnya asik banget untuk bersantai, udaranya sejuk, makanannya lumayan enak eropa food, harganya cukup mahal .",positive
