content,polarity
"Restonya bagus dan besar. waktu kesini saat makan siang dan hari minggu rame sekali pengunjung. Makanannya enak enak, gurame goreng dan sambalnya mantap.",positive
"Alhamdulillah.kita masih bisa merasakan daun pisang yang segar dan alami di tengah kota ini.Diantara hiruk pikuk kendaraan dan beberapa penganan yang tidak terlalu membangkitkan selera, restoran ini menawarkan cara makan sederhana dan mengedepankan tradisi.seperti lagi piknik.Makan dengan berbagai pilihan sambal dan lalapan.nikmatnya dengan tangan.",positive
Secara tempat strategis dekat dengan jalan riau.disini untuk makan ambil sendiri dan pelayanannya cukup memuaskan.untuk harga lumayan mahal tapi terbayarkan sudah dengan makanannya yang enak.,positive
"Saya pernah coba makan ditempat ini, alasnya bukan piring tapi daun sesuai dengan nama tempatnya. Jadi rasa tradisional di tengah kota modern.",positive
Minggu sore restaurant belum banyak pelanggan area cukup besar buffett lengkap staff kelihatan on guard to their Job not to customer. Menu variasi cukup banyak di Indonesian style dengan konsep Dadakan was oke.detail dan ambiance kurang menunjang dengan thema seperti alas daun di lemaskan tapi tidak di lap (debu/kotor dari daun) Nasi beras keras tidak kenyal (Stratchy) Rasa dominan dengan. Lanjutan,positive
Makan malam bersama keluarga di restoran alas daun tidak mengecewakan. rasa nya enak. nasi tutug oncom nya juga juara rasa nya. sambal variasi nya banyak. aneka lauk khas sunda dan pepesan juga enak dan harga standard (tidak terlalu mahal). cuma untuk makan seafood seperti nya mahal ya. hehe. beli udang goreng tepung dgn porsi yg sedikit harga nya menurut saya. Lanjutan,positive
"memberi layanan yang amat bagus, sentiasa memberi senyuman, senang berkomunikasi. insyallah akan datang lagi ke sini. amat memuaskan. pengalaman menarik dengan masakan yang enak.",positive
"Tempatnya sih menarik, mudah dijangkau dari segala arah. menu yang disajikan cukup variatif dan ditata dengan rapih. Sebetulnya cukup nikmat, tapi tidak sesuai. List harga urtuk makanan, sama sekali tidak ada. Saya pilih sayur bunga pepaya (mungkin ditambah kata pedas.???) tapi yang disajikan malah lebih banyak cabenya daripada bunga pepaya. Minta tambah air teh, yang diberikan bukan teh hangat tapi. Lanjutan",positive
"Well, Mohon Maaf Buat Manejemennya ya. Berawal dari jalan-jalan ke Bandung dan Mampir ke sini. Hal pertama adalah penyambutan. Iya kami tidak ada yang menyambut sehingga kami kira langsung duduk bisa, ternyata kami salah. Ketika akan duduk di kursi yang kami tuju, ada Pelayan yang tanya sudah pesan tempat duduk? Lalu saya pun bertanya, dimana? Dia jawab di depan. Yowis. Lanjutan",negative
"Selalu jadi pengalaman yang menarik kalo lagi berkunjung kesini, musti cobain dawegan sangkuriangnya. Juara. tap sayang dawegannya sekarang makin kecil.",positive
"Dibandingkan resto sunda lainnya, rasanya tidak istimewa. Saya memesan ayam hejo, dengan rasa yang kurang nendang. makanan dinikmati beralaskan daun pisang. tempatnya selalu rame terutama pada siang hari",positive
Resto ini cukup menarik karena tempat makannya bukan piring tapi alas daun. Layanannya cukup baik dan ramah. Menu sangat beragam dengan cara prasmanan. Ayam bumbu hejo adalah makanan berbahan dasar daging ayam yang digoreng kemudian disajikan dengan sambal hijau yang berminyak. Rasanya sangat sedap. Sambal goreng kentang terasa sangat manis dan gurih. Kentangnya digoreng kering dan bumbunya lengket. Rata-rata masakannya. Lanjutan,positive
"Beberapa kali on the spot ga dapat tempat, weekend akhir bulan Agustus kemarin akhirnya dapat tempat juga, Cara Makan yang lain dari pada yang lain, makan dialasi daun tanpa ada piring dan sendok garpu. Patut dicoba Ikan bakar barakuda, jengkol crispi, ayam si buluh buat yang suka pedas yang dibakar di dalam bambu, dan tumis bunga pepaya. Tapi kami agak. Lanjutan",positive
"Lokasinya dekat masjid Pusdai di seberang resto seafood HDL, dua-duanya selalu rame. Resto ini unik karena menggunakan alas daun sebagai pengganti piring. Tempatnya cukup nyaman untuk makan rame-rame. Variasi menu cukup banyak,dan lumayan enak. Tapi bagi para pecinta sambal, sambal di sini kurang nonjok :D",positive
"Sehari sebelum kedatangan, kami sudah membuat reservasi. Pada hari H nya di jam 10.30, kami pun sudah mendatangi lokasi dan sudah confirm dan mendapat kursi no.1 dan 2. Namun, saat kami datang sesuai dengan jadwal, kami mendapati orang lain menempati kursi kami dan diminta untuk mengambil kursi lain nya. Kecewa, sudah pasti! Mengenai rasa, tidak jauh berbeda dengan restaurant sunda. Lanjutan",negative
pilihan makanan sangat banyak dengan pilihan tempat duduk yang banyak. di saat bukan jam sibuk kadang pelayanannya agak lama tp kalau jam sibuk malah lebih cepat :(,positive
makanan dengan citarasa sunda yang nikmat. dan banyak sekali pilihannya. yang menjadi unik adalah ketika kita makan dengan menggunakan alas daun pisang,positive
"Rumah makan ala sunda yang nyediain banyak pilihan makanan, cuma sayang untuk sambal pun harganya lumayan, jadi pas mesan makanan jangan sampe lapar mata ya tapi pesanlah yang memang mau dimakan saja,suasananya enak, posisi pun mantap dekat dengan gedung sate dan museum geologi.",positive
"lokasi strategis penasaran karena daerah situ rame trus parkirannya, ntah yg k hdl ato k alas daun ya rame2 sama keluarga rasa biasa aja, mahal iya, sayur seuprit tempatnya juga biasa aja yang beda cuma makan pke alas daun pisang",positive
"RM Khas Sunda dengan tempat yang cukup nyaman, dan masakan yang cukup 'nyunda' rasanya cukup enak, piring menggunakan alas daun, namun untuk yang tidak biasa bisa minta/pinjam piring nasi, harga relatif terjangkau atau cukup mahal tergantung masakan yang dipilih (kategori: menengah-mahal) ada makanan/camilan juga, saya kira tahu gejrotnya salah satu yang paling enak di kota bandung, ada colenak juga, untuk. Lanjutan",positive
