content,polarity
"Jangan mengharapkan puas dengan makanan berat yang ada disini, mereka menjual tempat, tapi makanannya mungkin dibawah rata-rata. Cuma pancake dan kue saja yang lumayan enaknya.",positive
"Untuk makanan, rasanya cukup enak. Hargapun tidak mahal untuk ukuran menengah ke atas. Kira-kira Rp 100.000,- per orang. Untuk pemandangannya yang super keren disarankan untuk datang disaat sore menjelang malam, jadi terlihat perbedaan saat matahari tenggelam dan malam hari yang penu dengan kerlip lampu dari rumah-rumah yang ada di lembah. Cuaca cukup dingin jadi kalau malam sebaiknya menggunakan pakaian yang. Lanjutan",positive
"Sudah beberapa kali datang ke Cafe ini, selalu ramai pengunjung. Kita selalu pilih meja outdoor karena ingin melihat suasana malam Kota Bandung Untuk harga makanan ditempat ini tergolong mahal tapi sesuai dengan kenyamanan cafenya. Ada live music dan bisa request lagu atau bisa juga menyumbangkan suara lho hehehe",positive
"Tempatnya asik dengan pemandangan citylight yang bagus, pelayanan cepat walau harus menunggu sih kemarin. Efek tahun baru sih haha jadi waitinglist yaa. Makanananya enak enak juga.",positive
Saya datang ketika petang dan hujan deras tempat parkir cukup luas ketika masuk kami dijamu dengan showcase pastry banyak small cake yang ditawarkan lalu masuk k restonya kurang nyaman agak kumuh mungkin sedang ada renovasi . dan kebanyakan staff dibanding tamu yang datang. makananpun kurang enak dibanding dengan yg dulu apa mungkin beda chefnya? saya sih gatau ya . menu. Lanjutan,positive
"Saat itu sedang kedatangan kerabat dari luar, dia berniat untk traktir makan karena dulu pernah kesini dan tempatnya okai, jadilah aku ajak dia kesini juga namun saat itu sedang bulan puasa dan berbuka puasa disini bagi kami kurang cocok, saya pesan newyork steak karena baru buka puasa rasa steakpun terasa kurang enak. Makanan disini sekarang ga terlalu maha, 100rb bisa. Lanjutan",positive
Sudah dua kali saya makan di sini. Pertama dengan teman. Yang kedua bersama keluarga. Tempatnya bisa memilih di dalam gedung atau di teras belakang gedung dengan view Bandung di malam hari. Saya memilih di makan di luar gedung (karena di dalam sudah penuh). Sangat malam menjelang pemandangan kota Bandung sangat indah. Meja kami pun di beri lilin biar suasana romantis. Lanjutan,positive
Lokasi kafe ini deket banget ama the valley alias jalan sebelum k d valley. jadi iseng nyobain. eh lumayan juga tempatnya. meski gak se keren valley. makananny pun enak2.,positive
"Pergi merayakan Ulang tahun ditempat ini sangat berkesan, saya dengan istri memilih tempat ini, menu makanan variatif, dari western samapi lokal ada, sedia baju hangat.dingin sangat disini,",positive
Dulu tempat ini sangat laki tetapi sekarang menjadi sepi. Makanannya keluar lama sekali. Pelayannya tidak gesit. Makanan tidak datang hampir bersamaan. Gedungnya tidak terawat,positive
"Setelah keliling nyari cafe yg cozy dan sepi ahirnya kita pilih sierra cafe walaupun awalnya agak ragu karena super rame banget (mengingat ini malem minggu) setelah masuk agak pusing liat ramenya,hampir semua meja penuh,dan itu super rame,ahirnya kita pilih duduk di semi outdoor,view nya memang bagus cuma karena rame jadi agak susah untuk take foto yg bagus. Untuk harga makanan. Lanjutan",positive
Restoran ini memiliki pemandangan yang bagus. Jenis makanan nya pun lengkap dengan harga yang terjangkau. Pelayanan nya cukup cepat.,positive
"Tempat makan yang nyaman dengan service yang cukup memuaskan, di tambah parkir yg cukup luas dan makam sambil liat pemandangan kota bandung. Baiknya pada saat berkunjung kesini saya sarankan jangan jangan pas weekend atau hari libur karena lumayan ramai.",positive
"Menu cukup lengkap, dengan porsi yang mengejutkan karena lebih besar dari perkiraan kami. Taste memuaskan. Kami memesan steak, udon, ramen, sushi dan ice cream. Mengenyangkan dan belum menjumpai yang tidak enak. Ditambah lagi pemandangan yang kita Bandung yang bagus apalagi di waktu malam. Suasana sangat romantis saat malam. Disarankan kunjungi saat makan malam. Kekurangannya adalah makan cepat dingin karena memang. Lanjutan",positive
"Kalao mau kesana jangan pas malem sih, soalnya bakal nyesel gak bisa liat pemandangan yg indah banget, aku pas kesana waktu itu malem jadi nyesel banget soalnya gak bisa liat pemandangan yg seru-seru, cuma liat lampu lampu aja:(",positive
Restoran ini terletak di dago atas. view nya yang bagus dan suasana restaurant membuat restaurant ini terlihat romantis. hidangan eropa menjadi hidangan utama.,positive
"Resto dan kafe di Bandung yang terletak di Dago pakar cocok untuk kamu pasangan yang ingin bepergian dengan suasana romantis dan udara dingin bandung, recomended!",positive
"Untuk pilihan makananya kurang , enak buat hang out ngopi ngopi brg tmn. view bandung dan tempatnya asik",positive
Ke sini malam hari sama teman-teman bagus banget view-nya. Romantis banget kalau makannya di balkon luar. TOP deh .,positive
"Berkunjung ke sierra cafe saat hujan memang sedikit kecewa, tapi untungnya hujan berhenti dan bisa melihat pemandangan bandung yang indah dengan lampulampu romantis. Udara yg sejuk menemani makanan yg enak. Nice !!",positive
"Sebaiknya bila berkunjung ke tempat ini pada sore hari karena pemandangan menghadap gunung yang sangat indah, tempat yang luas dan pelayanan yang ramah, menu yang saya paling suka adalah Zupa Soup karena sangat enak",positive
Restaurant ini memiliki pemandangan yang bagus dan udara yang sejuk . Makanan nya juga lezat dengan harga yang sepadan.,positive
"Kedua kalinya kesini, pemandangannya tetap bagus. Kalau pas datang tidak dapat tempat dipinggir resto dengan pemandangan bisa titip pesan ke pelayan untuk reserve ketika ada yang kosong sembari menunggu di dalam dan memesan minum (jangan lupa kasih tip) Memesan Chicken Gordon Bleu, Great Caesar Salad, dan Chicken Mushroom. Ketiganya memuaskan lidah.",positive
"Lokasi nya berada di puncak tidak jauh dari pusat kota, bangunan tiga lantai yang tentu nya memiliki area makan yang luas, di lantai satu terdapat live musik, saya kemarin mengambil tempat dilantai dua nya dan memilih untuk duduk di teras supaya dapat melihat bandung dari ketinggian,menu masakan bervariasi dan yang termurah menurut saya adalah menu serba salad yang rata rata. Lanjutan",positive
"Pertama kali saya datang view nya keren, lalu saya pesan Chicken Au Gratin untuk range harganya sih lumayan juga tapi 'Worth It' . view nya lebih bagus di outdoor untuk foto tapi kalau foto malam kurang jelas karena disana kurang cahaya but next time i will try other menu ;)",positive
"Datanglah malam hari Anda akan menikmati Bandung dari ketinggian bertabur bintang-bintang. Ambil seat yang outdoor, pesan tenderlon steak atau sop iga bakar. ga kan nyesel",positive
"Sierra cafe & lounge, resto ini menyediakan makanan/masakan ala western, tp sop buntut tersedia & begitu juga coffee latte/cuppuchino yg nikmat, serta pemandangan kota Bandung khususnya waktu bersantap malam/dinner, indah sekali !",negative
"Untuk anda yang suka tempat nongkrong yg punya pemandangan alam, sierra dapat menjadi pillihan. Makanannya cukup enak dan pemandangan yang disajikan enak. Cocok untuk tempat nongkrong bersama teman dan pasangan",positive
"Tempat makan yang menawarkan view menarik. Buka sampai malam. Makanan cukup variatif, mulai aneka steak, makanan jepang, dan makanan indonesia (meski sedikit sekali).",positive
"bagi anda yg suka berwisata ke bandung tidak ada salahnya untuk mampir ke tempat ini, selain tempat nya bagus , makan yg di tawarkan juga lezat dengan harga yg masih terbilang menengah. ada baiknya kl kesini di saat sore atau malem.tempat parkit yg luas. terkadang ada promosir dr kartu kredit pastinya lebih hemat di sakut.",positive
"Pertama kali datang ke tempat ini ekspresi saya dan teman saya adalah ""WOW!!"" kami semua merasa senang melihat pemandangan dari resto ini. Untuk harga makanan sekelas Cafe seperti Sierra yang biasanya hanya menjual pemandangan, sangatlah worth it karena makanannya enak-enak dan harganya masih masuk akal. Saya suka Chicken Au Gratine nya, enak bangettt. Steak, Salad, dan Omelete yang dipesan kedua. Lanjutan",positive
"tempat yang cocok untuk bersantap makanan bersama keluarga dan kekasih hati sambil menikmati pemandangan kota bandung, lebih bagusnya datang dimalam hari, pasti akan takjub dengan pemandangan kelap kelip lampu kota",positive
"Recommended banget lah. Makanan enak, cappuccinonya nagih, city View keren, hrg miring dan valet parking byr seikhlasnya. Dateng pas menjelang maghrib pasti lebih keren. Jangan lupa bawa jaket kl mau makan di outdoornya.",positive
"Dulu kami mampir kesini udaranya termasuk dingin dan menyengat. Restorannya cukup besar, ada tiga lantai, dan tanahnya luas. Sekarang udaranya sudah tidak dingin. Model makanannya ada western, indonesia, italian, chinese food, steak. Malam minggu datang ke sini lumayan tidak seramai The V*****. Ada bus rombongan dari Perancis juga. Parkiran luas dan mudah. Tapi entah kenapa sepertinya kualitas masakannya sudah menurun. Lanjutan",positive
"Disarankan untuk datang menjelang malam, karena view kota bandung bisa dilihat dari lokasi ini. Semua jenis steak yang saya coba lezaat. Coba yang sierra steak dan sebanding dengan porsinya. Area parkir luas.",positive
"Makan di tempat ini, bukan hanya perut yang kenyang, tapi mata juga senang. Porsinya pas untuk orang Indonesia yang suka makan macam saya. Pemandangan 'bukit bintang' khas daerah Dago pun menambah nilai plus untuk tempat ini",positive
view superb.udara sejuk wilayah khas Bandung atas.dingin-dingin empuk. :) tempat yang sangat romantis dan eksotis.indah sekali.kualitas makanan juga enak.,positive
restoran ini mempunyai pemadnagan yg sangat indah namun penataaan meja makan sungguh berantakan menimbulkan kesan restoran biasa bukan setara cafe ataupun lounge untuk harga standar dan rasa pun standar,positive
"Saya memilih steak wagyu yang merupakan salah satu makanan favorit di restoran ini, dagingnya istimewa begitupun harganya cocok untuk makan malam romantis bersama istri sambil menikmati pemandangan malam kota bandung di bawah sana.",positive
