content,polarity
"Kalau mau cari pork food yang enak, cobain ke Puri Bambu. Old resto but still have good food there. Kemarin nyobain Bakut kuah & sate babi. Saya pesan yg daging & samcan, pas rasa & enak. Bakut kuahnya kalo dimakan begitu aja sih asin, tapi stlh dikasih sambal baru terasa pas dilidah. Harga tidak mahal, terjangkau buat kita. Tempatnya di. Lanjutan",positive
Kirain pertama kesini bakal dijamu dengan masakan sundanese. ternyata ini restoran chinese food. lumayan sih rasanya. harganya cuman agak mahal. yang keinget di sini. cuman es mangganya enak bangett. asem2 seger.,positive
"Memang sebagian besar makanan haram, karena sebagian besar terbuat dari daging babi. Tapi harga dan rasa sangat sesuai apalagi yang unik adalah telur mata babi",positive
"makanannya enakk. telur petenya enak bangeeettt, padahal ini restoran yang terkenal bakut sama sate babinya tapi yg menurut saya enak telur petenyaaa the bestt!!!! tapi makanan yang lain juga cukup enak dan cukup worth it harganya sate babinya enak, ikan asam asamnya juga enak. tapi suasana dan kenyamanannya kurang karena agak panas dan pengap udaranya",positive
"dahulu, selalu mampir kesini, harga oke, makanan oke, sate babi nya mantapp SEKARANG, mungkin tanggal 3 juli 2016 kemarin menjadi saat terakhir kesana, KECEWA, harga sekarang semakin mahal DIBANDING dengan RASA, TEMPAT, KEBERSIHAN, APALAGI DISAJIKAN SATE BABI BAGIAN USUS YANG SUDAH ASAM RASANYA",positive
"Suasananya sih biasa aja, tapi makanannya enak pake banget. Very recommended terutama sate nya. So yummy. Harga cukup bersahabat terutama kalo makan rame2. Bisa sambil share2",positive
"Restaurant di Bandung yang menjual menu 80% Babi. Suasana restaurant menyenangkan, meja dan kursi makan semua terbuat dari kayu. Kami mencoba bakut teh, nasi besi babi, mie goreng babi, steak babi, ribs babi. Semua makanan enak dan disajikan dengan cepat. Porsi makannannya cukup besar dan bisa dimakan ber 2. Namun pelayannya kurang cekatan dalam melayani. Buku menu hanya 1 sehingga. Lanjutan",positive
Puri bambu restoran. Di daerah sukajadi atas . Kami coba bakut singapore dan sate babi nya . Woew enak bener .pelayanan nya cekatan dan baik .juga ramah . Makanan nya pun sajikan cukup cepat. Kami puas makan di sini z,positive
"Rumah makan puri bambu di bandung utara. Kami pesan sate babi dan kuah bakut nya. Wahhh enak rasanya. Palayanan baik. Sajian nya agak lama , di karenakan werks end pengunjung banyak ,",positive
"Restaurant ini terletak disekitar karang setra. Restaurant ini menghidangkan menu non halal, 80% hidangan ditempat ini adalah PORK!",positive
"Salah satu makanan favorit pengunjung di restaurant ini adalah sate babi. Yang paling ""uenakk tenan"" adalah sate kulit babi, jangan lupa memesan masakan ini !",positive
"salah satu tempat menyantap hidangan babi di bandung. sate babi nya juara. otak2nya juga juara. selain itu, tahu goreng, telor mata babi",positive
"Saya dan istri saya pagi hari liwat di puri bambu . Ternyata ada makan pagi di alamat tersebut. Juakan di luar gedung . Di tempat parkir nya . Tersedia macam2 makanan, sedia bubur ayam dan nasi rames . Kita bisa pilih beberapa macam sayur nya. Harga cukup murah .",positive
"disini babinya terkenal, kemarin mencoba sate babi, kulit dan samcan goreng crispy. the best harga ga murah tapi juga ga mahal.",positive
Puri bambu restorant enak sate B2 nya serta bakuteh nya yammy . Makanan lain pun juga enak2 . Kami sering sekali mampir kesana,positive
"kemarin liburan ke sini sama keluarga, mampir ke sini buat makan siang pesan menu sate babi, sate ayam dan tahu terbang.Sate babinya enak banget.kalau mau cari resto non halal, di rekomen banget mampir ke sini",positive
"Lihat dari depan restonya biasa aja, amience juga biasa aja, tp sate dan crispy porknya enak bgt. Dan kuah sayur asinnya juga enak. So recommended banget dan bakal balik lagi karena harga masih masuk akal.",positive
"Saya sudah beberapa kali makan di Puri Bambu, baik untuk makan siang maupun makan malam dan tidak pernah sekalipun Puri Bambu mengecewakan saya. Semua menu yang disajikan selalu lezat. Restoran ini menyajikan makanan yang mengandung babi. Harganya pun tidak terlalu mahal, dan tempatnya nyaman. Menu favorit saya adalah sate babi dan samcam goreng crispy.",positive
"Makanan utama disini adalah B2, tapi saya recommend buat makan di sini, mungkin terbaik di Bandung bagi non muslim.",positive
"Restoran ini terletak cukup dekat dengan tempat tinggal saya di Bandung. Setiap kali pulang ke Bandung (saya berdomisili di luar negri), saya selalu menyempatkan untuk mampir dan menikmati masakan di Puri Bambu. Sate nya sangat khas dan daging yang empuk, bakuteh yang terkenal, serta tidak lupa tahu peletok sebagai hidangan pembuka. Bila belum puas, restoran ini juga menyediakan es mangga. Lanjutan",positive
"Tempatnya sangat amat standar, tidak ada kekhasan sendiri. Yang khas adalah makanannya yang semua serba haram. Sate Babi hingga bakut teh, yang istimewa adalah kelembutan daging dari sate babi nya.",positive
"Tempat yang luas, bersih, menu makanan yang beragam dan lezat, pelayanan yang ramah. Lokasi yang tidak jauh dari pvj",positive
"Positif: Makanannya beragam, namun tidak halal. parkir mudah, minuman enak, pemilik dan karyawan ramah, terdapat area indoor dan outdoor. harga terjangkau. negatif: terlalu suram dan gelap, banyak nyamuk, dan terkesan agak kotor.",positive
