content,polarity
"Resto ini masih dekat dengan rumah famili, kami makan malam ke porto restorant. tempat nya unik dan klasik sekali saya suka sekali adem dan nyaman. soal menu masakan nya banyak pilihan nya. dan soal rasa tidak kalah dengan yang lain nya.",positive
"Saya tahu Porto sudah lama dan baru kembali lagi setelah beberapa tahun dengan beberapa teman. Kebetulan kami melihat promo sunday brunch, awalnya surprised dengan pilihan menu dan harga promosi yang oke. Setelah makanan sampai, semuanya suka. Presentasi nya cantik, porsi nya lebih dari cukup (ini penting, karena tetap generous meskipun promosi) dan rasanya sangat enak. Hawaiian eggs, dan beberapa menu. Lanjutan",positive
"Makanannya enak banget. Cita rasa international. Suasana nyaman, santai, romantis. Pelayanan memuaskan. Pelayan nya ramah2 semua.",positive
Kami sekeluarga semalam dinner di portoRestoran saya pesan beef travel steak. Cucu saya pesan grill chiaken . Bayar pakai citibank card bisa dapat es cream hageendas diambil di mall pvj,positive
"apabila anda suka dengan menu western, cukup menyenangkan untuk mencoba restaurant ini. dengan segala macam steak dan ayam-nya yang lezat, minuman yang beraneka ragam juga wajib dicoba. resto ini juga berlokasi di daerah yang cukup bagus dan memiliki interior zaman keemasan christoper columbus ketika mengelilingi dunia dulu dengan kapal layar miliknya enjoy",positive
"Letaknya cukup nyaman, ada di jalan setiabudhi yang dekat dengan pilihan tempat belanja, dari resto pun cukup dekat ke tempat tersebut. Makanannya enak, pilihannya banyak jadi tidak terlalu membosankan. Tempatnya jg nyaman",positive
"Porto yang artinya pelabuhan, memiliki aneka makanan dari berbagai pelabuhan di dunia. Tempatnya dari bangunan Belanda, dan dihias secara apik. Menyediakan brunch, afternoon tea dan aneka steak. Saya memesan steak dengan aneka bumbu, dagingunya lembut dan bumbunya enak-enak. hanya saja harganya sangat mahal. Datang saja di acara tertentu",positive
"Saya mengunjungi Porto untuk makan malam bersama teman. Mengenai desain adan ambience cafe emang menarik, rapih, bagus. Ya namanya juga Bandung, interior cafe pasti pada unik2 dan apik. Saya memesan chciken steak (yang sebenarnya saya lupa namanaya). Porsinya gede dan penampilan makanannya ditata cukup bagus. Namun, rasanya sangat biasa saja, bland. Ayamnya tebel dan terasa keras dan kering sekali, Tidak. Lanjutan",positive
"Sekarang, ini adalah tempat makan favorit saya untuk sarapan dan makan malam di Bandung. Mengunjungi tempat ini untuk beberapa waktu yang lalu dan menyukai menu flavor beer (jika saya tidak salah nomor 51 - rasa limau). Mereka memiliki berbagai pilihan menu sarapan untuk hidangan internasional. Saya suka set sarapan lengkap, dan ini adalah salah satu tempat yang menawarkan menu yang. Lanjutan",positive
"Biasanya org cari resto untuk brunch, kalo breakfast sudah terlalu siang, banyak resto bahkan lomba2 menyajikan menu breakfast, kalo disini jgn dtg sebelum jam makan siang, banyak menu yg belum ready, ada di daftar tapi baru bisa dipesan kalo agak siang, makanan lumayan tapi harga agak mahal",positive
Hamburg melting cheese nya biasa saja begitu juga appetisernya crispy melting balls. Pelayanan baik. Lokasi di jalan setiabudhi mudah dijangkau.,positive
Pagi pagi mencari sarapan setelah mengantar orang tua ke stasiun. Pilihan cukup lengkap untuk sarapan dengan pilihan western food. Dengan porsi yang cukup banyak. Dan memiliki pilihan teh yang lengkap. Memuaskan dan pasti akan kembali lagi.,positive
"Pros: tempat nyaman, makanannya enak dan tidak terlalu mahal Cons: servicenya agak lama dan pagawai tidak bisa bantu pilih dari menunya Overall good and the velvet burger is a must try there.",positive
"Sirloin/Tenderloin steak ala Porto-nya top. Dengan harga yang cukup murah dibandingin harga steak di resto lainnya, kualitas makanannya sangat baik. Servicenya juga sangat baik sekali. Saya sudah 3x ke Porto. Untuk kunjungan terakhir, ada beberapa keluhan di antaranya terdapat rambut di dalam salad yang langsung dibawa kembali ke dapur dan digantikan salad baru oleh pihak Porto. Keluhan lainnya adalah tingkat. Lanjutan",positive
Restoran ini sangat sepi dan kurang enak. Ketika kami datang cuma kami tamunya 1 meja saja. Lebih banyak staff pegawai dari pada tamu yang datang. Makanannya biasa dan tidak menarik,negative
