content,polarity
"Setiap kami sekeluargake Bandung,kami tidak lupa mampir ke tempat ini. karena sajian yang di suguh kan nikmat sekali, dan yang nama nya makanan pasti habis deh. emang sih disini tidak sama dengan warung-warung yang lain nya, dari itu agak mahalan dikit. tapi puas koq.",positive
Pertama kali makan di Warung Nasi Ampera Bandung Indonesia. Makannya sangat enak sekali. Harganya pula sangat murah,positive
Rumah makan ampera ini di bandung buanyak banget. gak tau deh satu pemilik ato ga. menunya tradisional sunda dengan berbagai macam pilihan yang langsung bisa kamu pilih2 plus sambal dan lalapan yang beraneka ragammmm. ngeunah pokona.,positive
"Walaupun terlihat rumah makan sederhana dan cukup ramai pengunjung, namun harga yang ditawarkan tidak terlalu murah dibanding dengan rasa dan ukuran porsi makannya.",positive
"Buat kamu yang seneng sambel di sini neh tempatnya dr sambel rendos, goreng, macem2 deh. Dr pilihan menunya jg bnyk ayam, ikan, usus, ati,babad segala ada deh. Goreng dadakan lg coel sambell euuuh nikmatny tuh pgn lagi nyobain lg. Apalgi tuh ayam serundengnya weuhhh nikmat banget pake lalab sama sambel.ayo buat kamu yang lum coba ke ampera aja bnyk pilihan. Lanjutan",positive
"Menu favorite saya Gepuk, babat, udang, cumi, mendoan, tahu dan masih banyak lagi Beberapa varian sambal dan lalapan menambah selera makan makin lahap",positive
"salah satu tempat makan sunda favorit, selain harganya murah dan banyak cabangnya pula, makanannya lumyan enak dan bervariasi. yang paling enak sih sambelnya, lumayan pedas sesuai lidah orang sunda",positive
Do not expect to much.tapi kalau mau makan seru jenis variasi makanan simple banyak variasi ruangan besar pelayanan cepat dan massal baik untuk bawa rombongan yang lagi Lapaaaar,positive
"Menu khas sunda dengan variasi makanan yg cukup banyak , harga terjangkau bahkan untuk kalangan mahasiswa. Tingkat kelezatan makanan cukup baik, bagi yang suka jeroan sapi tersedia komplit. hanya kurang pencahayaan pada saat memilih makanan. tempat makan nyaman tersedia mushola dan toilet yg bersih.",positive
"Rumah makan buka 24 jam ( walau tidak semua tempat ). Menunya ada puluhan jenis,jadi pasti tidak kebingungan mau makan apa. Rasa boleh di pujikan,pelayanan cepat,tempat luas,pokoke oke",positive
"Di warung nasi Ampera anda seperti parasmanan disebuah hajatan. Nasi dan lauk anda ambil sendiri. Kemudian dihitung sebelum disantap. Konsep tersebut sungguh menginspirasi warung2 sunda lainnya. Kejujuran dan ""kesanggupan"" mengonsumsi makanan adalah kuncinya. Selain di Leuwipanjang, Warung Nasi Ampera bisa anda temukan cabang lainnya yg sudah banyak tersebar diantaranya berada di Kalapa dan Ledeng. Anda patut mencoba cita rasa masakan. Lanjutan",positive
