content,polarity
"Cocok untuk makan malam romantis dengan pasangan ketika merayakan momen berdua, makanannya enak dan berkelas. Tapi ingat jangan salah memilih makanan, hanya pilih yang sesuai selera anda, karena begitu beragam dan ada juga daging Australia yang dicampur wine, bagi sebagian orang tidak akan cocok.",positive
"resto yang mempunyai pemandangan halaman rumput yang rapih, tempat parkir yang luas, makanan yang enak dan servis yang baik. di rekomen",positive
Ini salah satu resto kesukaan keluarga. Steak nya enak-enak. Paling suka steak ikan saus putih. Kalau sop buntutnya kurang enak,positive
"Pergi ke maxi's resto malam hari, suasana tenang cocok utk pasangan, saya mencoba salad tuna, french fries dan steak, semua dalam porsi yang besar, makanannya enak dan tentu bikin saya kenyang karena porsinya.",positive
"Buat kamu2 yang pengen suasany yang romantis. Di sini neh tempatnya. Viewny jg bagus buat foto2. Ato buat lg yang coupel an neh. Pas banget neh tempat yang satu ini. MAxi resto. Ayo cobain ke sini. Tempatnya nongkrong, meeting. Makannya jg enak dr steaknya. Minumanny jg lho guys. Ayoo cobain yaa",positive
"Saya makan siang bersama istri di restoran ini. Letaknya di daerah ciumbeleuit, di utara kota Bandung, dan cukup jauh dari jalan raya. Lokasinya cukup sepi dan sangat luas, sehingga restoran ini dapat digunakan untuk acara pernikahan dan acara2 group lainnya. Restorannya berkesan vintage, dan termasuk restoran mewah. Menunya kebanyakan adalah menu eropa, dengan beberapa menu Indonesia yang umum. Kami memesan. Lanjutan",positive
"Bangunan resto sebenarnya bentuk bangunan lama dan dibuat minimalis. Tempatnya luas dan banyak pohon besar sehingga rindang. Konsep yang ditawarkan resto kebun. Menu beragam seperti Ayam teriyaki, Sapi teriyaki, Sirloin dan masih banyak lagi . Sirloin steak rasanya enak dan mantap. Sapi teriyaki juga enak. Rata-rata masakannya enak. Makan disini dengan suasana yang romantis.",positive
"Saya pernah mendapat rekomendasi teman bahwa makanan di resto ini enak. Kebetulan pas hari ulang tahun suami saya, kami menjenguk putera kami yang menetap di Ciumbuleuit, jadi kami memutuskan merayakannya di resto ini. Sangat terkesan dengan suasana rumahan dan kebun yang luas. Karena baru pertama kali kesini saya bingung memilih menu, akhirnya saya memilih menu dengan nama menarik yaitu Chicken. Lanjutan",positive
"Jalan menuju kesana mudah searah dg Padma Hotel. Meskipun agak ke dlm restonya, tp tempatnya bnr2 nyaman. luas. Dinner unt merayakan ultah sya, surprise skali. kami diberi tmpt yg private untk dinner. Pelayannya super ramah, walaupun tmpt kami di lantai 2. pelayannya dg ramah mau bolak balik naik turun untk membawakan pesanan makanan kmi. Krna sya brsama anak yg kcl. Lanjutan",positive
"Tempatnya agak tersembunyi dari jalan besar tapi begitu masuk ke resto ini suasana sangat nyaman. Konsepnya garden resto karena ditengah2nya terhampar lapangan rumput dengan pohon beringin besar yang membuat betah berlama2 disana. Makanan nya kebanyakan western food dan indonesian food, tapi rasanya enak banget deh. Harganya juga tidak mahal. Tempat oke, suasana oke, rasa makanan oke, semuanya oke. Top deh. Lanjutan",positive
"Jadi saya dan suami berkunjung ke sini karena di cafe sekitar situ antriannya gila. Karena sudah terlalu lapar, kami ke sini. Waktu itu hujan dan lagi ada acara pernikahan. Cuacanya dingin banget karena kebetulan dapat tempat duduk di luar. Menyenangkan buat duduk berlama - lama. Makanannya enak dan penuh cita rasa. Harganya pun menurut saya sesuai dengan rasanya. Sungguh kebetulan. Lanjutan",positive
Saya datang pas malam minggu sekitar jam 7 dan msh sepi. Kami diantar ke bagian kanan gedung yg terbuka dan smoking area. Pelayannya sigap dalam memberikan menu dan juga pesanan. Kita mendapatkan free air putih yang terus diisi. Fine dining gt lah . Menunya rasanya ga nanggung. Enak dan lezat. Hanya pada saat kesana wifi nya katanya lg eror. Jd. Lanjutan,positive
"Suka steak berbumbu resto ini bisa jadi pilihan , harga dan kualitas makanan setara. Goulash Soup disini recomended. suasana resto cukup menyenangkan dengan pelayanan yang responsif, sayangnya asap rokok masuk ke area no smoking.",positive
"Menu makan malam di restoran ini cukup variatif. Terdapat area makan di dalam dan diluar bangunan. Saya memilih di area luar. Suasananya menyenangkan, masih terasa udara dingin kota Bandung. Kekurangan di area luar hanya penerangan yang terbatas. Restoran ini memiliki area parkir cukup banyak. Makanannya enak. Pelayanannya baik. Cocok untuk kumpul keluarga.",positive
