content,polarity
"Salah satu chinese food legendaris di bandung. Tapi saya sangat suka masakan kepitingnya,andalannya kepiting saos padang. Bumbunya mantap kepitingnya ajib. Kepitingnya kepiting pilihan. Jadi dagingnya banyak,gak menyesal bayar agak mahal. Sup asparagusnya juga mantap. Kalau berdua bisa pesan porsi setengah.",positive
chinese food legendaris uda lama banget nih chinese food satu ini semua nya enak yang ga enak cuma parkirnya aja aujubila susahnya parkir harus di seberang karena depan resto trotoar,positive
Puas banget udang telor asinnya ajiibbb. kepiting saos padang. semua makanannya puas banget. wajib kesini klo ke bdg nih,positive
"Ini merupakan resto chinese food yang cukup lama di Bandung. Makanannya lumayan enak, terutama fuyunghai dan kangkung cah. Rasaya pas di lidah. Porsinya besar, namun harganya agak mahal. Karena terletak di jalan utama, parkirnya agak susah dan harus menyeberang jalan. Secara keseluruhan, resto ini saya rekomendasikan.",positive
Datang kesini sehari sebelum imlek jadi pilihan menunya terbatas. Gurame asam manisnya sudah dingin. Mengecewakan.,positive
"Resto jadul yang masih eksis. Terkenal kepitingnya. Kailan cah sapi, sapo tahu, dan puyunghai nya lumayan enak. Sayang susah parkir (harus di sebrang jalan)",positive
"ini adalah salah satu restoran chinese yg sudah ada sejak lama. Masakan dari kepitingnya favorit juara. biasa saya pesan kepiting rebus, babat toge dan ca kangkung",positive
kami datang makan restoran rose flower chinese food mengajak keluarga kakak saya. mereka semua sangat menyukai kualitas masakan disini karena rasanya sangat oldschool (jaman dulu) walaupun tempatnya terkesan agak tua dan tidak pakai pendingin udara ac.kami pesan udang goreng telor asin dan rasanya sangat enak dan melebihi kualitas resto highend di hotel bintang lima. sangat recommended sekali,positive
"Tempat rose flower ini spesialisasi nya ya kepiting, kepiting nya enak banget. bumbu nya bisa meresap sampe ke kepiting nya. Untuk harga rose flower ini agak menguras dompet sih, sebanding lah dengan kualitas makanan nya. Kalau ke bandung wajib coba kepiting disini",positive
"Saya berlangganan sejak 30 tahun lalu, dan tiap kesini selalu pesan Kepiting Saus Tirem karena memang menu ini jagoannya. Sayang seiring dengan pergantian generasi kayaknya rasanya ada yang ""kurang"". dulu lebih nendang, asin dan manisnya pas. Interior resto masih jadoel kayak 30 tahun lalu, but it's okay",positive
"Kami sering makan di restoran ini sejak lebih dari 10 tahun yang lalu. Bagi penggemar Chinese Food, hidangan di restoran ini patut dicoba. Sayangnya sejak dulu tidak ada perubahan interior sehingga suasananya sangat standar.",positive
"Tempatnya bagus, bersih trus makannya mantap bangetlah, meskipun agak mahal tapi kalo ada duit lebih, sangat disarankan makan di sini. Meskipun tempatnya kurang strategis, tempat parkir dikit, tapi untuk jaminan kualitas makannya, mantap!",positive
lokasi gampang di jangkau dan tempat nya enak buat ngopi dan menyantap aneka menu yang ditawarkan. menu yang selalu saya pesan fuyunghai dan mie goreng,positive
"rumah makan ini terkenal dengan kepitingnya , pelayannanya lumayan tempatnya bersih mudah temukan lokasinya namun parkirnya susah",positive
Restorannya bersih walau sederhana. Pelayanannya bagus. Porsinya besar. Kangkung cah sapi enak sekali. Fuyunghainya juga enak. Patut dicoba! Sayang parkirnya susah di seberang jalan.,positive
"Kami sekeluarga memutuskan untuk bersantap malam di tempat ini karena kami sedang berada di pusat kota. Jika anda berada di bandung, anda tidak boleh melewatkan tempat ini sebagai salah satu tempat bersantap bersama keluarga. Jika anda tiba di bandung dengan menggunakan bus, pesawat, mobil atau kereta api, anda dapat menjangkau tempat ini melalui jalan veteran kemudian belok kanan untuk masuk. Lanjutan",positive
"Yang suka makan kepiting disini tempatnya, coba rasa pedas bumbu padangnya. pertama di coba biasa saja tapi makin lama makin terasa bumbu khas padang yang ga kerasa nasi sudah habis di piring dan bumbu padangnya yang mantap terus masuk dalam mulut. rekomen pisan lah",positive
"Bagi yang suka seafood sangat cocok ke rumah makan ini, Terutama menu kepitingnya sangat spesial karena besar-besar kepitingnya dan nikmat terutama dimasak dengan saus tiram",positive
"Kepiting saus tiram adalah menu wajib disini, bumbu yang berlimpah, nyerap sampai ke daging kepitingnya, anda bisa coba juga kangkung cah menjadi padanan yang cocok",positive
