content,polarity
"Makanan disini tidak pernah mengecewakan. Sesuai dengan harganya. Kesukaan saya disini soun goreng, sapo tahu, dan gurame tahu tausi",positive
"Chinesse food di sini enakk bngetttt!! Kalo ke sini pilih menuu udah ga usah watir ga enak dee , di sini maa smua menu2 ny enakkk ga ada yg ga enakkkk . Trus slain itu restorant ini nge hits bnget nieee!! Sejak mami papi gw kecil sampe skrg punya anakk msih tetep jayaaa",positive
Kami dan beberapa temen makan siang du Queen restoran. Restoran ini sejak jaman orang tua saya juga sering nampir makan siang or malam di queen restoran . Di bandung boleh di katakan No. 1 untuk masakan chinese food nya. Pesanan cukup cepat . Pelayannya banyak . Dan cekatan.,positive
Juanlo disini top markotop. Harus dicoba. Restoran selalu ramai dikunjungi jadi sebaiknya buat reservasi terlebih dahulu. Cingkong kepitingnya juga enak.,positive
"Waktu tanggal 7 febuari kemaren,saya pesen ayam tim biji terate,harganya 200 rb(ayam kampung utuh),rasa ayam mantap,didalem ayamnya terdapat biji terate.rasa kuahnya gurih banget.",positive
"Nasi goreng yang chownya enak banget.daging & udangnya banyak banget.harga porsi small 95.000,medium 150.000,dijamin ga nyesel",positive
"Disini makanannya enak-enak walau harganya mahal. Kesukaan kami: sapo tahu seafood, ifu mie, angsio haisom, soun goreng, dll. Rasanya tidak ada yang ngalahin. Pelayanannya pun cepat.",positive
"Restaurant chinesefood dari dulu udah ada, citarasanya udah kesohor dari dulu, makanan fav kel kami klo kesana sop hisit nya",positive
terakhir saya makan pesan via delivery order.anak saya sangat suka mantau isi daging-nya.restoran jadul yang legend di kota Bandung.harga yang cukup terjangkau kantong dan rasa masakan chinese food jadul yang cukup enak.,positive
"Tiap kali kesini, pasti pesan mie ulang tahun walaupun tidak ada yang berulang tahun. Rasanya pas banget di mulut. Cingkong kepiting super nya juga juara!",positive
"Ini adalah restaurant favorit di Bandung, kalau kami ke Bandung biasanya menyempatkan untuk makan disini. Menurut saya mungkin ini termasuk chinese food yang terbaik di Bandung.",positive
"Meskipun makin menjamurnya chinese food si bandung, Queen selalu menjaga rasa dan kualitas makanan, cingkong kepiting goreng, haisom dan sop asparagus sangat enak dan mungkin terbaik di bandung. Harus dicoba pasti ketagihan",positive
"Rumah makan Queen sejak saya kecil sudah ada. Makan chinese food : gurame goreng saos tomat , gurame tim paling enak .",positive
"Menurut saya, ini makanan chinese paling enak di Bandung. Mulai dari cingkong kepiting super, angsio haisom, soun goreng, hongtomie, juanlo, dll. Menunya lengkap. Bisa pesan tanpa MSG.",positive
Anda ke Bandung? Jika tidak coba masakan Queen restorant ? Sangat-sangat sayang . queen restoran sudah sejak lama sekali. Mungkin di atas 40 tahun lalu sudah ada,positive
"Untuk para traveler pengemar Chinese Food yang berencana travelling ke kota Bandung wajib mencoba makanan di Restoran Queen. Restoran ini telah ada sejak tahun 1970an dan menjadi restoran chinese food paling terkenal di kota Bandung. Menu favorit yang sering kami pesan yaitu Sup Hisit, Tim Ikan, Mie Goreng dan Sapo tahu. Harganya sedikit mahal namun itu sebanding dengan cita rasanya. Lanjutan",positive
"Setiap kali saya makan kemari, saya selalu memesan sop hisit dengan asparagus sebagai hidangan pembuka. Dan sop hisit ini memang selalu terasa sangat enak. Semangkuk sop hisit dengan telur kepiting, leng phan untuk bersepuluh, kodok goreng mentega, I fu mie, ikan tahu tausi, abalon mutiara, dan udang kipas dihargai kurang lebih dua juta lima ratus ribu rupiah. Meskipun agak mahal,. Lanjutan",positive
"Bagi orang Bandung, Queen adalah sinonim dengan Chinese food di Bandung. Sering digunakan untuk berbagai acara pesta. Kalau keluarga kami selalu memesan hotpotnya yang bernama juanlo. Bagi yang pertama datang jangan lupa untuk memesan sate shanghai, dan kepiting chingkong. Restorannya sendiri berwarna merah, dan benar-benar suasana tahun 70an.",positive
"Makanan cina yang layak, porsi besar, staf cepat, tapi lambat dalam memasak, meskipun tamu tidak banyak. Harga mahal. Namun, mereka menjaga kebersihan",positive
"Makanannya enak! Terutama abalone masak sayurnya. Porsinya besar, bisa dimakan ramai2. Tim ikannya segar dan bumbunya enak Sebaiknya reservasi dulu, terutama jam-jam makan siang atau makan malam karena suka penuh dan suka ada acara.",positive
"Ini adalah salah satu makanan cina di bandung yang paling otentik. Berdiri sejak era kakek-nenek saya (yang berusia 95 tahun di 2014). Makanan favorit kami: steamboat, ikan asam manis(ikan gurami asam manis), daging babi asam manis (kuluyuk), goreng wonton (pangsit goreng), i-fu mie, . dan orange jus!",positive
"Chinese food di sini yang paling enak di bandung. Mau pesen apapun rasanya enak! Interiornya masih jadul banget, bisa terlihat dari model meja kursinya yang jadul dan hiasan tembok yang juga jadul.",positive
"Setahun yang lalu saya berkunjung ke Bandung dalam rangka liburan keluarga, kami rombongan sekitar 10 orang, dengan anak-anak kami yang masih balita. Ada satu kendala kami dalam mencari santapan makan malam bersama yaitu restoran yang mampu menampung kami 10 orang 1 meja dengan kondisi makan bersama atau makan keluarga, akhirnya kami putuskan untuk mencoba restoran ini. Memang dilihat dari kondisi. Lanjutan",positive
"Resto jadul dgn rasa enak yg tdk berubah dr doeloe, coba lah udang kipasnya, gurame asem manis, sate shanghai, sop hisit, mie goreng, kepiting cingkong, haisom dgn harga yg lumayan mahal tp hampir selalu penuh tiap hari tidak hanya pd weekend saja, kadang lantai 2 suka dipakai untuk kawinan, minuman tidak terlalu banyak variasi, kebanyakan jus jeruk dan air teh,",positive
