content,polarity
"Mantap.bakso nya empuk & lembut bgt, rasa nya enak, bnyk vareasi nya.hrg murah.pokoknya wajib coba deh",positive
"Menu yang ditawarkan cukup unik, kami pesan Black Charcoal Yamin, Green Yamin dan Mozzarella Bakso. Harga terjangkau, kurang dari 100rb untuk 2 orang sudah kenyaaang puol. Untuk rasa, sepertinya masih banyak yang lebih baik, kalau dibandingkan dengan high awareness brand seperti Jawir atau Afung tetap masih belum bisa menandingi",positive
"Warung bakso modern yang kekinian tapi harganya sangat bersahabat. Rasa baksonya pun enak. Cocok buat segala cuaca. Pesan semangkok tetelan tambahan, tapi isinya ternyata banyakan dagingnya daripada tetelannya :D Alhamdulillah.",positive
"Menu favorit saya di sini adalah Bakso Keju. Tempat makannya besih, pelayanan cepat, dan tidak banyak lalat. Banyak variasi menu bakso di sini, ada bakso urat, rica-rica, dan keju. Ada juga variasi menu mie ayam. Ada yang warnanya hijau dan hitam. Per menu harganya mendekati 20 ribuan. untuk minuman saya suka teh tarik, kalau enggak salah 8 ribuan. Ada beberapa. Lanjutan",positive
Berkunjung ke tempat ini karena ajakan dari temen. Tempat makan ini setidaknya buka pukul 10 malam. Terlihat beberap menu yang cukup unik. Dari segi rasa cukup mantap. Es durian merupakan menu yang wajib dicoba bagi pecinta durian.,positive
"Lokasinya strategis, tempatnya cukup nyaman dengan desain ala vintage. Menu baso dan mie dengan bermacam varian dan paket yang lumayan banyak. Harga tidak terlalu mahal. Untuk pecinta baso, perlu deh nyobain.",positive
"Tempatnya tidak begitu besar, tapi cukup nyaman. Menu disini macam-macam bakso dan mie. Saya memesan mie yamin asin dengan bakso pedas ditambah satu mangkok ceker. Sedangkan suami memesan mie yamin hijau dengan bakso. Overall rasa mie nya enak, gurihnya terasa. Bakso disini khas dengan macam-macam isi di dalamnya, bakso pedas berukuran besar dengan irisan cabe rawit di dalamnya. Cekernya juga. Lanjutan",positive
"Bagi para pecinta bakso rasanya wajib banget mampir ke warung bakso kekinian ini. Banyak banget varian sajian bakso yang ditawarkan. Dari mulai bakso kuah, mie bakso dan nasi dengan bakso. Pokoknya komplit. Tapi menurut saya juaranya tetap bakso keju dan bakso goreng. Sama satu lagi, es durian kesepiannya. Mantap pokoknya",positive
"Olahan bakso yang divariasi secara kekinian, menu bakso keju termasuk cukup nyaman di lidah. Pengen datang kembali untuk mencoba menu bakso lainnya.",positive
Bakso yang dipoles dengan branding yang baik sehingga anak muda dengan nyaman makan disitu. Bakso Boedjangan dikelola oleh grup kuliner yang juga mendirikan Upnormal dan Nasgor Mafia. sebuah item kuliner yang biasa namun mendapatkan polesan branding keren. menu basonya cukup beragam dan enak.,positive
