content,polarity
"memang bukan hanya makanan yang di jual the peak. Pemandangan kota Bandung menjadi sebuah keunggulan yang bisa dinikmati, udara yang segar membuat tempat ini bisa jadi tempat kongkow yang menyenangkan. Hanya saja memang harga makanan disini cukup tinggi. Dengan taste yang buat saya not so special. Kata suami: kaya buatan mama di rumah. Wkwkwk Tapi overall its a nice place. Lanjutan",positive
Kafe The Peak ini merupakan kafe legenda di bandung/lembang. kafenya romantis dengan dekor yang menawan. didukung kalo sore/malam hawanya dingin. membuat suasana keromantisan menjadi bertambah. untuk harga memang lumayan mahal. dengan menu western/indonesian macem2. rasa sih standar. suasana juaraa.,positive
"Tempatnya nyaman, apalagi di malam hari pemandangan nya pasti romantis. Tapi rasa makanan ga semewah harganya. Overall, overpriced utk pengunjung keluarga, group teman atau bisnis. Kalau utk couple mungkin lebih cocok.",positive
"Kami makan dan memesan snack disini karena sblmnya kami sudah makan di sapu lidi dan nyemil di floating market. Jadi kami ksini untuk menikmati live music, tapi sayang tdk ada live music mgkn dikarenakan weekdays dan resto sangat sepi sekali shg para waiter dan waitress suaranya sangat besar sekali mengalahkan suara music yg ada. Bad experience! Kami memesan fried potatoes. Lanjutan",positive
Tempat mkn malam yg nyaman dan romantis.kebetulan saya dan suami mkn d lantai paling atas.makanan yg dtg cukup cepat.rasanya jg enak.,positive
"Tempat dingin, pemandangan menakjubkan. Yg sangat disayangkan adalah price utk maincorse nya lumayan mahal. Yg enak hanya utk sekedar hangout bersama teman sambil minum2 santai.",positive
"Restoran yang lumayan mewah, luas, di puncak bukit. Bisa menikmati pemandangan yang bagusdi bawahnya. kalau malam dingin sekali. makanannya enak. Buat rapat kolega cukup ideal. Dengan keluarga juga cocok.",positive
"berkesempatan keluar rumah tanpa anak2 kami memutuskan untuk melipir ke dago ats, kembali ke the peak. tempatnya yang luas dan makanan yang nikmat tdk pernah membuat kami kecewa.",positive
"Datang kesini bersama keluarga saat hujan gerimis. pengunjung saat itu tidak terlalu banyak, kami langsung memilih tempat di Lt. 2 dan langsung memilih2 makanan. dari Lt. 2 bisa melihat pemandangan lampu2 rumah2 penduduk yg indah di sekeliling dikarenakan The peak berada di dataran tinggi",positive
"The Peak terletak di tempat yang cukup tinggi dengan pemandangan alam yang indah. Pemandangan ini lebih indah lagi disaksikan saat matahari terbenam. Oleh karena itu, datanglah saat menjelang matahari terbenam. Pastikan Anda pilih outdoor seat. Namun jika Anda dapat indoor seat, pilihlah yang di dekat jendela agar puas melihat pemandangan tersebut. Menu The Peak lebih banyak masakan Western dibanding masakan. Lanjutan",positive
"Dengan letak di bandung utara yang memiliki pemandangan yang sangat indah, resto ini menampilkan juga tempat yang sangat private buat mereka yang sedang berbulan madu atau mau melamar pasangan nya, ehheheh romance resto lah.buat meeting enak banget, rekan saya pun terkesan dengan tempat dan menu yang sangat lengkap, menu dari nusantara sampai menu eropa pun ada",positive
"Penasaran kan The Peak ???? Bagi para wisatawan khususnya dalam negeri ngak usah bingung cari tempat berkumpul bersama keluarga dan pasangan anda disini menyajikan menu yang bisa kita makan dan minum di MAll, Plaza, atau restaurant lainnya yang bikin betah nih suasananya khususnya mulai jam 7.30 malam sampae jam 12 sangat luar biasa kita bisa lihat kota bandung dengan pancaran. Lanjutan",positive
jauh banget dan jalan masuknya rada seram kalo malam hihi tiba di the peak suasananya romantic. aku pesan steak mix sosis ikan dan daging. rasa nya enak tp dagingnya gk enak .,positive
"Walaupun cukup berliku untuk sampai ke tempat ini tapi terbayarkan dengan suasana sepi, tenang dan juga suasana udara dataran tingginya, yang kebetulan saya biasanya kalau makan di luar pasti pas weekdays karena biar ga terlalu ramai tapi ya minusnya ga ada life musik. Untuk makanannya cukup enak dan kelurga saya pun cukup menikmatinya.",positive
"Perjalanan kali ini dalam rangka urusan mencari tempat yang recommended untuk klien kami. Jarak tempuh dari bandung kota cukup jauh memang, tetapi hal tersebut bisa terbayar dengan view yang yang cantik di waktu malam. The peak menyajikan private dinner, dan juga kita bisa melakukan reservasi. Dan di hari tertentu menyuguhkan live music. So far untuk view, makanan dan pelayanan okay.",positive
Resto ini letaknya cukup jauh dan melalui jalan yang berliku. Namun pemandangan yang disajikan sangat indah dan suasana nya juga sangat mantap. Cocok untuk keluarga maupun dgn teman bisnis,positive
