content,polarity
Rasanya enak. meresap. Tidak bosan dengan adanya menu baru setiap datang lagi ( sekitar 3 bulan jeda waktu ) Sambalnya pas dan mantap rasanya Akan lebih baik lagi kalau kitchen di pisahkan dari ruangan customer. agar asap dari dapur tidak memenuhi ruangan lain.,positive
"Tadi pas makan malem saya kesini,suasana restaurant ini nyaman banget.saya mencoba nasi babi(nasi putih 1 porsi,telor mata sapi setengah mateng,kornet maling,lap chiong,khe kian,crispy sam can,sayur hijau,sambel) rasanya overlall enak.saya pesen minum lemon tea,lemon tea nya seger rasanya. BBQ Pork Ribsnya,bumbunya menyerap ke dagingnya,rasa blackpeppernya kuat.sate samcan:rasanya sedikit pedes,crispy.",positive
"Wajib dicoba buat pencinta menu babi. Lokasi tepat di seberang Paskal Hyper Square. Selain nasi bigul, nasi Bagor juga enak, bedanya ada ayam suwir dan potongan babinya digoreng. Sop bakut, selain potongan tulang dan daging yg empuk, ditaburi potongan kulit babi goreng, alias rambak mini. Sosis turutan yang paling saya suka, rasa rempahnya kuat, tapi pas.",positive
Buat penggemar yg no halal no halal atau yg bosen sama makanan halal. Bole niee ke siniii!! Makanan ny enak bngett bumbu ny mantabb,positive
"menemukan babi guling di daerah bandung lumayan mengobati untuk makan nasi babi guling dari pada harus ke bali, walaupun agak beda tapi so far masih enak, hanya saja jika kita telat kesana bisa keburu habis makanannya dan harus melalui antri yang panjang karena restorannya tidak terlalu besar.",positive
Ken - ken bigul di ruko Grand Eastern jalan :pasir-kaliki . Sate pork nya luar biasa . Juga makanan laun yang dari pork nya Tak ada dua di kota -bandung .,positive
"Makanannya enak, kalau kangen Bali, mampir ke Bigul dulu. Selesai makan yang berlemak lanjut minum infust water (kangen water). Suami happy, anak anak happy, aku juga happy deh.sedihnya jam 7.00 pagi belum buka, pernah datang jam 7an, pulang lagi deh dengan sedih hati.Sekarang untuk tamu-tamu dari luar kota, pesen dan tinggal ambil, mereka semua juga seneng banget.",positive
"Pesan bigul special, pork ribs, dan bakso gorengnya, mantab semua, hau chek!! U/ rejuvenate waternya kurang berasa lemonnya. Harga termasuk gak mahal, dan dikasih voucher juga u/ cobain resto kambing gulingnya. Sepertinya kokinya orang bali ya, tema dan makanannya western food.",positive
"Semua makananya serba babi dengan berbagai macam kombinasi dengan rasa yang enak, dengan minuman yang menyegarkan cocok until makan pagi Siang Dan malam dengan suasa ruangan ala kafe",positive
Spesialis restaurant ini yaitu babi. Dan rasanya memang enak sekali terutama sate samcam dan samcam goreng nya. Harganya memang cukup mahal tetapi worth karena rasanya memang lezat.,positive
"Restoran yang satu ini menyajikan menu serba babi, dan aku paling suka Nasi Bagornya. Nasi ini disajikan sama samcan goreng dan sate ba. Enak deh. IG: sharetheyumz",positive
"enak lumayan, tapi harganya mahal karena porsinya sedikit kecil. ada pilihan infused kangen water yang cukup untuk 4 orang",positive
"Bagi penggemar babi, rumah makan ini surganya. Sekarang menyediakan makan pagi. Pilihannya hanya beberapa tapi cukup unik.",positive
"Nasi goreng bacon enak sekali. Anak saya suka dengan baconnya. Porsi besar, bisa untuk 2anak. Sambalnya juga mantap",positive
Restoran ini menyajikan masakan bali yang sarat modifikasi sehingga terkesan disesuaikan dengan lidah konsumen yang nota bene bukan orang bali. Tiga photo yang saya lampirkan itu adalah makanan yang kami pesan.,positive
"Restoran ini menyediakan berbagai mavcam menu pork. Nasi Bagor (babi goreng) dan Bigul (babi guling) enak dengan harga perporsi 38 ribuan. Sop nya juga. Resto ini pork ribs nya rasanya lumayan, tapi agak overpriced.",positive
"Kenken Bigul Kitchen ini merupakan resto yg menjual makanan non halal pertama yg saya coba di kota kembang. Resto ini buka pada pukul 11 siang, namun ketika saya dtg pukul 10.30 antriannya sudah mengular.anda harus siap2 unt masuk daftar waiting list apabila dtg pada waktu2 primetime. Saya mencoba babi panggang & babi goreng serta ribs nya. Mungkin krn saya membawa. Lanjutan",positive
