content,polarity
"Saat ke warung upnormal selalu mencoba indomie dari berbagai rasa. Sebenarnya hidangan di sini hanya sebatas indomie saja, namun dengan diolah menjadi berbagai sajian yang menarik dan kekinian.",positive
"Menu di tempat ini sebetul nya sederhana banget tapi owner nya kreatif.Sajian mie ,roti dan dessert nya di mix sama berbagai pilihan. Tempat nya asik buat ngumpul sm teman2. Untuk harga nya ga terlalu mahal sesuai sama rasa nya.",positive
Awalnya sih skeptis aja liat warung ini tapi gara2 harus menunggu travel ke jakarta akhirnya singgah deh ke sini warung upnormal di cihampelas. Dan ternyata. bukan hanya mie aja yang jual. saya coba nasi goreng enak. pisang goreng karamel . jadi favorit deh. lalu makan beragam nasi lain di lain waktu ternyata enak. :) dan harganya ramah di dompet . Lanjutan,positive
"tiap kesini selalu coba menu yg beda, dari mulai indomie, menu nasi, roti, pisang, dan dessert semua punya rasa masing2 dan mesti dicoba!!",positive
"Menunya sebenernya cuma indomie doang (tapi di macem""in) sama roti bakar. Untuk harga rada mahal sih cuma buat makan indomie doang hehe. Tempatnya nyaman, bersih, wifi kenceng. Cocok buat tempat nugas :p",positive
"Racikan mienya variatif, harganya ramah dompet, sayangnya selalu penuh dan waiting list, sehingga menunggu beberapa lama",positive
"Secara makanan sangat simple. jualan INDOMIE doang. dan roti bakar. Tapi interiornya cozy, ditambah banyak mainan2 utk mengisi waktu santai. Ok lah.",positive
"Bs jadi tempat buat nunggu keberangkatan xtrans, krn letaknya hanya beda 1 rumah dengan bale xtrans.",positive
"Nama nya warung tetapi ini seperti cafe aja, menu yang di sediakan cukup terjangkau buat kantong kita. tempatnya ditengan kota Bandung, mudah di jangkau. Menu mei instan di sini tersaji dengan berbagai tping yang unik=unik. Perlu dicoba saat berkunjung k Bandung",positive
Secara umum menu standar mie goreng roti bakar dan beberapa nasi. tapi topingnya atau nama menu nya yg unik dan beda. paling suka desertnya.disini. harga relatif dibawah 100rb utk berdua,positive
"saya sebelum pulang ke jakarta ingin makan yang tidak terlalu kenyang, sehingga di putuskanlah mampir warung upnormal ini karena sejalan dengan arah tol ke Jakarta. begitu sampai kondisinya sedang hujan jadi agak sepi, dan saya memesan indomie upnormal yang rasanya kejuuu bangeeet dengan extra topping sosis serta minum teh manis panas. overall tempatnya enak buat nongkrong atau makan yang tidak. Lanjutan",positive
"Upnormal cabang Ciwalk, alternatif spot pokemon hunter sembari menikmati sajian indomie dan hazelnut latte.",positive
"Penasaran karena katanya lagi hits banget. Saya datang ke cabang yang di Jalan Dipatiukur Bandung kira-kira jam 11 malam tanggal 3 September 2016. Karena katanya buka sampai jam 2 pagi. Tempatnya lumayan besar, parkir luas, ada pilihan meja outdoor, di non-smoking, dan lantai atas. Mungkin karena malam minggu tempatnya ramai, sampai harus waiting list. Agak kecewa karena waitingnya tidak jelas,. Lanjutan",negative
"Resto ini tempatnya menawan dengan suasana yang nyaman. Layanannya cukup baik. Resto ini menawarkan bermacam kreasi indomie, roti bakar dan susu murni. Indomie gokil rasanya mantap. Indomie gokil merupakan singkatan dari Indomie goreng kikil. Tersedia indomie rebus medan, indomie sambal matah dan indomie saus bolognaize. Roti bakarnya juga banyak kreasinya seperti roti susu coklat, roti nutela, srikaya dan lainnya. Pisang. Lanjutan",positive
