content,polarity
"Mampir ke Giggle Box di Festival City Link, Bandung. Selain terlihat kotor, makanan yang mau dipesan semua tidak tersedia. Oreo pancake, hot wings, crispy chicken maryland, beef rancher keempat2nya adalah menu yang direkomendasikan tapi tak tersedia.",negative
"Dengan beberapa cabang di kota besar dan review yang baik dari beberapa pengunjung sebelumnya serta dekorasi yang menarik, saya mencoba untuk makan disini. Saya memesan recommended menu disini. Medallion mozarella beef. Steak nya sudah tidak terlalu panas pada saat disajikan. Tidak seperti baru selesai di grilled. Cold meat. Plain pasta dan salad nya tidak terlalu pas sebagai side dish. Mungkin. Lanjutan",positive
nuansa kafe yg unik dengan banyak ornamen lucu menambah kenyamanan pengunjungnya.bisa berlama-lama menikmati hidangan sambil ber selfie ria,positive
"Tidak seperti kebanyakan restaurant dan cafe lain, konsep tempatnya dibuat unik. Banyak lampu-lampu, lukisan, semi vintage. Makanan dan minuman lumayan cukup enak, yang buat kaget pas liat daftar menu nya. harga nya wuoooww pas banget dikantong. Dan yg pasti harga murah ga buat rasa jadi beda, tetep enak dan berkualitas.",positive
"Giggle box yang satu ini emang unik di dekornya. Cocok kalo mau foto2 lucu. Untuk makanan standart, sama seperti giggle box yang lainnya.",positive
"Makanannya enak,suka banget sama nasi goreng dan ramennya,didukung tempat yang nyaman buang nongkrong2,ada fasilitas wifinya juga,tempat makan yang lagi hits di bandung",positive
"Yang kami sekeluarga pernah cobain ada 2 Giggle Box di Bandung, yaitu di Jalan Progo dan Mall Ciwalk. Giggle Box di 2 tempat ini cozy, sejuk, ga terlalu bising/berisik. Pelayannya juga ramah-ramah. Desain interior dan furniture yang selalu jadi kelebihan dari Giggle Box. Tempat favorit itu dilantai 2, selain lebih private, sofa-sofanya juga lebih nyaman. Jadi kalo mau janjian ketemuan. Lanjutan",positive
"Menunya simpel tapi taste-nya mantap. Harganya juga ga mahal bahkan untuk ukuran mahasiswa. Yang bikin berkesan interiornya yang very homey, penuh foto-foto laiknya di rumah kita. mungkin karena pemiliknya sama dengan Jonas Photo yah",positive
"makan malem di giggle box progo waktu itu saya bersama teman-teman memesan makanan western antara lain spagheti, chicken cordon blu. tempatnya bagus. interiornya keren. penyajian makanannya juga bagus.untuk harganya lumayan terjangkau. untuk yang hoby kuliner sambil narsis bisa mencoba resto ini.",positive
"Pernah makan di sini, mau pesen eskrimnya, dibilang ""Es krimnya pending"", ditanya maksudnya apa, ga dijawab sama staffnya. Kan bingung, hehe. Intinya saat itu jadi ga bisa pesen es krim. Banyak cabangnya, tapi kualitasnya tidak terlalu terjaga ya, tapi selalu rame, dan kalau diperhatiin, kalau di mall, lokasinya bersebelahan sama tempat foto J*onas :D",positive
"konsep cafe ini three house, seperti rumah barbie. cocok untuk anak muda yang doyan foto2, saya suka milkshake nya.",positive
"Rumah makan yang menyajikan berbagai jenis masakan yang lezat, terutama menu steak dan nasi Vietnamnya sangat nikmat",positive
"Harga relatif murah, makanan atandard, coba strawberry yoghurt yang cukup segar. Nasi goreng sosis lumayan enak",positive
spagetti carbonaranya enak banget. untuk keluarga dengan anak kecil resto ini recommended deh.buat pasangan jg recommended karena tempatnya comfort banget.pelayannya juga ramah-ramah dan helpful,positive
"Giggle box di Progo ini emang beda dibanding Giggle box cabang lain. Disini lebih cozy, sejuk, ga terlalu bising kendaraan dan pelayannya ramah-ramah juga ganteng-ganteng hehe. Desain interior dan furniture yang selalu jadi unggulan giggle box ini juga menurut aku paling oke disini. Tempat favorit itu dilantai 2, selain lebih private, sofa-sofanya juga lebih nyaman. Untuk rasa dari semua makanan. Lanjutan",positive
"Pilihan restoran dengan menu-menu makanan Indonesia maupun eropa dengan harga yang terjangkau dan porsi yang mengenyangkan. Untuk saat-saat tertentu, misal: malam minggu, atau untuk buka puasa, ada baiknya datang lebih awal karena meja yang berbanding terbalik dengan jumlah konsumen yang datang.",positive
"Tempatnya enak buat rapat atau belajar kelompok. Seporsi makanan spagheti dan minum 55 ribu.rasa enak, tak terlalu berbumbu maupun hambar. Suasana ok.Cuma ga ada mushola, kalau mau sholat harus ke masjid istiqomah 1 km dr situ.apa staf nya ga ada yg sholat ya?",positive
"Makanan di Giggle tergolong ekonomis dan suasana yang ditawarkan sangat unik dan bagus. Cafe didekorasi dengan sangat mendetail. Menu favorit saya adalah grilled chicken. Overall, lumayan oke.",positive
"Cocok menjadi family restaurant. Menjadi opsi dari berbagai cafe yang ada di seputaran Jl. Progo, giggle box akhirnya menjadi pilihan kami karena jam buka yang lebih malam dibanding cafe di sekitarnya.",positive
"Salah satu cafe dan resto kesukaan saya, karena suasananya yang menyenangkan, konsep dan interiornya yang detail, lokasinya yang banyak, dan harganya yang bisa dibilang cukup murah untuk sebuah tempat makan di pusat keramaian bandung",positive
kurang matang ayam vietnam nya.lebih d cek kembali untuk grilled ayam nya.dgn alasan banyak fat.mungkin lebih teliti lg.ayam matang berwarna putih dan tdk bening .,positive
"Hari jum'at, 31 Oktober 2014, saya memesan dessert pancake blueberry di giggle box braga. Mengecewakan, selai blueberry nya asem seperti sudah basi, dan pelayan nya pun acuh tak acuh, sulit di panggil krn sibuk dengan pelayan lain nya padahal restaurant tidak ramai pengunjung. Tolong di perbaiki service nya ditinjau ulang makanan nya.",negative
"TEMPAT: - Progo (7,5 / 10) - BIP (8 / 10) - Setiabudhi (8,5 / 10) MENU: - Nasi Goreng Ikan Asin (9 / 10) - Zuppa Soup (7 / 10) - Chicken/Beef Cordon Bleu (8 / 10) - Spaggheti Carbonara (9 / 10) - Rhumppuchino (8,5 /10) - Frappe Green Tea (9 / 10) - Black Forest (7 /. Lanjutan",positive
"tempatnya sih di dalam kawasan cihampelas walk, salah satu mall anak muda di bandung. tempatnya enak buat nongkrong karena ada sofanya jg. jadi kalo lagi nyantei enak deh. makanannya juga enak-enak dan harga terjangkau. makanya banyak abg disni. lumayan buat cuci mata, hee.",positive
"Cafe ini memiliki beberapa cabang di Bandung. Tapi aku lebih senang cabang yg di BIP. Tempatnya lebih mudah terjangkau, bisa menikmati pemandangan di kala sore atau hujan karena jendelanya langsung mengarah ke jalan. Jenis makannya bnyk pilihan dari mulai makanan eropa sampai makanan lokal. Aku suka sekali makan spaghetti tek tek perpaduan rasa eropa dan lokal. Ditemani dengan ice thai. Lanjutan",positive
"mengunjungi giggle box di ciwalk, setelah capek berbelanja, makan dan minum d sini sungguh menyenangkan banyak pilihan makanan dan minuman harganya pun terjangkau biasanya anak2 muda yg sering hangout di tempat ini",positive
Pilihan makanan yang saya pilih disini selalu enak. Porsinya cukup besar untuk perempuan. Suasananya nyaman. Tidak berkonsep restoran dengan meja makan tetapi cafe dengan sofa-sofa besar untuk berkumpul bersama teman. Selalu ramai oleh pengunjung dan pernah sekali datang di bulan Ramadhan dan harus rela ditolak karena penuh.,positive
"Giggle Box restaurant yang berada di Jalan Progo, memiliki tempat yang nyaman untuk dikunjungi, apalagi masakannya, wow mantap. Nasi goreng merupakan salah satu menu yang saya sarankan untuk dicoba, karena begitu terasa nikmat di lidah. Kemudian aneka juice yang fresh juga sangat sayang kalau tidak dicoba.",positive
"Pertama kali dtg nyoba sirloinnya, setuju dah cara hidanginnya. trus enak suasana d jl progo tuh. tp yg di b.i.p blm pernah nyoba hehe.",positive
"untuk giggle box istana plaza, pada awalnya, kami sangat suka dengan tempatnya yang sngat menarik dan makanan yg enak, dan sempat merekomendasikan k teman, tp stlah kunjungan yg k 7, tpatnya tgl 13.08.13 pukul.19.00(-/+) kami pesan grilled chicken dan chicken brisket schnitze, menu pertama sgt enak, tp ketika kami hendak makan potongan pertama menu kedua itu sangat tidak layak untk. Lanjutan",negative
"ketika pertama kali datang, suasana hangat dan nyaman langsung menghinggapi. hingga ingin berlama-lama disana. menu pun datang. waah. harganya lumayan berat buat saya. ahkirnya saya bersama teman pesan. ternyata dibalik harganya yang tinggi, porsinya pun begitu besar. hingga saya menghabiskan salahsatu menu Ayam oleh 3 orang.! jamuan kami kemudian ditutup oleh pancake yang manis.",positive
