content,polarity
"Menunya banyak sehingga tidak bakal kekurangan pilihan. Khas sunda banget. Semua lauk bisa di panaskan terlebih dahulu. Nasinya selalu hangat,jadi bila makan malam hari atau tengah malam pasti tetap enak. Hati hati bagi pengunjung bukan orang jawa barat,sambelnya kencur banget. Takutnya bagi yang tidak suka kencur nanti kecele.karena penampilan sambelnya mengoda banget",positive
"Lokasi di kebon Kelapa,ada beberapa tempat yang berdekatan. rumah makan ini selalu rame pengunjung, menu prasmanan ala Sunda. Sambal dadaknya mantap banget enak pisan.selalu pengen mampir ke sini kalo ke Bandung.",positive
"Makanan sunda yang ok banget, servisnya bagus hanya saja perlu di latih lagi waiternya jika ditanya bisa menjelaskan.",positive
"rumah makan yang terletak di tengah kota bandung ini memang sangatlah terkenal dan juga sangat rekomendasi bagi anda pecinta kuliner sunda, meskipun hanya menu sunda warung makan ini menawarkan sambal extra pedas yang khas, tentunya sangat cocok juga bagi anda pecinta pedas. warung makan yang buka 24 jam ini memang sangatlah harus anda coba jika berkunjung ke bandung",positive
"Banyak sekali warung makan di kota Bandung, namun, warung ibu Imas ini memiliki ciri khas yang tiada duanya, yaitu sambalnya yang luar biasa pedas.Bagi lidah orang sumatera atau minang cocok banget untuk di coba, warung ibu imas menyajikan berbagai macam lauk pauk yang bisa di santap dengan harga yang relatif terjangkau.Warung ibu imas yang berada didekat alun-alun kota bandung menyuguhkan. Lanjutan",positive
Di jajaran menu yang siap dimasak bertumpuk bola putih dibuat dadi lilitan usus ayam setengah jadi ya.g siap digoreng. Bentuk bola yang unik mengundang selera makan. Akan tetapi setelah digoreng bola ini pun buyar menjadi potongan usus kering tak lagi berbentuk bola.,positive
"Bagi lidah sumatera atau minang cocok banget untuk di coba, warung ibu imas menyajikan berbagai macam lauk pauk yang bisa di santap, setiap pelanggan akan di suguhkan lalapan (Khas Sunda) dan 2 macam sambal cocol yang supet spicy dan satu lagi sambal karedok. Warung ibu imas mempunyai beberapa cabang di kota bandung jadi kamu bisa mencobanya dimana saja dengan cita. Lanjutan",positive
"Banyak sekali tempat makan sunda yang bertebaran dikota bandung, tetapi tidak tahu kenapa saya sangat jatuh hati dengan sebuah warung makan ini. ibu imas yang berada didekat alun-alun kota bandung menyuguhkan rumah makan sunda dengan karakter warung nasi jaman dahulu yang dimana kita bisa mengambil semua hidangan didepan kita tanpa harus melalui proses orden yang biasa kita jumpai diwarung makan. Lanjutan",positive
"Lokasi tidak jauh dari pusat kota, membawa konsep warung makan dengan bangku panjang dan makanan disajikan didepan kita sehingga mudah untuk memilih makanan yang diiinginkan. Ada lantai atas dengan konsep bangku panjang beserta meja dan lesehan. Makan cukup enak dan bisa dihangatkan kembali untuk mengembalikan cita rasa. Ciri khas rasa yang paling saya ingat adalah sambel karedok leuncanya yang membuat. Lanjutan",positive
"untuk kesekian kalinya ke bandung.akhirnya saya bisa berkunjung ke salah satu rumah makan yang ngetop di kota bandung, itu dia warung makan Ibu Imas. dari teman2 yang tinggal di bandung, katanya warung makan Ibu Imas punya sambel yang pedes banget. maklum lah, saya dari gorontalo, yang sambelnya pedes minta ampun (coba aja kalo gak percaya.hahahaha). saya pesan menu lokal, gepuk. Lanjutan",positive
"Buat pecinta sambel harus banget kesini, tempatnya sih gitu aja agak sempit jadi kurang nyaman. Tapi sambelnya mantaps pedes banget. Masakannya ya sama kaya masakan sunda pada umumnya.",positive
"Semuanya enak, sambalnya seuhah, cuma sekarang porsinya agak dikurangi. ayamnya jadi kecil, sambalnya jadi sedikit, juga sambal leuncanya jadi sedikit.",positive
"soal rasa biasa saja. nothing special, ayam bakarnya hanya dibumbui kecap saja, bumbu kurang berani dan meresap, ayam kampungnya masih alot, sambel pedes juga biasa saja, heran ya kenapa tempat seperti ini bisa sangat ramai dikunjungi, masih kalah jauh dengan ayam bakar Pak Soleh di Pandaan",positive
"habis jalan jalan, pengen makan murah meriah enak. disini tempatnya.sambal leunca, ayam bakar, babat goreng, tahu tempe bacem, lalapan, orderan pasti jika tiap kesini",positive
"Menu makanan cukup bervariasi dan bikin ngiler. Tempat masih terlalu padat dan tidak sempat dibersihkan, terutama lantai. Murah? pastinya!",positive
