content,polarity
"Kalau kesini berhati2lah karna porsinya banyak sekali hehe Kami sekantor pernah coba yg di Festival Citylink Mall, menu banyak, order cepat dinikmati tapi ya itu gak habis sangking porsinya bisa buat berdua, bahkan es teh manis nya pun segentong hihi",positive
"Ga mesti diruang tertutup buat meeting, meeting di resto ini juga asik. Jangan lupa pesen nasi goreng dendeng sama teh tarik.",positive
"Disini menunya menyajikan makanan tradisional indonesia. Rasanya lumayan enak, harga terjangkau, porsinya cukup, dan tempatnya nyaman.",positive
"menyajikan masakan tempo doeloe, suasana cafe didekor dengan hiasan poster2 jaman entjim dahulu. yg favorit: nasi goreng dan kerupuk banjurnya",positive
"Sagoo kichen dan Kopi Lay, di paris van java. itu cafe nya hadap-hadapan.Kopi lay banyak yang ngopi dan sagoo saya pesan es campur enakkkk.",positive
"Tempat makan modern dgn sentuhan tempo doloe. Saya mencoba Mie Petruk isi aci yg rasanya lumayan juga es kacang singapore yg isinya jelly keras. Harga makanan disini lumayan terjangkau, service cepat dan lokasinya di dlm PVJ mall yg nyaman dan bersih.",positive
Sebenarnya saya lebih sering makan di outletnya yang di PVJ. Pilihan saya selalu Bakmi Jawa dan Es Sarsaparila Cap Badak.,positive
"kami tiba di bandung pukul 9 pagi dan langsung menuju daerah sini eh dan saya lihat ada sagoo ini, pas saya masuk mata saya dimanjakan dengan jajaran makana makana jadul tempo dulu ( jaman saya SD ) luar biasa untuk suasananya saya suka banget, dan untuk menu sarapan juga banyak variasainya, kebetulan kami pesan mie rebus dan tahu pong dan. Lanjutan",positive
"Makanannya enak.nasi gorengnya bermacam macam,kami pilih yg khas sagoo.enak,bumbunya pas.bestik nya jg oke.lengkap dgn kentang goreng dan sayuran.sambil nunggu makanan bisa ngemil krupuk banjur.kyk krupuk mlarat yg dibanjur bumbu.",positive
"Mencoba breakfast di tempat ini & memilih tempat duduk di non smoking area. Tak berapa lama kmdn datanglah sepasang tamu & duduk kira-kira 5 mtr dr tempat kami berada. Tamu pria kmdn menyalakan rokok & tentu saja bau asap rokok segera memenuhi ruangan, kmdn kami komplain kpd pelayan disana & jawabannya sungguh konyol. Tamu boleh saja merokok di area non. Lanjutan",negative
