content,polarity
"Untuk kesekian kalinya makan siang di Lotek Kalipah Apo, biasanya pesan lotek yang rasanya mantap dan selalu ludes tak bersisa, tapi kemarin itu pingin mencoba gado gadonya dan karena dari pagi belum makan maka pesan gado-gado nya pake lontong di tambah kolak pula dan ternyata porsinya banyak banget tuh gado-gado sampai perut rasanya engap banget ditambah kolak yg rasanya legit. Lanjutan",positive
"Rasanya mantep untuk penyuka manis. Lotek rasanya gurih jadi lebih cocok pakai nasi atau lontong harga 19rb. Kolaknya juga enak, asinannya segar masing2 17rb an. Makanan disini cocok untuk penyuka manis. Buka sampai jam 5 sore",positive
"Tadi pas makan siang saya mampir ke sini(rumah makan dgn ciri khas makanan tradisional indonesia),saya memesan satu porsi lotek,harganya 19500(porsinya lumayan banyak) rasanya juga enak,cenderung kemanis.bubur pacarnyanya harga 1 porsi 17000,rasanya enak.",positive
"Kalau Anda bertanya kepada papa atau mama soal Lotek Kalipah Apo pasti mereka sudah familiar mendengarnya. Ya, warung lotek yang sudah berdiri sejak 1953 ini memang terkenal di Bandung. Tapi yang menjadi favourite saya adalah macam - macam kolak manis disini. Rasanya enak dan tidak berubah sejak saya masih SD hehe. ada berbagai macam kolak dan boleh dicampur (seperti kolak. Lanjutan",positive
"Unik juga untuk makan lotek di sini karena kita harus antri di jalur antrian sambil bisa memilih beberapa menu lainnya. Kemudian setelah membayar, makanan dan minuman bisa langsung kita bawa ke meja. Atau jika masih perlu waktu membuatnya, makanan akan dibawakan oleh pramusaji. Harga relatif murah dan terjangkau. Cita rasa lumayanlah untuk bernostalgia. Loteknya tampak tidak diuleg secara tradisional seperti. Lanjutan",positive
"Lotek Kalipah Apo sudah terkenal sejak tahun 1953, mempunyai cita rasa tersendiri, bumbu kacangnya menggugah selera, lotek ini disajikan dengan 2 pilihan, nasi atau lontong, tergantung selera kita yang mau menyantapnya.",positive
saya suka lotek ini sayang sering ramai.dan susah dpt parkir. sayurannya pas.rasa bumbunya jg pas.dan bertahun tahun mreka tetap bisa mempertahankan rasa. disini jg ada kolak dan aneka bubur.tp tentunya paling dicari ya loteknya :)),positive
"Dulu klo ga salah ini namanya lotek siaw cie, enak banget rasanya dan harganya pun ga murah, selain itu ada biji salak, candil, dll yg rasa nya mantap banget .",positive
"Bumbu lotek istimewa dan legit. Recomended banget. Ada banyak macam main dishes dan desert Indonesian food yang enak disini. Rujak beubeuk nya enak, macam2 bubur manis nya enak.",positive
"Lotek kalipah apo sudah terkenal sejak dulu. Selain lotek juga ada nasi rames dengan lauk dan sayur yang bermacam-macam. Tempatnya kecil, sehingga selalu penuh pas jam makan siang. Tempat parkir terbatas. Tapi makin lama harganya jadi mahal untuk menu seperti itu.",positive
"Lotek Kalipah Apo 42 merupakan salah satu penjual lotek yang paling nikmat dan legendaris di kota Bandung. Lotek adalah makanan khas Indonesia yang terdiri dari berbagai macam sayuran, diantaranya bayam,kangkung, tauge, nangka muda dan sayuran lainnya yang diaduk dengan saus kacang kental. Saus kacang kental biasanya diracik langsung dengan cara diulek dengan bahan lainnya yaitu garam,gula merah,air,cabai rawit dan kencur. Lanjutan",positive
"Lotek favorit saya, bumbu yang legoh enak sekali utk santapan makan siang, utk nasi rames disini juga enak dan banyak pilihan",positive
"Lotek Kalipah Apo adalah tempat favorit untuk mencicipi Lotek. Bayam, kangkung, tauge disiram bumbu kacang (mirip gado gado) ditambah krupuk dan lontong. Nyam. Tempat ini sudah ada sejak saya kecil. Oh ya, sudah ada cabangnya juga di Jakarta, di jalan Batanghari (sekitar jl Musi/Cideng). Selain Lotek, tersedia juga kolak pisang, biji salak, sagu rangi dll.",positive
"Warung lotek yang telah hadir sejak lama dan telah menjadi semacam legenda di Bandung (mungkin sekarang sudah buka cabang). Terkenal karena konsistensi rasa-nya selama bertahun-tahun, meskipun bangunan asli telah dipugar tetapi keaslian masih tetap dijaga dan tetap susah parkir. Beberapa waktu terakhir ada sedikit ""perubahan"" ketika ibu yang biasa 'ngulek"" sebagai chef untuk lotek sudah tidak terlihat lagi. Secara umum. Lanjutan",positive
"Mencari makanan rumah dan makanan penutup klasik di Bandung, di sini tempatnya. Menu utamanya adalah lotek, dengan rujak cuka, kolak pisang, dan cendol yang enak. Biasanya saya memesan makan nasi dengan memilih daun pepaya, ayam rica. Parkir dan tempatnya kurang nyaman, namun jangan berkecil hati untuk datang ke sini",positive
"Saya makan bersama keluarga Di tempat makan INI. Loteknya enak Dan tidak bikin enek. 1 porsi Lotek sudah membuat kenyang. Tapi enak sekali. Tidak hanya menyajikan Lotek, ada pula nasi dengan beragam sayur, aneka bubur manis, macam2 kerupuk Dan rujak. Saya suka rujak tumbuknya.pas rasanya.",positive
