content,polarity
Makanannya enak dan variasa makanan lumayan banyak. Buka sampai malam dan cocok untuk yang cari makanan di malam hari,positive
Yang mendengar namanya pertama kali pasti memikir ini adalah tempat panti jompo. tapi ini adalah kaafe sodara2. kafenya homie banget. dengan makanan homemade yang enak. meski namanya kejadulan. tapi di sini gak hanya makanan indo doank. tapi masakan western/asia gitu juga tersedia. bahkan pizza pun ada.,positive
"Tempat sich oke, cumn parkirnya kadang di jalanan tdk ada yg jaga, ndak tau pas sy datang lg rame mobil atau bgmn. Saya pesan soto ayam, lumayan, pesan jg nasi merah oke lah",positive
"Kami mampir kesini di Bulan April 2016 Roemah Nenek menyajikan menu2 rumahan jaman belanda yang enak-enak. Terutama Zuppa Soup nya Lokasi nya sangat strategis, di tengah kota. Suasana nya Vintage, karena menggunakan Rumah Besar model Jaman Belanda Thanx",positive
"Berkunjung kesini atas rekomendasi dari teman.tempat nya lumayan nyaman dan masakannya juga enak, soal harga juga standar ga terlalu mahal menurut saya.",positive
"Malam ini makan sekeluarga di sini,,ada beberapa hal yang bikin kapok buat kesini lagi - Pelayan tidak menginfokan dari awal beberapa menu yang kami pesan habis,,kami diberitahu setelah 20menit menunggu makanan datang - Banana split yang kami pesan sebagai dessert baru dihidangkan setelah kami menunggu lebih dari setengah jam,,3x memanggil pelayan - Waktu akan membayar kami diminta mengecek kembali bill,. Lanjutan",negative
"Ini cafe pertama yang saya tau sangat nyaman untuk keluarga. Rasa makanannya tidak pernah berubah, begitu pula harganya. Menu makanan ada gule, gado-gado, juga steak, semuanya recommended untuk makanan sehari-hari. Minuman yang paling terkenal di cafe ini adalah blue lagoon nya yang seger bingiiittss.",positive
"Sesuai dengan namanya, di Roemah Nenek ini kita bisa menikmati makanan dengan suasana rumahan yang sangat nyaman. Saat itu saya bersama keluarga besar memilih duduk di meja panjang besar yang berada di ruang tengah dan sebagian duduk di sofa panjang yang ada di belakangnya. Di sekeliling ruangan terdapat berbagai dekorasi, pajangan, dan perabotan antik. Tempatnya memang cocok untuk berkumpul dengan. Lanjutan",positive
"makanannya cukup enak, boleh coba nasi goreng rumah nenek, hanya tempat perlu direnovasi karena suasana agak gelap dan bangunan sudah cukup lama, sebaiknya dibuka saja bagian depan agar lebih terang",positive
"Pelayannya perlu di Training lagi, dalam Greeting melihat tamu membawa kendaraan apa?? Makanan Enak, Harga cocok, Toilet Bersih",positive
"saya sudah sering kali datang menikmati makanan di roemah nenek. saya suka dengan suasananya yang nyaman untuk makan bersama keluarga. dihari-hari tertentu ada hiburan live music. makanan nya pun punya pilihan yang beragam dari yang tradisional, asia, sampai western",positive
"di tempat makan ini boleh memilih duduk di kursi atau di sofa, di dalam ruangan atau di luar, dan setiap berkunjung pada malam hari selalu ada live music dan pengunjung dapat menyumbangkan lagu. interiornya klasik dan antik. atmosfirnya cocok untuk bersantai bersama teman, pasangan atau keluarga.makanannya enak dan banyak pilihan. kekurangannya: tempat parkir sempit.",positive
"enak, asik, seru.:D^_^ banyak anak muda yang mampir ke roemah nenek, kafenya membuat anak-anak muda merasa seperti berada di rumah nenek-nya.hahaha. santai tapi seru.begitulah. kalau mau, datang dan coba aja hidangan dan suasananya, ok!:)",positive
Mantap. Nasi goreng lidahnya. itu yang hanya bisa saya tulis di sini. tapi menu yang lainnya juga oke. dari sop iga dan yang lainnya. tapi tetep saya lebih suka nasi goreng lidah.,positive
Tempat makan yang enak untuk membawa keluarga dan rekan atau sahabat klo weekend live musik juga. cuma sayang makanan nya kurang memuaskan cuma dapat di tempat nya aja.,positive
