content,polarity
"Surabinya macem2 rasanya. mo coklat, stoberi, srikaya. semua ada. rasa leunca sayangnya gak ada. jadi jangan coba nanya ama mbaknya. buat nyemil2 okelah.",positive
"Selalu kesini setiap ke Bnadung Cemilan aneka rasa khas rumah imoet. Fovorite rasa oncom ayam telor, atau keju coklat pisang.",positive
"surabi terobosan dalam dunia kuliner. saya memilih surabi oncom dan keju susu. kalau oncom. kaga terlalu cocok. kalau keju susu, cocok. jadi pilihlah yang menurut kamu cocok. tempat ok. pelayanan ok. kamu harus coba.",positive
"rekomended kuliner di bandung letaknya di jl. setiabudhi dekat perempatan menuju gerlong, surabinya enak pisaaann.favorit rasa surabi imut telor oncom ayam spesial untuk rasa yang gurih dan surabi coklat keju untuk rasa yang manis. harga makanan dan minuman termasuk murah, hanya saja waktu menunggu pesanan agak lama, tetapi sambil menunggu surabi kita juga disuguhkan otak-otak palembang. otak-otak ini rasanya juga. Lanjutan",positive
"Sebagai salah satu kuliner favorit di Bandung selalu disempatkan makan Surabi, hanya waktu tunggu pemesanan lama walaupun di siang hari & pelayanan kurang akurat dgn pesanan kita.",positive
"Kebetulan lokasinya dekat dengan tempat menginap di Hotel Grand Setiabudi Bandung, karena penasaran pingin coba akhirnya saya coba mencicipinya dan ternyata rasanya enak, ada beberapa variasi rasa yang dijual.",positive
"Ini adalah salah satu tempat yang menyediakan Surabi, khas Bandung dengan bermacam-macam topping. Kurang lebih ada 3 tempat di pinggiran jalan raya Setiabudhi yang menawarkan jajanan khas ini. Letaknya ada disamping Sekolah Tinggi Pariwisata Bandung.Letaknya cukup strategis dan mudah dijangkau. Sayangnya tempatnya kecil dan tempat parkirnya yang ga ada. Banyak pilihan Surabi dengan berbagai topping yang bisa dicoba. Mau dengan. Lanjutan",positive
"Berada di tepi jalan raya Setiabudhi Bandung, membuat tempat ini sebenarnya sangat strategis dan mudah ditemukan, kalau saja ukurannya agak lebih luas sedikit, karena ternyata tempatnya tidak terlalu besar, dan tempat parkirnya juga hanya muat 2 mobil. Surabinya: enaaak sekali. Empuk dan ukurannya lebih besar dari surabi yang dijual di pasar. Ditambah dengan topping yang ditawarkan, makin terasa nikmatnya! Karena. Lanjutan",positive
Tempatnya rame. Malam minggu ada live music Macem2 menu surabi variatif. Parkirnya aja yang susah karena pinggir jalan. Jadi numpang parkir di ruko2.,positive
"Surabi yang saya pesan, Keju Susu, Telur Sosis dan Keju Oreo, semuanya enak. Panas, gurih, terasa toppingnya, dan saya tetap tidak terlalu lama menunggu meski kedai sedang ramai. Pelayanan cukup responsif, dan pembayaran tidak membingungkan. Hanya saja tempatnya sedikit sempit. Saya merekomendasikan tempat ini karena Price per Performancenya menurut saya sangat OK.",positive
