content,polarity
Makanan sunda disini salah satu tempatnya. Makanan enak. Pelayanan kurang ramah. Tempat ya sunda nya ada banget. Tetap Semangat ya,positive
"sering kali saya mengunjungi tempat ini, tapi yg terakhir membuat saya kecewa. dari segi rasa menurun jauh. saya pesan sayur oncom cah lenca, tapi yg saya terima lenca cah oncom. pelayanannya lama. tempat tetep cozy. kebersihannya kurang, karena dekat toilet ada pup kucing dan tidak dibersihkan",positive
"Restoran khas Sunda, sambalnya mantap menggugah selera apalagi dinikmati dengan lalapan. Pelayanannya cepat dan helpfull.Cukup ramai pengunjung khususnya di jam makan siang apalagi di weekend dan musim liburan.",positive
"tak pernah absen ke sini apabila saya ke bandung. hanya sambalnya yang ngangenin. pelanyanannya cepat, ramah, dan helpfull. tempatnya cozy terutama yg di pendopo2nya. resto ini full jika jaman liburan",positive
"Bumbu Desa merupakan restoran masakan Sunda, salah satu dari sekian banyak pilihan restoran dengan hidangan masakan Sunda di Bandung. Letaknya strategis, di jalan Pasir Kaliki, tidak jauh dari tol Pasteur. Saat masuk kita akan disambut dengan ucapan selamat datang dalam bahasa SUnda dari para pelayannya. Kemudian kita dipersilahakn untuk memilih sendiri makanan yang akan kita makan, pelayan mencatat, mengambil dan. Lanjutan",positive
"Good services, good taste and good price. Recommended : Tempe Mendoan, Pepes Jamur, Pepes Telur Asin, Sambal Hijau",positive
"Bumbu Desa pertama kali saya mengenalnya ketika berkunjung di Factory Outlet Rumah Mode di Bandung. Tak lama kemudian, saya melihat begitu banyak cabang dimana mana. Terkahir, saya menikmatinya hari rabu lalu. Bertempat di satu jalan di seberang took oleh oleh Prima Rasa, kali ini saya memilih jengko, tahu, tempe mendoan, syaur taoge serta khas Bumbu Desa yaitu gurame masak kuning. Lanjutan",positive
"setiap ke bandung saya dan keluarga pasti mengunjungi tempat ini. kalau buat makanan sich standar resto sunda, tapi yang beda suasana yg cozy, dan di tambah sambelnya yg pedes mampus. tapi itu justru yg bust ketagihan. sayangnya kunjungan saya yang kemarin, saya rasa tingkat kepedesan cabainya dikurangi.",positive
"Makan disini memang lumayan dengan menu standar Sunda. Sambal nya biasa saja guramenya pun biasa saja namun keringnya cukup, namun menurut ortu, guramenya terlalu tawar.bumbunya kurang meresap . Mudah2an ada perbaikan",positive
"Paling suka menu cumi hitam dan ayam sambal hijaunya,pilihan sambalnya juga banyak,cuma sayang lokasi parkir agak sempit,apalagi kl sudah jam makan atau wekend",positive
"Dulu pernah berjaya, sekarang pilihan hidangannya cukup terbatas. Menu masakah Sunda dengan gaya prasmanan : pilih, duduk, makan. Rasa cukup OK, tempat luas.",positive
"restoran sunda cepat saji. untuk rasa lumayan, harga relatif terjangkau, beberapa kali ke bandung saya mampir kesini karena ada makanan kesukaan saya yang menurut saya cocok dilidah saya.",positive
"makanan sunda cepat saji, sayang masakan nya sudah di masak dulu dan menu nya standart, serta lalapan sayur nya sudah layu, kalau makanan sunda harus dengan lalapan segar, tidak ada yang istimewa, kurang direkomendasikan.",positive
Lebih tepat di bilang masakan sunda fast food. Karena semua masakan sudah tersedia siap saji. Dan apa bila mau baru di hangatkan. Kurang mencerminkan rasa masakan yang segar. Lalapan yang menjadi khas nya rumah makan sunda pun tidak tampak yang ada hanya beberapa sayur lalapan yang sudah layu.,negative
