content,polarity
Roti bakar duti ini sudah ada sejak doeloe di sini. rotinya biasa aja sih. cuman menu pilihannya buanyakk banget. apa aja ada. sampe kadang bingung mo pilih yang isi apa. ada jual bubur juga. oke juga lah.,positive
"Di bandung malam malam,gerimis,dingin.roti bakar duti pilihan tepat. Roti bakarnya banyak pilihan. Mau untuk cemilan atau buat ngenyangin perut. Belum lagi bubur ayamnya,wuih top. Pokoknya kalau malam malam di bandung wajib mampir. Tapi jangan datang minggu malam senin. tutup",positive
"Saya hampir setiap minggu rutin ke Duti. Bagi saya pribadi bubur di tempat ini adalah bubur terenak di Bandung, apalagi jika dicampur dengan sambal dan bawang gorengnya. Harga menunya pun sangat murah",positive
"semuanya enak-enak. yang harus dipesan itu roti bakar coklat nanas, enak banget loh, lokasi nya di tengah kota, buka dari sore sampai subuh, cocok buat ngemil malam. kalau suka yogurt asam, mereka jual bungkusan juga, asem banget, enak!",positive
"buburnya favorit banget, daging dan pangsitnya yang menemani untuk dimakan pada malam hari. roti bakarnya juga enak, ada menu hamnya juga, tapi yang muslim jangan khawatir karena ada juga menu yang halalnya. di menunya juga diberitahukan.",positive
"Bingung makan malam di bandung? Ksini aja !! Daerah cibadak, surganya makanan duniawi. Disini tersedia macam2 makanan. Salah 1 nya roti dan bubur duti ini. Kalo malam lapar. Pasti ksini buat recharge perut. Nah. Disini ada roti dan bubur yang gw suka di bandung. Roti lu pilih yang manis aja. Dijamin ga nyesel. Kalo bubur. Gw sukanya yang bubur pangsit. Lanjutan",positive
"Menawarkan hidangan roti dimalam hari, boleh coba susu murni dan padanan roti keju atau strawberry. Roti jaman dulu tapi rasa tetap enak dibanding roti2 saat ini",positive
"Boleh dicoba buat kalian yang kuliner di Bandung, bukanya dari sore hingga subuh. jadi kalau kalian laper tengah malem bisa dicoba ni, roti bakarnya enak banget. Recommended --> roti bakar worst+keju+telur",positive
Warung roti ini terletak di daerah Gardu Jati. Menyediakan aneka roti bakar baik porsi kecil maupun besar. Pisang bakar serta bubur ayam juga melengkapi menu. Bubur ayam kampung sangat gurih dan menggoda. Patut dicoba!!,positive
"Roti bakar dan bubur yang enak, sangat cocok bagi anda yang lapar ditengah malam karena duti buka dari sore - pagi subuh (tidak tau persisnya).",positive
