content,polarity
"Lokasi berada di daerah ruko Setrasari Mall. Dari luar, seperti layaknya luas ruko normal. Begitu masuk, disajikan dengan suasana coffee cafe. Tetapi pada saat masuk ke dalam lagi, ternyata masih ada tempat di belakang rukoyang dibuat suasana terbuka tetapi ditutup dengan terpal yang tinggi sehingga seperti suasana outdoor. Cozy",positive
"Secara umum lebih mirip cafe tempat pertemuan daripada restoran, makanannya lumayan baik tapi rasanya rata-rata saja. Pelayan ramah.",positive
"Kami ke sini untuk sarapan pagi. Biji kopi yang digunakan adalah hasil roast sendiri, sehingga benar-benar biji kopi yang masih fresh, dan hasilnya pun kopi yang sangat enak. Salah satu dari kami adalah rekan yang berasal dari Belgia, dan di negaranya dia biasa makan croissant untuk sarapan. Saat mencicipi croissant yang dihidangkan di Morning Glory, komentarnya adalah, ""Ini tidak beda. Lanjutan",positive
"Tempatnya agak sulit dijangkau karna harus memasuki daerah ruko. So far, tempat ini rekomendasi bgt buat coffee time, interior ruangannya oke, cappuccinonya pas dan nasi goreng kampungnya badai. Seru!",positive
"Sebetulnya ini pengalaman pertama saya datang kesini, yang saya pesan adalah croissan cokelat, stroopwafel, dan lychee freeze tea. Croissan rasanya enak, lembut, dan cokelatnya tidak terlalu manis, saya suka. Stroopwafel-nya tidak seperti stroopwafel yg biasanya, rasanya enak tidak terlalu manis, tapi menurut saya teksturnya terlalu keras. Lychee tea juga lumayan enak, tapi sayang pada buah lychee-nya ada rasa yg aneh. Lanjutan",positive
"Banyak yang bertanya-tanya dengan kualitas rasa kopi MG, saya pribadi merasa tidak ada yang istimewa dengan coffee shop ini.",positive
"tempat kopi yg bagus. tidak disangka, dalamnya lumayan luas. menyajikan aneka makan juga. coffeenya enak, favorit ku :creme brullee nya.",positive
"tempatnya susah di temukan , pelayanannya buruk sekali , untuk minuman lumayan mahal, situasi tempatnya kurang menarik ( buruk sekali )",negative
"tempat ini menyediakan makanan dan minuman yang enak untuk sambil nongkrong bersama teman, keluarga, dan pasangan. harga makanannya juga pas dengan kantong kita",positive
"Coffe Miening Glory di setra-sari bandung utara . Cogfe nya wangi dan tempat di tata bagus banyak pepohonan ,didepan ruko kecil Tersedia 2 meja saja . Tapi masuk ke dalam taman cukup besar . Dan santai",positive
Bener. masuk ke tempat ini bau kopi nya wangiiii banget. Kopi caramel machiato nyaaa enaaak. Croissant nya crispy . Yumm. Kalau mau yang agak unik Yin Yang. campuran teh latte. kayaknya ga ada kali ya di jakarta . Must try !!,positive
"Sejak masuk pintu sudah tercium aroma kopinya, suasananya santai seperti di kebun , menunya menarik menarik , kopinya kerasa banget. recomended coffee shop",positive
"Kopi di Morning Glory ini salah satu yang terbaik di kota Bandung. Selain menyediakan kopi espreso , di sini juga menyediakan kopi chemex v90 dan sebagainya untuk merasakan kopi Priangan yang memiliki rasa fruity. Untuk yang suka dengan kopi manis, caramel machiattonya berasa segar dengan kombinasi karamel manis dengan kopi espressonya. Kalau buat makan, biasanya saya makan chicken bowl. Cocok. Lanjutan",positive
"letaknya cukup terpencil di dalam komplek ruko setrasari tepatnya sebelah tempat perbelanjaan griya. bagi pecinta kopi disini surganya, uniknya di sini tersedia tempat mesin roasting kopi. jadi jika beruntung berkunjung disini dapat melihat langsung proses awal pembuatan kopi dari mesin roasting. saya menyarankan coba hazelnut creme brulee, espresso ditambah foam milk dengan campuran hazelnut, dan taburan caramel yang dibakar. konsep. Lanjutan",positive
