content,polarity
"Buat kamu yang seneng foto2 d sini tempatnya sapu lidi. Kwasany luas,banyak macam makanan pilihannya. Viewny jg bgs buat foto2 yaa. Lokasiny d daerah atas. Bnyk tamannya. Pokokny mantep deh yang lum pernah k sini ayo k sapu lidi. Makan di sini yaa",positive
"Karena beberapa waktu yang lalu saya pernah makan di sapu lidi dan saya menyukainya,maka pada saat saya ke Bandung kembali,saya pun mengajak keluarga saya untuk makan disana,tetapi ternyata makanannya tidak seenak dahulu,pelayanannya pun kurang.Saya memesan karedok,ikan bakar daun,genjer tumis dan sate kambing.Makanannya jauh dari perkiraan saya sebelumnya.Lalat jg banyak,sehingga suasana makan terganggu bahkan ada beberapa kucing berkeliaran.Meja2 bekas orang makan. Lanjutan",negative
cafe dengan cita rasa sunda dengan saung-saung rasa yg ditawarkan sungguh nikmat namun harga cukup tinggi untuk ukuran restoran sunda,positive
"gaya makan suasana desa. makanan enak, tapi harganya ga murah murah amat dibandingkan dengan resto lain yang ada di bandung",positive
perginya pas lebaran kemarin juli 2015 wuih rame banget. kalu tempatnya sih oke . enak view and hawanya dingin. cool lah. cm seharusnya karena di ruang terbuka harusnya ya dikasih lilin per meja tanpa kita minta. makanannya enak sih. cm porsi nya ndk besar.,positive
"Makanan yang enak dan suasana yang sangat nyaman, terutama untuk ikan guramenya. kelemahan dari resto ini adalah banyaknya lalat yang beterbangan sehigga menganggu pada saat makan",positive
Menikmati makan siang di Restoran Sapu Lidi membuat kita merasakan sensasi makan di tengah sawah. Hal ini dikarenakan restoran ini memiliki desain bangunan yang asri dan natural yang menyerupai kondisi perdesaan. Ditambah dengan alunan musik Sunda yang akan membuat kita lebih rileks untuk menyantap makanan.,positive
"Restoran yang sangat unik dan memiliki citarasanya sendiri. Anda dapat merasakan seperti benar-benar makan di tengah sawah dan pelayanan yang dimiliki oleh restoran ini juga sangat baik dan ramah. Terletak di tengah kota Bandung, Anda akan merasa seperti berada di tempat yang berbeda. Sangat direkomendasikan untuk Anda yang ingin suasana berbeda.",positive
ini adalah lokasi dengan tema yang unik. bersantap asik dengan rasa seperti makan di tengah sawah membuat nafsu makan menjadi bertambah,positive
"Tepatnya bersih dan memang sesuai dengan tagline yang mereka usung, ""Makan di sawah"". Kita bisa makan di pendopo dengan dikelilingi hamparan padi. Ada juga fasilitas flying fox untuk anak-anak, apabila kita masuk kedalam restoran lebih dalam. Untuk makanannya, secara keseluruhan, cukup enak. Walaupun saya secara pribadi menganggap makanannya agak terlalu asin untuk standar pribadi saya :) Sedangkan untuk harga, cukup. Lanjutan",positive
"Makanannya enak, pelayannya ramah, yang paling penting makannya di pendopo-pendopo dan bisa gegoleran setelah makan, makan diantara sawah dan danau buatan. Sangat menyenangkan",positive
"Saya dan isteri berkunjung ke tempat ini sekaligus menginap di penginapan sapu lidi. Kami makan malam di restaurant ini. Tempat ini menawarkan hidangan yang cukup menggugah selera dan memiliki suasana yang sangat baik. Jika dilihat dari harga, rasanya cukup sesuai dengan suasana yang ditawarkan.",positive
"Kami datang dalam rombongan 53org dalam rangka whole day trip 86th birthday party celebration mertua saya, dan telah reservasi beberapa hari sebelumnya untuk makan siang jam 12.30. Makanan yang kami pilih adalah paket Nyiru dengan cara penyajian prasmanan. Tempat yang dipilhkan untuk kami cukup cantik dan tertata indah dengan privasi yang terjaga. Hidangan juga cukup lezat. Hanya sayang pesanan tambahan. Lanjutan",positive
"tempatnya unik dan indah, makanan enak, pelayanan ramah. tapi karena lokasinya jauh jadi harus bawa kendaraan sendiri.",positive
"makanannya mahal mahal, dan masakannya kurang enak, apalagi kalau lg high season, ngantri.pemandangannya bagus untuk foto foto",positive
"Nama nya yang membuat saya tergelitik untuk mampir dan makan, kemudian menanyakan kepada staff mereka, kenapa namanya Sapu Lidi ? Tidak ada yang bisa menjawab dan baru terjawab ketika owner nya diwawancara disebuah stasiun televisi. Sapu Lidi idebtik dengan rakkyat, dengan desa/kampung. Tempat ini di desain cukup unik menurut saya seunik pemiliknya juga",positive
"tempatnya asri dan nyaman, tp makanan dan harganya terlalu mahal. ada sampan utk keliling danau buatan. cocok utk makan bersama keluarga",positive
"Pelayanan cukup cepat, makanan enak. Suasananya bikin betah seperti makan di daerah pedesaan. hanya di pintu depan perlu diatur supaya tidak saling serobot mendapatkan tempat duduk.",positive
makan di tengah2 sawah dengan udara yang dingin cuma bisa di sapi lidi. nice,positive
"Nila bakarnya ok, ayam asap Gorengnya ok, sayur asemnya not good, tahu pepes daunnya aneh rasanya, hidangannya keluarnya kgk bareng jd not good deh",positive
