content,polarity
"tempat yang asik buat nongkrong, banyak pilihan makanan, unique interior dan eksterior design. kemarin order lemon tea dan nachos, dua duanya enak, pelanannya jg bagus dan ramah. lokasinya juga di pusat kota.",positive
"Menu makanan : komplit asia, western Taste. : bagus, sesuai Menu minuman : banyak pilihan Keunggulan : Rasa masakan oke,tempat cozy,tenang, ada pemisahan smoking dan non smoking area, tidak crowded Kekurangan : - mushola terlalu kecil - tidak ada speciality coffee dgn manual brew Recommended untuk berbagai kalangan",positive
"Konsep tempat cukup bagus, dibuat cozy dan semi cafe. Minum kopi hitam sama beli air putih aja karena tempatnya kosong ga banyak orang yang nongkrong. Jadi hanya minum bayar pulang deh. Ganti cafe restob lain dijalan yang sama.",positive
ngobrol bakal nyaman banget karena suasananya yang dapat menciptakan ketenangan walaupun ramai dengan orang lain.,positive
"Saya bersama teman saya datang kesini untuk acara Arisan. Tempatnya nyaman dan berkonsep minimalis, sangat cocok untuk nongkrong dan bersantai dengan teman-teman. Saya memesan menu favorit saya yaitu Aglio Olio Tuna dan Ice Tea. Rasanya oke, seperti cafe sejenis lainnya. Yang kurang dari cafe ini mungkin karna konsep minimalis jadi interior bagian luar adalah kaca2, ini membuat ruangan di dalam. Lanjutan",positive
"Tempatnya bagus, lumayanlah ada tempat VIP gitu, tapi tempat VIPnya hiasannya kurang, trus yaah kurang menarik sih sebenarnya, tapi menurut saya cukuplah untuk 20 orangan. makanannya lumayan enak.",positive
"Saya sampai di restoran ini pukul 07;00 pm pas until mayan malam, menurut says steak disini memang enak, porsinya pun cukup besar, tempat nya cocok untuk nongkrong dan berlama lama di tempat ini, dan free Wifi",positive
"Saya bersama teman saya tiba disini sudah pukul 21.00 dan masih saja ramai pengunjung. Saya memesan Chicken Parmigiana Rp 49.000,- dan Spicy Calamari Rp 39.000,- serta Ice Tea Rp 18.000,- Total nota ditambahkan pajak 10% dan servis 5%. Desain interior cafe ini juga bagus untuk dijadikan tempat mengambil foto.",positive
"makanan dan minuman disni bisa dibilang tergolong mahal, saya mencicipi dengan minum dulu dan ngbrol2 bareng teman teman.",positive
"Saya kesini sama teman-teman. Tempat nya lumayan cozy dan pelayanan nya juga lumayan baik. Disini saya hanya pesan minuman dan bir, soalnya untuk harga makanan lumayan mahal menurut saya. Overall untuk minuman nya biasa saja, saya memesan tiramisu coffe kalau tidak salah dengan harga 25 ribu.",positive
"Lokasinya strategis, parkir tapi agak susah. Harga makanan & minumannya juga cukup mahal menurut saya. Tapi, sesuai dengan porsi yang diberikan. Saya suka vanilla milkshakenya, manis, enak.",positive
"Lokasinya mudah dicapai, dari jalan banda (sebelah heritage outlet) menyusuri jalan progo sampai ke ujung bertemu jalan cimanuk. tempatnya nyaman dan nuansanya sejuk. wifinya lumayan kencang. main course yang kami coba : fish & chips, triple decker sandwich dessert : peach waffle dan (lupa namanya tp ada saus bluberry + ice cream + almond) kopi : Kilamangiro (kopi es beraroma. Lanjutan",positive
nasi goreng salmon di tempat ini sangat enak ditambah suasana yang enak juga ditempat ini dengan harga yang bisa dijangkau,positive
"Lokasinya mudah ditemukan karena tepat ditikungan. Pelayanannya pun cepat dan ramah. Mencoba Red Velvetnya yang terkenal, sedikit overrated tetapi tetap enak kok",positive
