content,polarity
Interiornya bikin betah. Semua sudut bisa untuk foto. Makanan dan minuman menurut saya standar. Yg pasti di sini hanya ada makanan halal dan aman dari asap rokok. Nyaman buat basa anak.,positive
"Lokasi strategis, layout ruangan Luas, variasi menu makanan dan Minuman banyak dan harga yang sesuai dan yang paling penting adalah mereka bisa menyesuaikan Layout sesuai keinginan kami yaitu acara Lamaran Thank You . :)",positive
"Victory spirit nya recommended banget, tempat nya bagus buat foto. Wifi nya bagus signal nya. Harga nya pas dikantong. Good food good place",positive
"Makanan nya enak minuman nya pun enak,tempat nya menarik untuk berfoto dengan keluarga, saya senang sekali berkunjung ke restaurant djoeroe masak",positive
"Makan bareng pacar, tempatnya romantis makanan nya enak sekali dn harganya cukup murah . Service bagus senang lamalama dsni",positive
"Mulai dr menu tradisional & modern, harganya standar. Asik untuk ngedate lebih asik lagi untuk acara ulang tahun, reuni, & kongkow bareng teman-teman.",positive
"Letaknya strategis, di pusat kota Bandung. Untuk cita rasa makanan biasa saja. Nilai yang paling menonjol adalah desain interiornya yang kekinian, cocok untuk foto-foto atau santai berlama-lama, bikin bangga kalau di-upload ke instagram. Tersedia juga smoking room dan non-smoking room.",positive
"Djoeroe masak restoran memiliki interior yang unik, cocok untuk bercengkrama dengan teman teman karena interiornya bikin betah dan inginnya berlama lama. salah satu alasan singgah ke restoran ini adalah bangunannya yang tampak dari luar bergaya eropa dan saat masuk wow .interiornya dan tata letak serta lightingnya bikin betah.bagaimana dengan masakannya??? dilihat dari menu masakananya seperti restoran pada umumnya bahkan banyak. Lanjutan",positive
saya ingin mengunjungi djoeroe masak karena pernah melihat tempat ini diulas pada salah satu stasiun TV swasta di Indonesia. dan sebagai orang yang kuliah di bandung saya penasaran dengan tempat makan yang menghadirkan suasana yang terlihat nyaman dengan dekorasi yang unik. tempat ini didekorasi menyerupai ruang makan ataupun ruang kumpul keluarga yang ada dirumah kita. perpaduan warnanyapun sangat indah. tempat. Lanjutan,positive
"Sebenernya udah dari beberapa tahun yg lalu tau&pengen nyoba kesini, tp berhubung kesibukan dan lain sebagainya jd baru bisa kesini sekitar bln september lalu. Udah tau juga sebenernya konsepan cafe ini yg tuh homey bgt karna liat dari post-postan poto yg diunggah di twitter @djoeroemasak. Tp pas bnran real secara nyata liat sendiri decoran&temanya yg supeeerrr cantik, homey dan ""ngeunaheun. Lanjutan",positive
