content,polarity
"Tempat desert yg enak, cobaim fluffy cheese melt n milo. Rasa enak, harganya juga murah, tempatnya nyaman, pelayanannya ok. Boleh dicoba pokonya mah.",positive
"Di Dot Bravo Dessert Shop Bandung, merupakan toko oleh-oleh khas Bandung, saya menemukan makanan kesukaan saya, di jakarta sudah tidak ada, saya bersukur bisa menemukann di sini 'Coklat SUZANA"" hmmmmmm nyummmi.",positive
"Stall yang menjual dessert dengan kombinasi yang unik. Kita akan mendapatkan seperti roti canai yang tipis ataupun yang agak tebal dan fluffy dan dipadukan dengan ice cream atau frozen yoghurt, Favorit saya adalah cheese melt nya yang sangat fluffy dan enak. Tempatnya bukan seperti restoran tapi booth yang ada tempat makannya",positive
"lokasinya di pvj di bawah eskalator, dekat dengan game master. yg favorit, es froyo-nya dan paper bread dengan susu kental manis",positive
"Makanannya enak, cocok untuk yang seneng dessert, dan ada juga makanan savory (setipe sandwich). Lokasi di PVJ, di tengah-tengah kerumunan, mungkin kurang cocok untuk yang ingin istirahat atau suasana tenang.",positive
makanan yang unik.rasa yang cukup enak.anak2 saya menyukai makanan unik yang seperti crepes serupa gunung dan topi besar ini.keju dan coklat cukup enak.pelayanan biasa2 saja .,positive
"Makanan dan ice creamnya enak, khususnya untuk anak anak pasti menyukai paper bread khas dari restoran ini",positive
"Pertama ingin mencoba karena keponakan yg penggemar ice cream melihat bentuk2 yg disajikan cukup unik, shg kami tetarik untuk memesannya.Rasanya lumayan enak tp harga agak mahal apalagi kl ditambah toping2 lainnya.Keponakan cukup terhibur dan sangat menikmatinya, ok.",positive
Martabak tipis yg enak apalagi yg fluffy cheese atau yang milo cheese. frozen yogurtnya juga enak banget. great service.,positive
Pertamanya saya mencoba menu di Dot Bravo karena ada penawaran kupon sehingga kami tertarik untuk membeli. Menunya unik dan harganya lumayan. Kami suka mengunjungi di sore hari untuk yo-fro nya dan paper bread. Lumayan bila ingin mencoba sesekali sebagai pilihan snack/ makanan pencuci mulut.,positive
"Biasanya sembari nunggu anak-anak main game di Game Master, saya mampir ke sini. Snack roti kertasnya enak, dan es krim yogurtnya menurut saya lebih enak dari yang lain. Pelayanan ok, tapi tempatnya kurang nyaman aja.",positive
