content,polarity
"Kirain pertama dateng, bakal kaya hokben gitu isinya. ternyata isinya campur2 menu masakannya. ada western, indonesian. macem2 deh. rasanya enakk. harganya. alamak. cukup lumayan mahal.",positive
"tempatnya oke, lokasi lumayan strategis lah walaupun view standar di kota. makanan yang saya pesan semuanya enak, tapi sayang harganya cukup menguras kantong. next time datang lagi saat ada promo cc saja :)",positive
"enak.tapi nunggu diskon kartu kredit deh baru ke sini. luamayan sih tempatnya enak buat kongkow, tp baru worth it kalau diskon",positive
"Ada bbrp lokasi Cafe ini di kota Bandung, tp lokasi ini yg pertama dan sdh agak lama.menu andalan adalah Steak dengan rasa cukup lumayan, sayang porsi agak kecil dengan harga yg agak mahal, krn skrg mulai banyak cafe2 sejenis yg jauh lbh murah dengan rasa yg enak .Tp untuk tempat nongkrong msh okelah",positive
"Suasana cafe nyaman. Menu makanan banyak, bervariasi (umumnya masakan barat), dan memang enak. Ada rasa, ada harga. Harga di restoran ini lumayan mahal dan memang bukan untuk kantong mahasiswa. Bagi pemilik kartu kredit mandiri sering ada diskon. Jangan lupa untuk mencicipi tiramisunya juga",positive
"Dinner di Tomodachi jl.Sukajadi. Kalau yg di Sukajadi satu dengan butik nya. Makanannya bervariasi, biasanya kalau kesini pesennya Goulash soup & Western sirloin. Minuman juga lumayan enak, apalagi kalau punya Mandiri Card atau BRI bisa diskon sampe 50%",positive
"Kami sering mengunjungi Tomodachi cafe di Rajiman karena lokasinya yang strategis. Kualitasnya sedikit berbeda dengan Tomodachi yang berada di Sukajadi. Tetapi keduanya sama-sama enak. Terutama pasta, steak dan pastry/ pattiserie-nya tidak pernah mengecewakan. Bila saat weekend atau akhir pekan dimana banyak pengunjung, maka tampaknya kualitas dan layanan cenderung menurun. Walaupun masih dapat dimaklumi tapi sangat disayangkan. Tempat duduk favorit kami. Lanjutan",positive
Menu makanan sangat banyak dan bervariasi semuanya layak dicoba harga sebanding dengan rasa yang ditawarkan apalagi jika anda memiliki kartu kredit karena ada beberapa bank yang bekerjasama dengan restoran ini untuk mendapatkan diskon hingga 50%,positive
"Ulasan yang saya buat ini untuk tomodachi kitchen yang berada di area Siliwangi Bowling. Lokasi tepat berada di dalam area siliwangi bowling sehingga sembari menunggu pesanan tiba bisa sekalian bermain bowling. Tempat cukup cozy, namun agak berisik akibat pengunjung yang bermain bowling. Ada hal unik dalam satu minggu yang sama, saya sempat berkunjung kesini dua kali dan pelayanan disana ternyata. Lanjutan",positive
"Makan Sirloin Steak Impor di masak Medium Well, wow enak, lezat, kenyang. Harga murah, dan standard lah.",positive
"Saya mencoba yang di jalan Sukajadi. Saat masuk, saya terpukau dengan tempatnya yang sangat cozy, menarik, nyaman, dan mewah. Dan saat disodorkan buku menu, saya kembali terpukau. Menu makanannya sedikit dan harganya sangat fantastis! Saya memesan yang paling murah, spaghetti carbonara. Dan setelah setengah jam menunggu, makanan tidak kunjung datang. Saya coba cari pelayan dan menanyakan, jawabannya hanya sebentar lagi. Lanjutan",negative
"Tempat yang romantis untuk makan malam bersama pasangan anda. Tomodachi yang di Rajiman maupun yg di Jln sukajadi memberikan aura tersendiri bagi pengunjung yang makan kesini. Tempat yang nyaman dan staff yang ramah serta hangat akan menyambut kedatangan kita ketika berkunjung ke restoran ini. Cobain deh Tiramisu nya, sebagai penggila Tiramisu. Saya rasa tiramisu dsini sangat berbeda dibandingkan di tempat. Lanjutan",positive
