content,polarity
Mesen nasgor pete tapi pete nya gak ada terus bumbu nasinya hambar plus kerupuk aci nya melempem.Mesen cireng rasanya asin.Mesen sate ayam pedas banget.Mesen tahu kriuk rasanya pahit.,negative
"Paling enak disini tahu bodonya. Bagi yang suka pedas, restoran ini menyajikan banyak makanan pedas. Ikan colonya juga enak. Loteknya maknyus.",positive
"ini merupakan tempat favorite saya sebagai penikmat makanan pedas, karena rata-rata makanan disini memiliki rasa pedas dengan level tertentu. yang paling saya suka adalah tahu bodo, mantaap deh! bebek gorengnya juga enak, guriih!",positive
"Bandung terkenal sebagai tempat produksi tahu/ tofu lokal dengan kualitas prima, salahsatu yang terbaik bisa dicari di Warung Talaga. Mereka punya pabrik sendiri di Jln. Jendral Sudirman, tapi mengembangkan bisnisnya menjadi sajian kuliner juga. Ada berbagai pilihan sajian tahu/ tofu mulai dari hidangan konvensional seperti batagor maupun yang fusion tapi tetap mempertahankan citarasa tradisional. Sangat direkomendasikan bagi pecinta kuliner terutama. Lanjutan",positive
"Warung ini terbilang unik krn berada di mall tp konsepnya warung banget. Dipenuhi dgn pajangan2 tradisional spt kaleng kerupuk, cangkir, botol yg kuno membuat warung ini beda dgn yg lain. Menu makanan kebanyakan tradisional, saya mencoba mie kocoknya tp kecewa krn rasanya tidak enak (biasa banget). Harganya terjangkau terbilang murah hanya saja rasa makanan harap ditingkatkan.",positive
"Ketika bosan dengan masakan yang itu-itu saja, warung talaga bisa menjadi alternatif. Yang menjadi andalan tentu menu yang terbuat dari tahu, dan favorit saya adalah tahu bodo yang sebenernya simpel tapi benar-benar membuat kembali lagi hanya untuk makanan ini. Sekarang kalao laparpun ada makanan beratnya. Untuk harganya standar harga restoran di mall. Konsepnya restorannya juga unik, memadukan jaman dulu dan. Lanjutan",positive
"saya sih datang yang di cihampelas walk, dulu masih berupa kedai kecil yang hanya menyediakan bangku panjang untuk 8 orang, sekarang sudah berupa cafe yang mampu menampung lebih banyak. makanan yang ditawarkan hanya makanan kecil ( lite bite ) dengan porsi yang kecil. rasa tidak terlalu istimewa, apalagi di bandingkan dengan harganya makin kecewa. tapi uniknya sih konsep warung ini. Lanjutan",positive
"Tempatnya enak deh serius, makanannya murah-murah lagi. TAHUNYA COY! Mantep banget haha, kurupuk banjur tau gak?cobain deh! Nasi tutug oncomnya juga enak banget. Recommended banget deeeh",positive
"Dapat rekomendasi makan di sini dari teman,katanya menu aneka tahu nya enak,ternyata memang tidak mengecewakan. Selain aneka tahu,menu khas indonesia nya juga sangat variatif dan enak. Untuk harga cukup sesuai dengan porsi dan lokasi yang ada di area Mall. Coba nasi tutug oncom dan tahu bodo nya,di jamin ketagihan.",positive
"tiapp mamppirr. pstii lgsung order tahuu bodo nya dgn level ekstra pedesss trs minumnya susu kedelai dinginn. bkin ketagihannn . tp makin kesiniii porsinya kerasa makin sedikit . mgkin karna harga naik kaliii yahhhhh skrg ud dbkin tempatnya jd lbh gede,bs nampung org banyak. tp kalo ak pribadii sih lbh suka konsep yg pertamaa,, yg warung bangetttt ,mskipun qt makan. Lanjutan",positive
"Nasi goreng tahu udang sangat enak sekali euy, tempatnya lebih bagus dan unik yang di PVJ cuma ACnya kurang dingin jadi ketika makan malah keringetan.",positive
Diwarung Talaga yang Khas tradional sunda ini anda dapat menikmati banyak masakan yang di buat dengan tahu. tahu gejerot nasi bodo pedas dan ditemani dengan minuman segar lainnya.yang kurang dari restoran ini paling karena pelayanannya dikit slow aja.,positive
"kesan menikmati suasana kampung dan makanan kampung sangat menarik. mulai dari peralatan makan, dekorasi, hingga suguhan menu sangat unik dan berkesan tradisional. sangat menarik",positive
"konsep restonya menarik sekali, unik. menu yang titawarkan juga sangat variatif juga. harga yang ditawarkan tidak tergolong murah, tapi alamak. porsinya mini, mungil, lebih ke porsi anak-anak atau cewek. layanan dari pelayan restoran juga kurang ramah.",positive
"Salah satu makanan favorit saya adalah tahu. Selain tidak terlalu mahal, makanan ini pun tergolong sehat. Warung Talaga dulu kita kenal dengan nama Tahu Yun Sen, yang bersebelahan dengan Tahu Yun Yi. Apa bedanya? saya kurang tahu. Yang jelas cara distribusi dan pemasarannya. Tahu Yun Yi mudah di dapat di Supermarket, sedangkan Tahu Yun Sen mempunyai kreatifitas tersendiri dalam mengolah. Lanjutan",positive
