content,polarity
"Pasar tong tong atau dikenal juga dengan kantin tong tong terletak di selasar sebelah kanan dari gedung utama mall CiWalk. Berjajar dengan gerai makanan dan minuman lainnya. Terletak agak ujung, cukup mudah untuk menemukannya. Terdiri atas dua lantai. Lantai 1 yang agak sempit dan lantai 2 yang lebih luas. Pilihan hidangan untuk makan dan minum tersedia sangat beragam disini. Ada. Lanjutan",positive
"Setiap kali main ke Cihampelas, Pasar Tong Tong akan selalu menjadi tempat favorit untuk kulineran karena memiliki variasi masakan yang cukup banyak. Namun seiring waktu, kualitas dan porsi makanan disediakan berkurang. Mengecewakan sih tapi masih layak dikunjungi kalau ke Bandung.",positive
"saat saya ingin mencari makanan yg berbagai macam pilihan,saya pun di rekomendasikan oleh teman untuk makan disini,selain murah juga nikmat makanannya. hanya saja sedikit lama untuk kita menunggu pesanan.",positive
"Dalam sajian piring yang berbentuk kotak serta rapi, membuat menu yang terhidang menjadi lebih menarik. Rasa juga enak memenuhi selera, dengan staf restoran yang sangat informatif. Mencoba sayuran lotek dan karedok, ternyata selain segar, juga nikmat. Bumbu yang disajikan sempurna. Lezat sekali. Selain itu restoran ini juga menyediakan berbagai masakan Indonesia, Cireng, Pempek, dan dessert yang lezat.",positive
"Restoran yg lagi tren dengan menggabungkan berbagai makanan dan minuman di satu tempat dengan interior menarik.Lumayan untuk nongkrong bareng sahabat.Hanya rasa, tidak ada yg istimewa, harga cukup terjangkau, porsi cenderung sedikit dengan pelayanan seadanya kurang ramah, cukup kali ini saja, byk tempat sejenis yg lbh ok untuk didatangi.",positive
"tersedia berbagai macam jajanan pasar tradisional dan juga masakan indonesia yang beragam, terletak di dalam kawasan cihampelas walk",positive
"Saat bingung memutuskan mau makan apa, biasanya kami mengunjungi Pasar Tong tong. Pilihannya banyak, mulai dari menu tradisional hingga western fusion. Harga juga cenderung ekonomis & masuk akal. Juga tersedia menu pencuci mulut jika hanya ingin nongkrong untuk ngopi-ngopi.",positive
"Berada di mall ciwalk bandung membuat pasar tong2 cocok sekali utk nongkrong. Menu makanan dan minuman beragam, rata2 menu masakan sunda. Harga murah, tempat bersih, staff cepat melayani hanya saja rasa makanan rata2 tidak enak dan betul2 hrs ditingkatkan lagi rasanya.",positive
"Dari namanya sudah cukup menggelitik, ada di dalam mall cihampelas walk berada di brodway sebelah kanan dari mall utama, sejajar dengan deretan cafe - cafe yang lain cukup mudah untuk ditemui, daftar menunya juga cukup beragam, banyaknya makanan tradisionalnya, saya coba nasi liwet yang dikasih 2 pilihan mau menggunakan teri atau ayam suwir, penyajiannya cukup unik karena menggunakan",positive
"Makanannya enak, paling suka serabi keju plus garang asem kambing rasanya kecut dan seger, klw lagi beruntung paling enak makan di atas lantai dua, yang di balkonnya,.suasananya asyik kita bisa menikmati makanan sekaligus menikmati jalanan ciwolk dimalam hari",positive
ornamen restauran dan makanan rakyat yang dhidangkan cukup menarik meski harga kurang merakyat dibanding harga di luar daerah cihampelas walk,positive
