content,polarity
"Makanannya aneka ragam, banyak menu dan rasanya enak-enak, terutama mie kocoknya mantaaapsss kali. . Sambil menunggu makanan tersaji, kita bisa liat-liat film film besutan terbaru di movie room bahkan nonton trialnya sekalian, seruuu.!!! Ngafe sambil hiburan, top bingits.",positive
setiap kali kesini selalu pesannya nasi bambu.bisa pilih pake gepuk atau ayam.Nasi nya enak dan menarik.,positive
Buat acara kumpul temen atau arisan masih lumayan cocok.pilihan makanan nya ga terlalu banyak tapi rasanya sih enak.,positive
"Karena sering banget denger iklan tempat makan dan nongkrong dari salah satu radio swasta di bandung akhir nya penasaran juga,emang sebagus apa sih? Seenak apa sih makanan nya? Serame apa sih? Dan masih banyak lagi dipikirin ini gara2 si penyiar nya gak berhenti iklankan ini tempat,akhirnya ada waktu untuk berkunjung saya ajak taman untuk nongkrong dan makan ditempat ini,tapi setalah. Lanjutan",positive
"menu makanan yang disediakan beragam dan enak-enak, mulai makanan daerah, nasional Indonesia sampai internasional, dengan suasana restoran dimana terdapat panggung musik dan dikelilingi oleh stand toko pernak pernik",positive
"Tempat yang cukup mengasyikkan untuk menikmati makanan sambil bersantai. Banyak pilihan jenis makanan dan minuman, harga terjangkau dan lokasi yang mudah dicapai. Tempat parkir terbatas, sehingga harus parkir ditepi jalan. Yang sangat mengganggu adalah tidak adanya pembatasan untuk merokok. Seharusnya di ruang indoor tidak diperbolehkan merokok. Orang dengan bebas merokok, padahal ada banyak orang tua, anak-anak bahkan balita disekitarnya.",positive
"Konsepnya food court, ada dua bagian. Di tengah dan di depan. Oke buat nongkrong, untuk harga relatif sebenarnya. Lokasinya juga strategis.",positive
"food court dipadukan dengan beberapa toko-toko.tenant-tenant disini cukup berkualitas.Tempo Doeloe, Nasi Gudeg, Nasi Goreng Mafia, dll.rasa makanan cukup enak.buat meeting point dan sekedar nongkrong juga asyik.terletak di sayap Jl. Riau jadi cukup mudah terjangkau.",positive
"Kami berkunjung ke Krang Kring untuk makan siang. Karna konsepnya foodcourt jadi cocok untuk siapa saja, karna banyak pilihan makanan. cocok untuk makan dan bersantai, karna tempatnya luas. Ada kolam ikan dan taman kecil, anak-anak bisa main di taman. Wifi nya juga kencang, jadi betah nongkrong berlama-lama. Pilihan makanan banyak banget mulai dari cemilan sampe aneka macam makanan indonesia dan. Lanjutan",positive
"Makanan tidak banyak pilihan yang istimewa, setiap kesini saya selalu makan nasi goreng mafia, namun tempat ini cukup nyaman krn ruang terbuka",positive
"tempat yg asik buat nongkrong dengan teman2 ,, wifi jga bagus ,, untuk pilian makanan juga bermacam macam . ada nasgor mafia loh ,,, hehehe",positive
"Suasananya nyaman, cocok untuk yang ingin makan sambil bersantai. Makanannya pun banyak, ada masakan tradisional, masakan Indonesia, dan masakan baratpun ada.",positive
"Namanya saja foodcourt, jadi tempat ini terdiri dari berbagai kios kios makanan yang menyatu. Terdapat lebih dari 10 kios makanan yang masing-masing memiliki jenis makanan yang berbeda-beda, sehingga tidak mebuat bosan dan banyak pilihan. Tempatnya terdiri dari dua lantai, sangat nyaman dan bersih. Disekelilingnya terdapat toko dvd, butik, dan aksesoris yang lucu-lucu. Pada hari-hari tertentu juga sering ada live music. Lanjutan",positive
"Mencari tempat makan yang bisa mengakomodir 4 selera nggak gampang, untung krang kring jadi pilihan tepat . Pizza untuk si sulung, Bakso untuk si bungsu, batagor untuk ayah, dan gudeg untuk saya :). Harganya terjangkau, tempatnya bersih, lokasi strategis, dan toko toko di dalamnya barangnya lucu lucu",positive
di tempat ini kita bisa banyak memilih ragam kuliner mulai kuliner khas sunda maupun menu internasional. ditambah enaknya es alpukat di tempat ini mak yosss,positive
"Disini tempat yang menyenangkan . berbagai macam makanan disajikan juga termasuk pilihan untuk Film2 disebelahnya. Sudah berkali-kali ke tempat ini, tetep aja gak pernah bosan .",positive
"Asiknya disini adalah banyak pilihan menu, dari yang tradisional sampai steak ., tempatnya juga asik .",positive
Disini anda dapat makan beragam jenis makanan dengan harga cukup murah. Kelemahannya hanya tempatnya sumpek dan antrian membayara sangat lama. Selain itu tempat ini cukup ok.,positive
