content,polarity
"Nasi campurnya juara. uenak dan aromanya wangi. nasi campur ini udah puluhan tahun ada di sini, dan rasanya tetap sama. sate b2nya juga juara !!",positive
"Nasi campur yang satu ini memang enak,apalagi nasi hainannya. Cuma belakangan daging babinya agak berkurang ( atau perasaan saya saja ). Harga sudah cukup mahal.",positive
Nasi babi dari dulu yang paling enak. Dengan ada sup babi juga membuat rasa nasi campur bintant lebih enak lg. Saya senang sekali makan di sini,positive
"Hallo kali ini saya akan mencoba nasi campur Bintang di Bandung, teman saya merekomendasikan untuk mencoba nasi campur pork ini, dan memang enak rasanya dan porsinya juga cukup. Selamat makan.",positive
"Pertama kesini beberapa tahun yg lalu bareng keluarga,dan smua ngakuin kalo masi campur ini enak dibanding yg lainnya d Bandung. terutama baso gorengnya. Tapi entah kenapa, waktu ksana lagi rasanya bner2 mengecewakan. Dari nasinya sampe lauknya semua dingin. terlihat kering. Dan maaf. ada bau tdk sedap dr toilet sampai keluar jadi membuat selera makan drop. Padahal saya & suami ksini. Lanjutan",positive
"Nasi campur terkenal di bandung, infonya nasi campur pertama di bandung. Mengandung b2. Rasa standar nasi campur. Ada babi merah, babi panggang, sate babi manis, bakso goreng, jerohan manis. Layanan tidak ramah, maklum masih generasi tua yg beraksi. Lokasi makan lumayan bersih tapi tidak berAC",negative
Tinggal sepuluh langkah dari depan hotel Serella kita dapat makan nasi campur babi. Rasanya sama dengan nasi campur lainya. Harganyapun relatif rata rata. Bisa untuk alternatif untuk menu sarapan di Bandung.,positive
Nasi campur mengandung babi. Depot lama depan klenteng. Rasa standar. Tanpa saos. Jangan berharap layanan bagus. Harga 40 rb.,negative
"pelayanan yang cepat, masakkan legendaris, harganya lumayan untuk mahasiswa. tapi laya untuk dicoba!!",positive
saya heran kenapa orang bilang enak makanan ini. yang kami rasa Harga sangat tidak sesuai dengan rasa.,negative
"Perhatian, nasi campur yang dijual di sini mengandung babi. Tidak disarankan untuk teman-teman yang Muslim. Untuk saya ini salah satu resto nasi campur favorit. Harga relatif murah, porsi besar dan sangat mengenyangkan. Tempat nya sendiri tidak terlalu bagus, tidak ada AC dan ramai. Tapi yang penting nasi campur nya enak dan murah.",positive
ini salah satu makanan nasi campur yang sangat legend di kota Bandung.rasanya cukup enak dan khas.hanya pelayanan-nya ke konsumen cenderung dibawah standar.recommended bagi yang hanya mencari rasa makanan enak tanpa memperhatikan service dan kenyamanan.rasa bintang 5 tapi service bintang 1.,positive
"Nasi campur yang jadi favorit saya, baso goreng dan sate manis mantapp dicampur kuah sedikit, tempat terbatas datang sebelum makan siang",positive
Nasi campur bintang di jalan: kelenteng . Memang enak sihhh itu sfalah daging cha sau nya juga bakso goreng dan atam rebus nta,positive
"Nasi campur ini makanan favorit saya dari kecil, dari dulu tetap sama sih rasanya. Isinya ada nasi, babi, sate, telor, baso goreng. Untuk rasa ga usah ditanya lagi, enak sekali. Untuk harga sih ya lumayan agak mahal, karena makanan yang mengandung babi di bandung masih jarang.",positive
"Nasi campur Bintang ini berbahaya. Sangat berbahaya, karena akan membuat Anda ketagihan. Daging panggang babinya sangat lezat, dan diberikan dalam jumlah yang melimpah. Hebatnya, daging panggang tersebut akan masih tersisa di piring Anda, padahal nasi yang ada sudah ludes. Jangan pernah datang ke Nasi Campur Bintang, jika tidak siap menerima konsekuensinya: Ketagihan! Dua jempol untuk Nasi Campur Bintang.",positive
"Nasi campur ini sungguh-sungguh lezat. Sungguh-sungguh lezat. Saya sudah menjadi pelanggan sejak masih kuliah di Bandung 18 tahun yang lalu. Sekarang saya berdomisili di Jakarta, dan setiap kali saya ke Bandung, Nasi Campur Bintang adalah salah satu tempat yang wajib saya kunjungi. Daging babi panggangnya cukup melimpah diberikan. Sangat layak bagi Anda yang non-Muslim untuk bersantap dan menemukan sebuah definisi. Lanjutan",positive
"Nasi campur Hainam di sini termasuk yang laris. Panggangan babi nya pun enak & crunchy. Hanya saja baso goreng dan sekba nya yang agak mengecewakan. Tapi apa mau dikata, itu memang sekba khas Bandung, bukan yang sebenarnya. Jangan lupa mencoba sambel gorengnya yang extra pedas. Yummy!",positive
