content,polarity
"Pas ke sini gak serame dulu. apa mungkin karna aku ke sini siang hari yah? suasanaya lumayan. rasa makanan biasa aja, tapi kopi nya juaraa.",positive
"Recomeded! Sejak tahun 2011 saya mengetahui cafe ini, rasanya selalu ingin kembali untuk sekedar ""Me Time""atau ""Quality Time"", sajian menu dan service nya cukup menyenangkan para pelanggan. Suatu hari saya dan pasangan pernah diberikan penawaran untuk makan di atas (lebih privat, karena di bawah kebetulan sedang penuh). Thank you!",positive
tempatnya cantik dan menarik.buat yg suka heritage.disini pasti nggak bosen sambil ngopi ngopi.Namanya memang Roemah K0pi tapi sedia minuman lain dan makanan berat juga.Biasanya klu kesini pesannya Bitter ballen dan klu mo makan berat ya ayam asap.tapiiii terakhir kesini kok rasanya ada penurunan rasa di ayam asap nya ya.ngga se enak dulu lagi.semoga hanya kebetulan.coz ini yang favorite setelah beberapa. Lanjutan,positive
Kopinya enak.copacabana saya suka kentangnya jg enak.pemandangannya oke.servisnya lumayan.wajib dikunjungin kalo kebandung ya.love this place,positive
"Berlokasi di daerah dago atas, roemah kopi menjadi favorit untuk berkumpul bersama kawan atau keluarga sambil menikmati kopi. Udara sejuk alami khas Bandung sangat terasa disini. Rasa kopinya lumayan enak, dan menunya variatif. settingan tempat duduknya pun nyaman. Harga yang ditawarkan cukup terjangkau.",positive
Salah satu opsi cafe di wilayah dago atas yang menurut saya hemat di kantong. Saya mencoba nasi ayam asap yang sebenarnya seperti nasi ayam biasa namun rasa asap di daging ayamnya cukup unik dan jarang ditemui di tempat makan lain. Minuman juga cukup oke. Tempat temaram bernuansa kayu dengan lampu kekuningan dan nyaman bagi saya. Namun sayang kunjungan kami terganggu. Lanjutan,positive
Ornamen dan sekat interior menampilkan ukiran khas jawa cukup membuat betah tinggal lama dengan menikmati suguhan kopi,positive
"pertama kali dateng saya kesini takjub dengan desain interior nya dengan nuansa tempo dulu. cukup terjangkau harga kopinya mulai dari IDR 20.000 sampai IDR 40.000. saya sangat suka dengan Queen Coffee, espresso dengan racikan rum dan whipped cream ditaburi kayu manis. jangan lupa juga jika ingin ngopi disini bawa jaket dikala menjelang malam karna udara cukup dingin. disini kurang pemandangannya. Lanjutan",positive
Food nya Smoked chicken & Cheese Sandwich Drink nya Paradise. lumayan pas dan enak . cuma disini viewnya kurang . tp memang enak buat yg pngn suasana hening santai jauh dr kebisingan. ;),positive
"Ngopi di rumah kopi benar2 ok. Kopinya enak,pesanan kopi kami: casanova dan flamingo benar2pas rasanya. lilin-lilin,nuansa tempoe doeloe dan view citylight, menambah hangatnya kopi dan atmosfer romantis. menghalau dinginnya kota bandung. Kalau ingin mendapatkan suasana romantis dan enaknya kopi. roemah kopi layak dicoba!",positive
"Bagi yang suka ngopi< silakan datang ke tempat ini dijamin akan merasakan nikmatnya minum kopi disela-sela cuaca dingin dan pemandangan yang cukup indah, sayang parkirnya terbatas. Kalau mau ketempat ini jangan hari libur panjang karena susah cari tempat parkir.",positive
Tempat yang nyaman dan makanan yg cukup enak. engga nyesel deh klo kesini. kongkow sama teman2 cukup mengasyikan . view dago yang mantappp.,positive
