content,polarity
"Ikut resepsi di Hotel Panghegar, ternyata tuan rumah menghidangkan cara makan di meja dimana makanan silih berganti dihidangkan. Rupanya ada kerjasama dengan restoran Maystar, sehingga hidangan dan pelayannya adalah dari Maystar. Everything berjalan lancar. Hidangan demi hidangan disajikan ke masing-masing meja. Apabila ada hidangan yang tersisa, pelayan akan memindahkan ke piring yang lebih kecil sebelum hidangan lainnya muncul. Tibalah hidangan. Lanjutan",positive
Pelayannya ga sopan. Matanya jelalatan nantangin!!!! Sekali aja cukup dan terakhir kesini. Taun 2011. Sampe jantung saya kambuh. Gak2 lagi kesini. Jijik!!!! Saya kasih rate nya 1 juga terpaksa. Zero rate!!!,negative
Disini dim sum nya enak. Makanan lainnya juga lumayan. Masakan nasi/mie/bihun nya porsinya besar sekali. Tempatnya juga nyaman.,positive
"May star bandung, yam cha nya eunak, untuk keluarga kami, lebih sering berkunjung. apalagi anak2 kecil selalu suka kelapa yang enak.",positive
"Pada saat kami sangat lelah, pilihan makan di hotel merupakan opsi yang tepat. Kebetulan ada restoran yang cukup terkenal di Jakarta. Rasa yang cukup terjaga dengan yang di Jakarta. Tidak mengecewakan dan memuaskan.",positive
"Meski sudah beberapa kali makan, saya tidak pernah merasa bosan. Yang agak disayangkan untuk beberapa menu harganya terlalu tinggi. Kalau mau minimal harus nunggu ada promo/diskon.",positive
"Makanannya enak dan cukup beragam, tempat cukup nyaman di lokasi yang asik juga. Penawaran harga juga tidak terlalu menguras kantong",positive
"BMencoba menu Bebek Peking di Maystar, well, sekalipun cukup enak, tetapi masih harus ditingkatkan karena masih ada olahan Bebek Peking yang lebih enak lagi daripada olahan a la Maystar.",positive
"Jenis makanannya sangat bermacam-macam, saya tanya kepada waiternya ada kurang lebih 400 jenis makanan di dalam menu , rasanya tidak mengecewakan karena semuanya makanan hidup (tidak disimpan d freezer) . tempatnya juga cukup nyaman, saya datang disana jam 3 sore kebetulan ada promo untuk dim sum diskon hingga 50%. sangat cocok untuk dijadikan tempat kumpul keluarga, kerabat, atau ibu2 arisan. Lanjutan",positive
"makanannya enak dan lezat sekali,tempatnya pun mewah,cuma harganya mahal mahal,harus jeli jeli pilih makannannya,dan cari tahu kartu kredit apa yg lg ad promosi dgn restaurant ini",positive
