content,polarity
Terletak di jl Boscha. Ruang makan penuh dengan hiasan suasana Belanda tempo dulu .Makanan lumayan lezaat dan harga terjangkau. Pilihlah ruang makan di belakang dekat kebun dan chef memasak .Menu steak ayam cordon bleu dan waffle ice reccomended,positive
Kesan saat masuk antik dan nyaman klu untuk ngobrol.suasanajuga adem.makanan lumayan enak dan menu bervariasi antara masakan indonesia dan eropa.cukup recomended ok harganya juga tidak mahal,positive
"Untuk pertemuan ngobrol santai maupun bisnis, tempat ini cukup representatif dan menyenangkan. Suasananya tenang dan menyenangkan. Tempatnya tidak terlalu besar, begitu juga daya tampung untuk parkir mobil. Menu cukup bervariasi, dari menu utama hingga sekedar camilan. Begitu juga dengan menu minumannya.",positive
Makanan nya enak2 dan berstandar restoran berbintang. Wajib dicoba roasted chicken with cream souce & iga mener nya.,positive
"Suasana jaman dahulu dengan interior yang hommy. Namun dari sisi makanan biasa saja rasanya. Dekat dengan tempat saya Menginap di Belgareti Guesthouse, Jalan Boscha V. Boleh untuk alternatif makanan.",positive
"Menu makanan khas Belanda yang ditawarkan cukup bervariasi, dari hidangan pembuka, makanan utama, hingga makanan penutup dan makanan kecil. Dari beberapa kali pengalaman makan disana, terasa ada penurunan dari sisi pelayanan dan rasa makanan. Karena saya suka makanannya, semoga ada perbaikan untuk kedepannya.",positive
"Resto ini sesuai namanya menyajikan masakan khas Belanda dan suasana restonya pun bernuansa Belanda dimana para staff yang melayani memakai baju khas Belanda dan tentu ada photo2 dan hiasan Belandanya. Resto ini cocok untuk opa, oma dan keluarga yang ingin Bernostalgia. Masakan sepetti steak merupakan masakan andalan .",positive
"menu yang di tawarkan masakan khas indo belanda, dari steak, pasta, burger, dll. cukup beragam kok menu menunya. pelayannya ramah dan sangat telaten. ga buang wkatu lama saya pun memesan Bievflees Met Cheddar Kaas dan teh tarik. Bievflees Met Cheddar Kaas namanya memang susah di hafal.kayak bahasa belanda ya. menu yang ini berupa tenderloin steak yang disajikan dengan side dishnya. Lanjutan",positive
"Mau makan makanan khas belanda? datang aja ke restauran ini, Sop Buntut Goreng nya juara! Karena ini restauran khas Belanda, banyak menu-menu khas Belanda tentunya. Sop Buntut yang memang masakan peranakan dari negeri kincir angin ini menjadi favorite di restaurant ini.",positive
"Suasana restoran nya cozy, rumahan pissan la. Andalan utama disini sop buntut ala oma . Tpi kadang asin kadang enak pas :) tpi lumayan lah rasanya overall masih bisa dibilang enak. Harga khas kafe bandung sih.",positive
Pesan beberapa macam makanan tapi semuanya kurang enak. Pofferjes nya seperti kue balok. Panekuknya seperti pancake. Rasanya tidak ada yang enak.,negative
"Pelayanan ramah, suasananya enak benar benar seperti di rumah. Kalau datang siang hari di hari biasa enak sekali kosong. Makanannya juga enak, saya mencoba chicken cordon bleu mantab. Overall enak untuk semuanya",positive
"Enak sih, tapi makin ke sini pelayanannya makin lama. Jadi ya kalau ke sini jangan pas lapar banget. Terus karena dia sering kasi promo jadi males ke sana bayar harga normal. Letaknya di belakang pom bensin Cipaganti.",positive
"Tidak terlalu sulit mencari lokasinya, interior dan furniture tempo dulu yang pas dengan menu menu2 steak dan ayam yang diolah dengan rasa yang yummy.",positive
