content,polarity
"Makanan enak, suasana tenang. Makanan agak lambat sampai tapi sgt sedap. Harga is on the pricier side but definitely worth its value.",positive
"Lokasinya sih lumayan jauh dari jalan utama,kalau menuju kesini masuk ke komplek perumahan dulu baru sampai.suasana pedesaan.penginapan dengan suasana danau area makan persawahan.cuaca yg sejuk",positive
Makanan ok. Pemandangan Good. Pelayanan banyak senyum walau agak lambat. Detail mereka pikirkan banget. Keren Sapulidi,positive
Penginapan yang sangat nyaman. Jauh dari jalan utama membuat penginapan ini layak disebut Nice Escape. Anda sebaiknya mencoba kamar dengan Lake View.suasanya nya seperti memang ditengah danau.jika anda bawa anak kecil pasti suka dengan danaunya.karena bisa memberi makan ikan. Resto nya juga bagus.makanannya lumayan enak. Harga standar kelas cafe and resto. Hanya saja saat saya menginap.ada tikus yang berada di. Lanjutan,positive
"Jika ingin mencari menu makanan indonesia dan menikmati suasana yang indah maka cocok mengujungi tempat ini, karena disini setelah kita makan, kita bisa menikmati suasana sekitar yang indah.",positive
"Tadinya niatnya mau menginap disini, tapi setelah dilihat2, tempatnya memang cozy, tapi nyamuknya banyak sekali. Akhirnya mengurungkan niat dan jadinya hanya makan. Tempatnya asri banget. Kita datang pas bukan musim liburan jadi lumayan sepi waktu itu. Kita masuk-masuk ke gubukan di belakang, sudah duduk, pilih tempat, tapi ternyata karena sepi jadi disarankan sama pelayannya kedepan yang dekat sawah. Sayangnya sawahnya. Lanjutan",positive
"saya salah waktu sepertinya, kesini malam hari untuk makan malam keluarga. datang cukup awal, saya dapat saung. lihat sekeliling, gelappp. ada hint lampu-lampu tapi sisanya seperti di kebun malam-malam. alat panggil pelayannya lucu, seperti kentongan hansip haha. iseng-iseng saya jalan keliling, sampai di suatu titik gelap gulita tidak ada lampu. berasa seperti jurit malam pakai senter hp. jangan tanya itu. Lanjutan",positive
"Restauran khas makanan Sunda. rasa makanan sebenernya standard (khas sunda),. tempat nya bersih dah luas dengan pemandangan sawah yg indah.",positive
saya memilih tempat makan disaung yang dikelilingi ladang padi disekitarnya. Kebetulan datang malam hari sehingga suasana lumayan romantis diterangi oleh lampu obor. menu favorit saya adalah nasi liwet. rasanya gurih dan enak. Apalagi dimakan pas dengan suasana dingin. Jua baby nila gorengnay lumayan maknyus,positive
"Saat check in di resepsionis, kita akan diberikan kertas karcis parkir gratis selama menginap di Sapulidi yang tinggal kita tunjukkan ke Satpam/Petugas setiap mau keluar masuk. Kalau tidak, setiap masuk kita harus bayar Rp 5.000,- dan saat keluar mungkin harus bayar lagi (tapi tidak jelas berapa karena bukan secure parking). Kita akan diantar ke kamar dengan menggunakan becak. Biasanya becaknya. Lanjutan",positive
