content,polarity
"Makan ikan Goreng, Nasi Timbel disini lunch enak sekali. Pelayanan ok dan plating nya ok lah. Indah sekali makan disini. Buat meeting pun ok.",positive
"Pertama kali cobain, setelah banyak yang bilang enak, akhirnya penasaran juga, dan ternyata beneran enak!! Sukses selalu untuk Dago Panyawangan!",positive
Rumah makan dago panyawangan merupakan Tempat makan yang berada dipusat kota n dengan suasana yang nyaman dan asri.suasana sunda,positive
seafood di bandung? anda gak perlu lagi di dago panyawangan .resto sunda yang terletak di jalan dago menyajikan seafood yg lengkap dan sesuai selera saya . rekomended kerang hijau .harga terjangkau . lokasi yang terletak di dago makin bikin istri tambah sreg,positive
Sop gurame mantap. Makananan oke. Suasana nyaman. Pelayanan baik. Free wifi juga. Good. Menu kecil ya,positive
Suasana nya enak. Tempat strategis. Harga ga terlalu mahal. Pesen makanan gurame cobek sama nasi timbel oncom komplit dan dapet free es buah,positive
"Utamanya dari restoran ini selain tempatnya strategis di Jl. Juanda Dago Bandung, juga bangunan yg terbuat dari bahan alami, yaitu pelayanannya yg ramah dan informatif. Bagi yg senang makanan pedas, boleh coba menu di Dago Panyawangan, mungkin ada yg cocok.",positive
Tempat luas.pelayanan ramah.suasana bagus.lingkungan bersih.cocok untuk kumpul.makan bersama.lokasi strategis dekat dengan pusat kota.,positive
"Tempatnya enak, pelayanannya cepat dan ramah. Sayang harganya sudah naik dari terakhir saya berkunjung kesini.",positive
Sangat asyik sore sore begini kuliner ke tempat yang lebih dekat yaitu dago panyawangan :) Teman teman sangat senang saat saya memilih tempat yg cocok ini :),positive
"Ini adalah restoran langganan saya ketika ke bandung. Makanan mereka tidak pernah mengecewakan. Jangan lewatkan ayam goreng panyawangan dan bandreknya. Kalau sedang musim mangga seperti saat ini, anda wajib mencoba mangga potong yang bisa didapat seharga 40k untuk sepiring besar. Kalau anda membawa mobil bisa membawa pulang satu dus seharga (kalau tidak salah) 250k an. Bagi saya, perjalanan ke bandung. Lanjutan",positive
"Lokasi restoran ini mudah ditemui karena berada di jalanan utama Dago. Spesialisasi menu yang disajikan adalah masakan sunda. Rasa masakannya enak, benar-benar terasa khas sunda. Hanya saja pelayanannya sedikit lambat, sehingga agak lama menunggu pesanan datang, dan harganya pun menurut saya terlalu mahal.",positive
"Suasana menyenangkan, sejuk, pelayanan bagus dan rasa makanan enak. Bertemu mitra kerja di tempat ini cukup menyenangkan, suasana santai namun kerjaan jalan terus.:)",positive
Kalau kebandung rasanya belum lengkap kalau belum mampir ke dago panyawangan.suasananya enak.sundanese sekali.menunya juga lengkap semua jenis makanan sunda ada sepertinya.dan rasanya juga tidak mengecewakan.hanya satu kata.maknyooos.udang telorasinnya mantaft.es tapenya juga enak sekali.tapi saran saya kalau anda sekeluarga/rombongan mau kesana lebih baik reserve dulu atau datang lebih awal karena kalau jam makan siang (jam 12-1 siang) atau makan malam (jam. Lanjutan,positive
"Ini adalah restoran masakan sunda. Seperti layaknya restoran sunda lainnya maka menu yang disajikan tidak jauh dari nasi timbel dan ikan bakar plus sambal lalapan. Rasanya sebenarnya biasa saja, harganya juga agak mahal tapi tempatnya sangat stategis karena di pinggir jalan Dago (ke arah Dago atas)",positive
Di sini tersedia banyak sekali pilihan mkanan bernuansa tradisional dan favoritku adalah nasi bakar nya! Nasi bakarnya sgt wangi dgn filling sayuran yang super enak ditemani sambal dan sayur asam di tempat yg super comfy. Recommended bgt!,positive
