content,polarity
tempat makan yang enak untuk menyantap steak dan makan eropa dan amerika yang beragam variasi dan suasana ruangan yang nyaman serta cocok untuk rapat dan acara arisan,positive
"Kali ini kunjungan dengan rombongan dari luar kota dan kami reservasi untuk beberapa makanan yang ada di Dakken. Kali ini saya order untuk Kabuli Lamb Rice & Strawberry Juice. Dari testimoni dari beberapa rombongan, mereka sangat suka dengan pilihan makanannya. Dan untuk saya sendiri, Kabuli Lamb Ricenya, TOP sekali rasanya dan recommended untuk next reservation. Terimakasih buat team Dakken yang. Lanjutan",positive
"Tempat ngopi ini termasuk kopi yang sedikit lebih mahal dibanding dgn coffe shop yg lain. Bangunannya ckp unik karena termasuk bangunan tua, dengan wifi gratis dan ruangan yang cukup luas",positive
"kesini makan bareng keluarga,, semua menu tema nya western,, untuk rasa lumayan enak, harga emang ga bohong ya, tapi harganya lumayan mahal lokasinya persis di pusat jalan Riau yg banyak FO nya, bisa jadi alternatif klo laper abis belanja, tapi siapin dompet yg tebal ya,, :D",positive
"Wiken kemarin mampir makan siang di sini. Ketika masuk, tidak ada greeter yg menyapa. Setelah celingukan beberapa saat, akhir nya bisa dapat meja di bagian belakang. Ada menu gado-gado salad di bagian appetizer. Saya pikir ini gado2 seperti layaknya gado2 di tempat lain. Ternyata oh ternyata, ini salad dengan bumbu gado-gado dan ditambah tempe dan tahu goreng. Haha. Ya not. Lanjutan",positive
"Tempat kongkow Dakken Coffe terletak dipusat kota, tempat yang cozy, asyik, santai. Tempat bertemakan bangunan kolonial belanda, ruangan dan meja yang besar. Makanan dan minuman banyak pilihan dan lezat, yipiii.",positive
"Dakken terletak tdi jalan riau, cafe dengan interior menarik dan sangat cocok untuk meeting ataupun hanya sekedar nongkrong.",positive
"Terletak di jalan Riau, cafe dengan bangunan ala belanda ini selalu jadi favorit saya bersama istri. Yang paling saya suka adalah kopinya. Tempatnya pun nyaman. Disekitar cafe ini adalah FO-FO yang selalu ramai pengunjung. Jadi wajar saja, jika saya datang kesini, apalagi disaat weekend, seringnya tidak kebagian parkir. Sehingga harus mencari parkiran di tempat lain.",positive
Tempat favorit saya dgn pasangan.kopinya enak.dan ramah waiternya.nga berubah dari dulu.makanannya biasa aja.tp lumayan sesuai dengan harganya,positive
"Dakken terletak tepat disebelah heritage, lokasi yang pas buat yang ingin bersantai dan meyantap makanan yang enak. Tempat nya nyaman, dibagian belakang tersedia meja dengan udara terbuka, bangunan nya masih dengan model belanda yang nampak nya sengaja dan dirawat dengan baik, untuk menu nya hampir semua memuaskan, dari steak dan beberapa makanan ringan yang sedap, nachos dan chicken wing nya. Lanjutan",positive
"Saya mengadakan meeting kecil dengan 4 orang teman pada hari Sabtu. Suasananya cukup nyaman, meski akan sedikit kepanasan jika kalian memilih tempat duduk yang ada di bagian depan. Jadi kalau kalian datang saat siang hari, cobalah duduk di area belakang kafe, karena akan lebih terasa nyaman.",positive
"terletak di jl Riau, yang ramai dengan FO. Kopi di dakken rata - rata enak semua nya, steak kemarin ini coba cordon bleu, keju didalam nya terasa & enak. Untuk range harga berkisar 15,000 - 100,000an, suasana juga cukup nyaman untuk sekedar ngobrol - ngobrol.",positive
"~LOKASI restoran ini ada di pusat perbelanjaan dan jajanan di Jalan Martadinata atau juga dikenal sebagai Jalan Riau. Turis domestik maupun mancanegara kerap wara wiri di kawasan sini. Restoran yang mengusung tema ""Restaurant-Bakery-Catering"" berada di bangunan yang berbentuk rumah kolonial. Halaman depan lumayan luas, walaupun kerap penuh parkir. Masuk ke lobby, pengunjung disambut lemari kaca berisi macam macam kue dan. Lanjutan",positive
Harus nambah tenaga service terutama weekend. Pesanan butuh wkt cukup lama. Tempat parkir terbatas. Product cukup baik dan cukup berfariasi. Suasana sudah baik.,positive
"di dakken terdapat berbagai macam minuman dan makanan yang dihidangkan, dan menu tersebut cukuplah unik untuk dicicipi. harga yang ditawarkan juga cukup terjangkau, dan lokasinya berada di tengah kota dan daerah perbelanjaan jalan riau.",positive
