content,polarity
"Ini tempat yang wajib dikunjungi penggemar kopi dengan suasana yang nyaman. terletak di jalan Braga, tempat ini cukup eye catching. Tempatnya homey banget, Kopinya enak, cemilannya juga enak. Cocok banget buat anak muda yang mau nongkrong tanpa mengeluarkan budget yang banyak karna disini minuman dan makanannya sangat murah. Kekurangannya berisik jalan pasti kedenger disini malah terkadang banyak pengamen yang masuk. Lanjutan",positive
"Wiki Coffe terletak dipojokan jalan braga, kafe ini selalu ramai dimalam hari. Selain kopi dan makananya yang enak dan murah, suasana kafe ini sangat menyenangkan terutama untuk yang menyukai vintage",positive
"Saat melintas Jalan Braga, perhatian saya tertumpu pada bangunan yang ditempati kedai ini. Letak di hook membuat bangunan tua Wiki Koffie dapat terlihat dari dua sisi. Dari luar, diterangi cahaya temaram, kedai ini begitu menggoda untuk disinggahi. Jadilah saya mampir dan mencicip Bak Bik Buk--jus campuran pokcay, lemon, dan nanas--plus potato wedges-sosis untuk makan malam. Saya menikmati pesanan dalam suasana. Lanjutan",positive
"Tempat terbaik buat ngumpul ala-ala anak kampus, disini kita bisa bebas mau ngapain sama teman, sampai sampai lupa dengan waktu pulng kita.",positive
"lokasinya gampang banget dijangkau. berada di tengah2 perempatan jalan braga. lokasi yang strategis ini sangat asik digunakan untuk hang out dengan teman-teman. dari harganya yang murah dan ruangannya yang serasa di rumah membuat suasana nongkrong makin asik, namun penuh sama anak2 muda.",positive
"Cafe nya selalu penuh. Yg bkn tertarik ada live music nya. Pas kita order jg jenis makanannya ga terlalu banyak, harganya sangat terjangkau. Karna penuh. makanan datang sekitar 15 menitan. Smuanya sih masih dalam tahap enak.pelayanannya jg baik Kebanyakan tamunya abg yang kalo ngobrol sambil teriak dan mondar mandir. Jd ga dpt suasana menikmati live music krn kalah sama suara. Lanjutan",positive
"kedai kopi ini kecil berada di ujung jalan braga. selalu penuh dikunjungi orang. harganya tidak terlalu mahal, tempatnya lumayan.",positive
"Lokasi yang strategis karena dekat dengan Jalan Braga, harga makanan dan minuman lumayan terjangkau. Kekurangannya adalah tidak ada arena non smoking, semuanya smoking area.",positive
Hujan begini.enaknya santai sambil menikmati cafe latte dan kue telor.must try this venue.suasananya santai dan banyaknya anak2 mudaa,positive
"Berada di ujung perempatan jl.braga, Wiki Koffie berhasil menarik perhatian pengunjung. Lampu-lapu kecil dan unik terpancar indah dari kejauhan. Interior yang manis namun sederhana ini membungkus indah kafe ini dengan ornamen unik dan kreatif. Minumannya tentu saja ada kopi. Selain itu ada pula teh, smoothies, ice blended, dan beberapa minuman kreasi Wiki Koffie. Makanannya juga ada yang untuk Breakfast, makan. Lanjutan",positive
