content,polarity
"Pengunjung hari itu banyak, dari anak muda sampai keluarga beserta kake nene.karna hari jumat ada live music.bandnya juga ok.menunya tentunya saya pilih surabi telor sosis mayonaise dan lemon tea.suami memilih surabi yang manis, rasanya enak dan murah meriah.selain itu juga ada menu baso tapi saya lebih suka surabinya.",positive
Makan surabi di warung setiabudi ini di ajak oleh teman saya yg memang tinggal di bandung. Makanan surabinya benar - benar enak. Banyak variasi rasa nya sehingga makan surabi lebih modern dan tidak membosankan. Pilihan minumnya juga banyak. Waktu kami datang suasana di dalam telah ramai. Pelayanan nya sedikit lama karena banyak nya pelanggan yg hadir. Menikmati makan surabi dengan. Lanjutan,positive
Surabinya mantap hanya tempatnya kurang besar saja . terkadang ketika full didalam makanan lama sampainya k meja kita . ada live musik juga hanya kalo malam minggu pasti macet juga jadi kalo cari parkiran agak susah biarpun di sebrang ada parkiran besar bank Mandiri. mungkin bisa lebih d pikirkan lagi .,positive
"Sebagai anak muda Bandung pastilah doyan banget sama nongkrong, tempat ini aseekk banget buat dipake nongkrong bersama khawan"" cemua, menunya enak dan murrrsiiidaaahhh, tempatnya juga okai makanya sering banget penuh apalagi sering ada live music disini dijamin makin betah",positive
"Surabinya enak, yang favorit surabi telur mayonnaise dan surabi keju susu kismis. Untuk hari2 tertentu ada live music nya. Cuma kalau lagi penuh banget ngantrinya bisa ampe 1 jam dan agak panas.",positive
"Kami sekeluarga pertama masuk ketempat ini, rasanya asyik sekali. karena cocok banget untuk keluarga, apalagi suasana nya nyaman dan adem .untuk itu kami mulai memesan surabi ala bandung, dan banyak variasinya. yang pasti enak banget deh.",positive
"Saya selalu kesini pada saat kuliah untuk ngemil, mengobrol, bahkan rapat organisasi. Surabinya cukup enak dan banyak variasi nya. Harga juga masuk akal, tidak overprice dan tidakmenipu. Ada live music nya juga. tempat ini selalu penuh sampai larut malam, tapi berkumpul disini memang menyenangkan.",positive
"Nah Buat kamu pecinta Surabi. Jgn bilang km surabi lovers kalo lum coba surabi yang satu ini Surabi Enhai Namanya. Ya di namain Enhai kan di sebrang hotel Enhai. Banyak varian rasanya, keju coklat, stoberi dll. Di bakarnya pake areng. POKOKnya Nikmat deh. Hargany jg ckp bersahbat kok. Selmat mencoba ya!",positive
"Setiap berkunjung ke bdg sy selalu menyempatkan untuk makan serabi disini bersama keluarga, jenis menu nya yg banyak yg gk bikin bosen.enak ajibbb.",positive
"Selain Serabi Enhaiinya ada juga makanan lainnya, pokoknya ga nyesel dehh kesini. tempatnya yang berjiwa muda.",positive
"Cek di tripadvisor, ini makanan yg pd blg enak, dan bs utk oleh2 katanya. Yaudah lsng kesini, beli 24 buah utk oleh2. Ada pesan 1 utk makan ditempat dan pesan yamin baso dan baso special. Pertama, rasa serabinya biasa saja, kurang rasa asin/manis, ketebalan jg. Lebih enak serabi belitung, krn wangi pandan dan durennya berasa banget, dan lebih empuk krn. Lanjutan",positive
"salah satu pioneer di bidang persurabi-an modern membuat warung ini terkenal sampai dibikin franchise nya di jakarta. yang saya suka surabi asinnya, yaitu telor+mayones pedas. mantaaapp.",positive
"surabi nya enak banget,makanannya juga sama enaknya. untuk harganya pun sangat terjangkau,pas banget buat sama temen temen makan . tapi untuk kebersihannya tolong lebih ditingkatkan lagi,",positive
"Surabi adalah makanan tradisional yg khas terbuat dr tepung terigu dicetak diatas wajan tanah. Luarbiasanya Warung Setiabudhi menyuguhkan kudapan tradisonal ini dg citarasa modern. Ada toping dr Pisang, Keju, Coklat, dll. Sengga rasa surabi menjadi istimewa. Selain itu lokasinya di dekat kampus besar di Bandung membuatnya sering jd tempat kongkow yg asyik.",positive
"Kesan pertama kesini very crowded, saya yakin itu karena enak makanya ramai. Dan harganya bikin kaget murah banget. Enak rasanya lembut dan asli. Harus kesini kalo ke Bandung!",positive
"Cari Surabi, di sini tempatnya. Banyak macam rasanya. Yg recomended coklat keju, dan coklat hangat enak pas d minum dingin2. Tempatnya anget klo dekat perapian :)",positive
"warung setiabudi ini menawarkan cafe yang cocok untuk tempat nongkrong bersama teman-teman, tempat ini juga paling cocok untuk pacaran karena ada live musiknya juga, temapt yang berada di tengah-tengah kota bandung yang strategis untuk ditemui ini memang menyajikan camilan serta makanan berat dan tentunya yang khas ialah berbagai olahan surabi manis dan asin dengan diberi berbagai macam topping yang enak",positive
"surabi disini emang terkenal banget di bandung, rasanya ok, tempatnya ok ya walaupun seringnya penuh bgt, tapi asik untuk sekedar nongkrong malam disini bareng temen"" gengs kalian",positive
"surabi di sini paling enak. kalau udah jam 8 malem siap2 antri panjang dan rebutan tempat. menunya banyak. mau yang asin or manis semuanya ada. tempatnya agak panas, karena effect dari panasnya arang. cuma suasana tidak seperti waktu dlu pass kuliah :)",positive
"Waktu sampai di depan warung sedikit bingung dengan jumlah kendaraan yang parkir. Ternyata setelah pesan makan dan minum, terus menunggu agak lama dikit, jawaban kebingungan itu terjawab oleh enaknya surabi yang disajikan. sedikit saran,untuk yang belum biasa makan surabi,lebih baik pesan surabi manis,kalau surabi selain yang manis rasanya sedikit diluar ekspetasi. kalau ada waktu pasti ke warung ini lagi.",positive
Lokasi dekat dengan cihampelas walk. banyak mahasiswa yg ngerjakan tugas kuliah disini. ada juga sambil menunggu motor nya di servis karena bersebelahan langsung dengan dealer honda.,positive
"tempatnya ramee bangett, untuk dapatin tempat duduk ajja sedikit sulit dan harus siap"" bergantian mengantri dengan yang lainnya. menu makanan yang bervariasi dan untuk harganya cukup murah. hanya saja, untuk pemesanan serabinya sedikit lamaa dan harus menunggu. saat kesini pada malam hari dan ada live music nya membuat tempat ini menjadi sangat ramai dan seru :)",positive
"Warung surabi ini sdh cukup lama berdiri ada bbrp cabang saya lihat di sudut2 kota Bandung.Tempatnya cukup sederhana dengan bangku2 tempat duduk ala warung. Menu nya selain aneka macam serabi kini banyak pilihan dibanding dulu. Harganya cukup murah cocok untuk ukuran kantong pelajar dan mahasiswa, maka jangan heran bila kelompok inilah yg paling banyak dtg. Untuk pemesanan kini kita tinggal. Lanjutan",positive
"Makanan standard ""Surabi"" namun tempat yang asik untuk santai. Namun sayang, masih management simple dan harus siap2 sabar menunggu hingga 1 atau 2 jam untuk simple surabi.",positive
"Saya memesan Mie Bakso seharga Rp 13.500,- dan Surabi Fla Coklat dan Surabi Ijo Kelapa seharga Rp 4.000,- Saya mengambil tempat duduk di lantai 2. Ada live music di malam hari. Nongkrong lama sambil ngobrol dengan teman menjadi lebih asik disini. Tapi memang harus sabar menunggu pesanan tiba karena ramainya pengunjung",positive
"lama sekali saya gak makan yg namanya surabi, keluar hotel gak jauh dari situ ada terdapat tempat makan surabi, cozy, ada live musicnya juga, surabinya enak2 , recommended lah",positive
kl ke bandung kurang lengkap rasanya jika tidak mampir ke surabi enhaii yang bertempat dijalan setiabudi ini. lokasi warung cukup mudah dijangkau karena persis dipinggir jalan utama dan yang terlebih lagi cita rasa yang membuat traveller ketagihan untuk kembali lagi. selain itu pilihan topping juga cukup bervariasi dan yang menjadi salah satu favorite saya adalah surabi oncom.,positive
"Tempat enakbuat bersantai sambil makan cemilan yg cukup mengenyangkan, tp anda harus bersabar karna tempatnya cukup ramai jd untuk duduk pun kita harus antri. Disini saya suka surabi oncom ayam nya :)",positive
"Surabinya enak,banyak aneka rasa,tetapi cukup lama menunggu sampai makanan disajikan,dari Segi harga cukup terjangkau lah,tempat ini juga nyaman buat nongkrong bareng teman-teman jika anda ingin ke Bandung",positive
setiap ke bandung pasti harus kudu kesini. Enaknya dateng malam hari kesini sambil menikmati udara sejuk bandung tapi pasti nya harus rela mengantri tempat duduk karna selalu ramai. Menu favorit saya surabi keju susu.,positive
"Makan di restoran ini berarti ujian kesabaran. Untuk menikmati makanan jajanan jenis surabi di restoran ini, terutama saat malam minggu atau hari libur, perlu kesiapan mental dan kesabaran yang ekstra. Ada sederet ujian kesabaran yang harus ditempuh lebih dulu sebelum bisa mencicipi surabi yang kelezatannya menjadi buah bibir masyarakat, dan menjadi salah satu tujuan wajib wisata kuliner bagi wisatawan yang. Lanjutan",positive
"Tempatnya selalu rame apalagi di akhir pekan dengan menu andalan surabi dengan berbagai topping. Tempatnya juga nyaman, cocok buat nongkrong",positive
"surabi nya enak dan bikin kenyang banget !! pilihan rasanya lumayan banyak dan ada juga baso kampung yang sedap. saya dan kerabat tidak pernah kesini menjelang isya karena malas antri dan lama. saran saya kalo kesini mending sore"" agar bisa nyaman makan. menu favorit surabi spagheti dan keju. kamar mandinya bersih ada tempat shalat juga yg bikin nilai plus.",positive
"Suasananya ramai saat kesana sabtu malam, dengan pilihan makan sambil lesehan atau di meja, aneka makanan dan minumannya juga relatif bervariasi. Menikmatinya sambil dihibur oleh live music yang disediakan oleh pemilik tempat.",positive
Di sini menu serabinya macem2. enak deh kalo buat ngemil di malam hari. meski menunya cumak serabiii tapi ramenyaa boo. giling dah. padahal di sederetnya ada yang jualan2 serabi juga. tapi ini yang paling ramee. mantapp kudu di cubiii.,positive
"Belum lengkap ke Bandung kalau belum mencoba makan surabi disini Menu utama di sini adalah surabi dengan berbagai macam pilihan topping baik yang asin maupun manis. Selain surabi, terdapat pilihan lainnya dari yang ringan hingga berat yang dapat dijadikan menu makan malam. Minuman pun tersedia berbagai pilihan lokasi sangat mudah dijangkau di jalan utama ke arah Lembang.",positive
Bagi para pecinta kuliner khas indonesia lu pada harus mampir ke salah satu kedai hits di bandung yakni warung surabi pasalnya kedai ini memiliki berbagai macam varian surabi bukan hanya itu kedai ini pun memiliki life music disetiap malamnya jadi buat kamu yg mau nongkrong2 cantik bagus banget buat dateng kesini.,positive
"Surabi NHI Bandung , jika snda ke bandung tidak coba nya , sayang lahhh. Surabi nya macam -macam rasa . Chese , kacang, coklat dan lain2 . Pokok nya enak lahhhh",positive
"baru kali ini saya makan surabi enhaii. saya membayangkan rasanya akan seperti kue serabi lain yang pernah saya makan seperti serabi solo atau serabi yang menggunakan santan, namun ternyata surabi enhaii jauh lebih tebal dan besar. anda dapat memilih berbagai variasi rasa seperti coklat, keju, susu dan lain-lain. warung surabi ini selalu ramai dikunjungi para penikmat kue. saya pribadi lebih. Lanjutan",positive
"Surabinya disajikan dengan aneka toppping, mulai dari yang manis seperti cokelat dan stroberi, sampai yang gurih seperti keju dan ayam. Tempatnya cukup nyaman, dan ada beberapa kios makanan lain yang bisa jadi alternatif kalau tidak ingin makan surabi. Favorit saya adalah surabi ayam sosis spesial yang disajikan dengan krim ayam yang enak.",positive
"surabinya macam-macam.bisa pilih yang disuka, tapi rameee banget. lokasinya sudah pindah ketika kunjungan juli 2015 kemari tapi tetap saja harus antri cukup lama klo ingin menikmati surabinya.",positive
"Pertama kali ketempat ini sekitar 3 tahun lalu saat Pertama kali mengenal peganan khas Bandung ini, langsung suka. dan setiap kali kesini menjadi satu keharusan. tidak lengkap klo ke Bandung gak kesini. the one and only. a great taste, many choice, friendly staff, reasonable price, live music. its completely bravo!!!",positive
"Kreatif. Kenapa tidak, mereka mampu membuat makanan tradisional dengan berbagai kombinasi rasa internasional. Surabi rasa pizza, strawberry, dan keju pun tersedia disini. Rasanya ? enak! Meskipun kesukaan saya tetap rasa original, surabi dengan gula merah.",positive
