content,polarity
"Pertama kali ke sini diajak sama temen. Katanya sih makananya enak, sampe kita ajak temen-temen dari luar kota makan disini. Makanannya standar sih ga terlalu istimewa, cukup buat kenang soalnya porsinya terlalu banyak kalo untuk saya.",positive
Makanannya enak dan ada pilihan untuk tingkat pedasnya. Salah satu pilihan untuk mencari makan malam dengan harga standar.,positive
"Dulu saya sering mampir ke rumah makan ini,karena favorit saya bacuk. Tapi sekarang menu per babi an nya sudah di hapus dari daftar. Sehingga andalan menunya hilang ( MENURUT SAYA ). Jadi rumah makan ini gak beda dengan rumah makan yang lain,tidak ada yang istimewa.",positive
"Mengapa diberi nama ""Legoh"" saya masih belum tau. Kalau dicari artinya, kata legoh berasal dari bahasa Indonesia Medan yang artinya 'penelan manis dan pahit' dan dapat dipakai sebagai nama orang. Untuk rumah makan ini, nama Rumah Makan Legoh saat ini belum dipampang dalam bentuk papan nama, sehingga pengunjung yang belum tau, sebaiknya cari saja melalui alamat Jl. Sultan Agung 9. Lanjutan",positive
"Salah satu tempat makan favorit gw . tempatnya nyaman . Makananya gak usah diraguin lagi , sedap yabes ! Harus coba banget klo ke bandung . Salah satu signature dari tempat makan ini adalah keju aromanya . Beuh asli enak!",positive
"Nasi goreng hitam yang ditawarkan oleh rumah makan ini jadi salah satu must have to try food for everyone. Dengan porsinya yang cukup banyak, cukup memuaskan perut yang terasa lapar di siang hari.",positive
"Pertama kali tahu tempat ini, direkomendasi sama adikku yang hobi kuliner. Pas waktu dinner, ada di area deket Legoh, akhirnya kami mencoba mampir ke sana. Makanannya menurut kami, so so lah ya. kebeneran waktu itu saya membawa 2 orang anak saya, jadi mereka mencoba nasi goreng kornet keju dan nasi goreng daging asap. Hasilnya, mereka suka tapi ga pakai banget. Lanjutan",positive
"Pertama kali cobain makanan khas Manado ditanah Sunda. Rumah makan ini menyediakan menu babi. Ruangan tidak ada yang ber-AC, tapi dipisahkan oleh sekat antara ruangan untuk merokok dan tidak. Untuk harga makanan yang ditawarkan sangat bersahabat. Pas kedatangan perdana ini saya order nasi goreng roa (masuk kategori best seller, dan tingkat pedasnya ada beberapa level) disajikan dg telor ceplok dan. Lanjutan",positive
"Berada di pinggir jalan yang terkenal dengan distronya, mereka memiliiki menu yang bervariasi, keju aroma dengan ice cream bisa menjadi dessert yang enak tapi tidak to much, selain itu saya sangat suka masakan tahu kemanginya. sangat wangi dan lezat.",positive
"Pertama kali diajakin teman ke sini, semenjak itu, hampir setiap ada teman yang ke Bandung pasti diajakin ke sini juga. Soalnya menunya banyak, harganya murah, dan rasanya maknyus.",positive
