content,polarity
"Awalnya melihat tempatnya diparkiran terminal angkutan kota St.Hall agak kurang sreg untuk mencobanya, tapi melihat ramainya pengunjung maka saya simpulkan pasti ada ""sesuatu"" ternyata betul, cita rasanya berbeda dari Rm.Padang lainnya. Harganya juga cukup terjangkau sekali. Bisa disaingkan dengan Rm.Fajar yang di jalan dalem kaum.",positive
"Bismillahirrahmanirrohim, alhamdulillah segala puji bagi allah yg telah memberikan nikmatNya kepada semua makhlukNya termasuk nikmat makan, kali ini makanan kegemaran saya berupa dendeng ada dimenu rumah makan minang malah dicubo ini yg lokasinya agak kedalam tepat didepan stasiun pintu belakang, dengan susah payah kami mencari rumah makan ini alhamdulillah akhirnya ketemu untuk rasa benar2 terasa minang aslinya karena memang pemiliknya. Lanjutan",positive
"Sebelum puasa 2016 kami mampir kesini. Dendeng batokok cabe ijo dan ikan sale cabe ijo nya luar biasaa. Susah dilawan RM gagrak Minang lainnya, bahkan oleh para bintang kelas berat spt Pagi Sore, Sederhana, Bundo Sati, Garuda, Surya dll di Jkt. Wajib dikunjungi oleh setiap pencinta masakan Minang",positive
"dendeng balado lado ijo dan ikan sale, itu menu juara! segar, belum pernah menemukan di warung padang manapun. pantaslah bila disebut sebagai makanan padang terenak di bandung. tempatnya memang agak 'nyempil', tapi warung makannya bersih. harus ke sini bila anda ke bandung",positive
"Saya dapat rekomendasi ini awalnya dari Saudara waktu ke Bandung tahun 2010. Diajak makan kesini, dari beberapa warung nasi padang yang pernah saya coba di Bandung waktu itu, ini adalah yang paliang lamak (paling enak). Waktu kemarin saya ke Bandung, pas mau jam 12.00 maka kondisi sudah ramai dengan pengunjung yang makan siang. Kondisi memang tidak terlalu luas kayak Restoran,. Lanjutan",positive
"emang katanya paling enak, saya dendeng bumbu hijau nya. terasa bumbunya segar dan lezat. ayam nya pun empuk, serta minuman teh telur nya. memang tempatnya kecil dan sempit. sampai ngantri ke depan tokonya. jam makan siang adalah paling penuh. jadi datanglah agak pagi. kata orang padang nya sendiri sih, makanan minang paling otentik di bandung.",positive
"Restoran padang ini, menunya sangat berasa, lokasinya dekat dengan stasiun bandung dan pasar baru. Paling enak makan disini saat makan siang, menu andalannya adalah dendeng lado hijau.",positive
"Jika anda pencinta masakan padang, jangan lupa untuk mampir ke rumah makan malah dicubo ini. rasanya sangat enak dan sambalnya juga pedas, menu favoritnya adalah dendeng.siapkan perut kosong anda ketika akan datang kesini karena dijamin akan membuat perut kita kenyang.",positive
"keseluruhan ok.rendangnya, ayam gulai, dendeng batokok sambal hijau serta cincangnya.istri sampai ketagihan",positive
"Denden batoko sambal hijau nya biasa saja. Rendang nya lumayan, sambel merahnya lumayan, gulai cincang nya yang paling enak disini, overall average.",positive
"Walaupun tempatnya berada di terminal angkot dan agak sempit, namun restoran ini sangat bersih. Dan saya jamin rasa makanannya mengalahkan ketidak indahan pemandangan sekitarnya. Makanan unggulan di restoran ini adalah dendeng batokok sambal hijau. beberapa orang lebih suka sambal merah tapi buat saya sambal hijaunya sangat segar dan tidak bisa ditemukan di tempat lain. Selain itu ada juga ikan asap. Lanjutan",positive
"Setiap makan di RM ini, menu yg tidak akan terlewatkan adalah dendeng batokok cabe hijau, yang membuat ngiler. sudah menjadi langganan. namun sayang, sekarang ini jadi jarang makan di sini, karena dipisahkan jarak yg lumayan jauh",positive
"Ketika Sahur saya pengen sahur dengan menyantap dendeng khas RM Malah Dicubo yang jadi favorit saya ketika dulu masih kuliah di Bandung, Dan akhirnya kesampaian,,Ketika sampai di tempat ternyata ramai orang yang ingin sahur disana, untuk saya cuma sendiri jadi tidak perlu antri lama.hehe Saya memesan dendeng dengan tambahan lauk ayam bakar dan perkedel kentang,, Sungguh sangat nikmat dan lezat. Lanjutan",positive
"Rasanya najong abis! Bumbunya ga setengah-setengah. favorit menu ayam gule, ayam balado, daging cincang, ikan salai, dendeng lado ijo!!",positive
"Mantap! Menu makanannya juara dengan harga yang terbilang murah. Tempatnya sedikit tersembunyi di daerah ST Hall Bandung (dekat terminal sisi pasar baru) sehingga sedikit sulit kalau tidak mengenal daerah sana. Tapi makanannya oke-oke terutama dendeng, cabe hijau atau cabe merah sama-sama oke. Jangan lupa pesan emping/kerupuk kulit yang disiram kuah jika kesini",positive
"rumah makan padang ini kecil sebetulnya dan biasa banget.sudah bertahun tahun seperti itu,tapiiiii.selalu ramai.disini paling saya suka dendeng batakok lado hijaunya.juaraaaaa.sambal lado hijaunya ada potongan tomat hijau kecil.dendengnya juga empuk.wah,enak banget.selain itu ayam kalio nya juga enak.ayam gorengnya jg enak,gulai kepala ikan nya jg enak.tapi buat saya yg paling juara dendeng batakok lado hijaunya.",positive
"Gulai ayam yang enak bisa didapatkan di sini. Mm~. lokasinya strategis, dan untuk kalangan menengah. Bermacam-macam variasi makanan khas Padang dapat ditemukan di sini, spt rendang, gulai ikan, balado, dll.",positive
"Rumah Makan Malah Dicubo menyediakan menu masakan Padang. Menu favorit saya adalah dendeng batokok lado ijo + teh telur. Dendeng batokok yang lembut seperti gepuk dengan kuah minyak dan lado ijo yang menimbulkan sensasi tersendiri, selera makan menjadi bergairah. Enak!!!",positive
