content,polarity
Saya dan keluarga jadi ketagihan makan di sini. Saya dan anak saya suka makan bimbimbapnya. Tp ya saus pastanya tidak saya kasih buat anak. Karena agak pedas. Ada menu bimbimbap korean spicy wings. Ummh. Yummy. Selain itu. Budae jigae nya muantaappp. Kalo minumnya banana milk pakai jelly. Wajib coba yah! Yakin deh ketagihan.,positive
"Makanan di mujigae termasuk bisa di terima lidah Indonesia. Korean fried rice dan ramyun nya enak. Toppoki nya biasa aja. Tempatnya enak, bisa pilih playlist sendiri.",positive
Tempatnya nyaman. Kita bisa makan smbil nonton film drama korea atau korean pop. pesannya pake aplikasi di ipad yg ada di tiap2 meja. Makanan dan mnuman koreanya cukup variatif dg harga yg standar kisaran 30-60rb untuk makanan. 25-30rb untuk mnuman. Tp karen sy pernah merasakan kimchi langsung di negaranya. Jd menurut saya rasa kimchi di sini kurang nendang. Hhe Tp. Lanjutan,positive
"Kalau di ajak ke makanan korea , dad mom selalu pngen nya kesini padahal biasa nya dad mom ga begitu suka makanan korea tapi untuk yg satu ini mereka demen banget dan ga pernah ngomel abis makan di sini",positive
"Buat kamu yang suka korea rasa Indonesia, Mujigae is the best place to visit. Menu yang harus di coba adalah bibimbap! (well, this one is their specialty). Rasanya pas banget di lidah orang indonesia. Saos gochujang nya nendang. Apalagi kalo dimakan pake mozarella cheese. Enak banget. For you who doesn't like bibimbap, mungkin bisa di coba menu doshirak. Murah, banyak,. Lanjutan",positive
"Menu makanan yang biasa saya pesan adalah toppoki dan bulgogi. Yah walaupun daging untuk bulgogi ngga sebanyak kaya makan shabu2 tapi lumayan kok. Kalau pengen irit mending ambil package aja yang ada bulgoginya hahaha~ Bisa request juga lho minta diplay MV korea, tapi syaratnya harus order dulu baru boleh. Untuk payment kayanya semua bisa deh baik tunai, credit/debit, tapi saya. Lanjutan",positive
"Berada di Cihampelas Walk, restaurant korea yang rasa makanannya lumayan enak. Tempatnya lumayan bagus, menu dan pemesanan makanan menggunakan Ipad yang tersedia di setiap meja. Menu favorit kami adalah korean fried chicken nya.",positive
"waktu saya kesini, saya harus nanya konfirmasi nama dan kenyataan. saya memesan ramen, nyatanya ramennya tidak istimewa. seperti bakmi kebanyakan. tempat bagus sekali. menarik. ada foto booth. mampir dech",positive
"masakan korea rasa lidah orang Indonesia paling enak ayam nya pedes dikit, manis dikit ramennya biasa saja minum juga ya itu2 saja variasinya bisa pilih lagu sendiri untuk request tinggal pilih di ipad dan bisa foto2 di ipad yang nanti nya di share di layar besar",positive
restorannya keren banget. pesananan menggunakan aplikasi di ipad yang disediakan. bisa pesan vidio langsung dari ipad dan ditampilkan di layar dinding. semuanya all about korea.,positive
