content,polarity
"Tempatnya nyaman pegawainya juga ramah. Kopinya enak, my favorite creme brule + pisang goreng keju coklat! Mantap abis",positive
"Kofi nya tebaiks dengan pelayanan terbaiks sehingga hasil seduhan menentukan ,rekomendasi untuk para penikmat kopi",positive
Tempat tenang.kopi wangi.no sugar.enakkk.makanan juga. Ramah yang melayani.cobain saja lokasi tengah kota.menyenangkan.,positive
"Tempat nya oke, dilokasi yg oke juga. Ga harus jauh ke atas tapi suasananya enjoy,. Kopinya apa lagi mantap",positive
"Kami sedang dalam perjalanan jauh dan menangkap kedai ini saat melintas. Tempat yang sangat tepat dan hangat untuk singgah. Saat masuk kami disambut bar dengan mesin hitam yang cantik. Masuk kedalam ternyata banyak ruang yang nyaman. Dekorasinya cantik, lampu2 yang digantung, tanaman2 mungil dan rak buku dengan buku2 asik. Kami semua suka dengan apa yang dipesan. Kopinya enak! Ini pas. Lanjutan",positive
"Kedai kopi yang sangat menarik otentik bangunan dengan pilihan kopi lengkap, cocok untuk menghabiskan waktu di saat senggang",positive
"Pas ke sini sempet nyasar, soalnya dari Jl. Cibadak udah pindah ke Jl. Aceh No. 40, Bandung. Tempatnya kaya rumah mungil gitu, di terasnya udah ramai sama pengunjung yang lagi ngopi2. Pas masuk ke dalam, langsung ketemu sama meja panjang tempat para barista. Mereka ramah-ramah banget, kalo lo suka ngopi, bisa banget ngajak ngobrol mereka. Bahkan lo ditanya, kopi lo. Lanjutan",positive
Tempat ngopi asik di bandung cocok banget buat ngerjain tugas atau cuman sekedar nongkrong nongkrong.akses nyapun mudah dijangkau tidak jauh dari pusat kota.kopi nya juga enak enak recomend pokonya,positive
"Good place, good taste, good barista, and lowa price Recommended! Kedai kopi ini berada di jalan cibadak No 237, 100meter dari cibadak street kuliner. Disini pengunjung tidak hanya menikmati sajian kopi nya saja tetapi bisa sharing langsung dengan barista untuk cara penyeduhannya selain kopi kedai kopi ini juga menyediakan minuman non coffee yg juga recommended. Ketika anda berkunjung/berlibur dgn. Lanjutan",positive
"Manual brew cafe dan mesin espresso la marzocco, kopi beragam dr mulai yg lokal hingga luar negeri tersedia, cozy place",positive
