content,polarity
"semua meja punya view yang kece deh kayaknya, soalnya dikelilingi kaca gitu. Ada lift, jadi g usah capek-capek naik tangga. Hehhe. ini poin plus banget buat pemalas macam saya kan. XD Tapi dari sisi rasa sih so-so aja, nothing special. Yang agak minus sih shabu-shabunya dagingnya tipis banget yakkk :(",positive
"Saya datang ketika liburan panjang, dan ke sini untuj dinner tgl 11 malam. Mungkin lagi ramai2nya, jd banyak menu yg habis. Dan saat itu hujan, banyak laron. Gak ba menyalahkan resto nya jg karena laron kan hidup bebas. Tapi yg disayangkan dg resto sekelas ini, pelayanannya masih lama. Kami menunggu makan cukup lama untuk beef donburi saja, kalau di warung. Lanjutan",negative
"Diajak kesana untuk dinner ulang tahun. Tempatnya lumayan jauh sih keatas, tapi perjalanannya akan kebayar sampe disana. Dari luar ngga keliatan kayak restaurant. Soalnya tempat makannya ada diatas. Suasanya cozy banget dengan pemandangan sama interior ruang yang nyaman. Ngga cuman cocok buat yang dateng buat nge date tapi tempat ini juga cocok buat yang mau ngajak keluarga. Terbukti dari lumayan. Lanjutan",positive
Never thought the view will be so romantic at night . Pemandangan yang bagus banget saat malam . Lebih disarankan buat dinner romantic sih hehe Makanan disini cukup worth it buat makanan jepang . Menu pun cukup lengkap di tambah viewnya yg keren banget . For me takigawa salah satu recommend place to go with ur family or ur bf/gf. Lanjutan,positive
"Tempat yang menawarkan pemandangan kota bandung ini sudah saya kunjungi sebanyak 2 kali. dari kunjungan saya yang pertama sampai yang kedua sabtu malam kemarin tempat ini selalu ramai. wajar sih karna mungkin saya memang datang disaat weekend. makanan yang disediakan disini adalah japanese food, seperti susi dan lain-lain yang kisaran harganya mulai dari Rp 12.000-Rp 250.000. cukup mahal memang, tapi. Lanjutan",positive
"Ingin merasakan menyantap hidangan cita rasa Jepang di atas puncak langit sambil memandangi kota Bandung, datang deh ke Takigawa Meat Bar in Teh Sky, pasti Anda puas menikmati kota Bandung. Menu makanannya sendiri lebih banyak di dominasi oleh menu Jepang dan tentu saja enak jika Anda pencinta masakan Jepang. View bagus, udara sejuk dan staff restoran ramah",positive
Kita datang sekitar jam 7.30 pm. Jd citylight nya udh keliatan smua. Sangat menyenangkan . Kita pesen sushi dengan udara dingin yg menusuk.meskipun sempet si mbak nya salah kasih satu menu orderan dan sdh terlanjur kita mkn. Tp smua menunya enak. Ga sia2 bayar orderan yg salah datang,positive
"Makanan dan minumannya recommended, kita bisa melihat kota bandung dari atas, karna restoran ini terletak di bagian atas kota bandung, yaitu dago pakar, pemandangan yg kita lihat sangat bagus, apalagi ketika malam hari. Ketika malam hari cuacanya sangat dingin. Tetapi untuk harga makanan dan minumannya cukup mahal, tetapi tetap puas dengan rasanya.",positive
"Baby Octopus nya kecil. gak berasa,,, memang untuk view sih keren bgt. yang bagus di lantai atas tp mmg ada minimun order nya. Overall bagus lah.",positive
"Ntah berapa kali saya sudah bolakbalik ke sini. Krana resto ini tempat favorit anak saya yang berumur 9 th. :D. Padahal saya bukan penikmat makanan Jepang. Tapi dengan tempat makan se istimewa ini, tak pernah membuat saya bosan. Terlebih dimalam hari, ,, kelap-kelip lampu kota makin membuat kota bandung sungguh indah & sexy. :D Hanya satu penyesalan saya. dengan tempat. Lanjutan",positive
saya berkunjung kesini waktu sore hari saya baru mengetahui bahwa ini merupakan 2 restoran yang bergabung menjadi 1 untuk takigawa menu sangat bervariasi namun untuk meatbar menu sungguh2 sedikit tidak mencerminkan restoran steak yang wah rasa untuk takigawa cukup enak namun untuk meatbar sangat standar,positive
"Ketika baru buka,ini adalah salah satu tempat favorit untuk menikmati makanan jepang terutama yg ada di TSM , kini sdh tutup.Karena harga sdh tidak sebanding lg dengan rasa, dan penyajian yg sangat lama.Sampai keponakan yg kelaparan sdh tidak tahan, pdhal resto tidak sedang penuh.Kami melihat orang lain pun sama, mrk tidak senang krn harus menunggu sangat lama. Kami kapok untuk. Lanjutan",positive
"Better kalau kesana malam, pricey nya terbayar dgn view at night Makannya hrs naik LIFT ke lt. 5 View nya dapet bgt. makanan OK spt cabang2 lainnya cuma penyajian agak lama pdhl udah jam 12 lewat makannya Pricey. sbnrnya ga terlalu jg si depend on order aja Kamameshi n fusion sushi platter must try",positive
"Untuk menuju restoran ini, dari parkiran naik lift sampai lantai restoran. Restoran ini menyajikan makanan Jepang dan berbagai jenis daging.",positive
"Hari jumat tanggal 1 agustus saya bersama keluarga makan malam di takigawa dago ini,,suasana nya cukup menyenangkan,,kebetulan saya sudah beberapa kali makan disana,,kebetulan udara bandung lagi bagus sehingga pemandangan lampu-lampu terlihat indah,,untuk makanan saya kategorikan lumayan,,tidak ada yang terlalu special kecuali pemandangan lampu kota di waktu malam.semoga didepan kualitas makanannya bisa ditingkatkan,,",positive
"Menurut saya resto ini punya pemandangan terbaik di Bandung. Kita bisa memandang 270 derajat dari sudut restoran. Tempatnya yang tinggi membuat pemandangan tidak terhalang. Dari parkiran kita naik lift sampai lantai 5! Restoran tertata model Jepang, bisa duduk di luar, atau di dalam supaya tidak dingin. Makanannya lumayan enak, tapi harganya mahal.",positive
"Saya bersama keluarga makan siang di sini , di lantai 5 dan di sebrang kami tepat area kitchen . Kami sgt tidak nyaman , karena staff kitchen nya sangant berisik sekali dan yg mereka bicarakan itu dengan bahasa sunda yg kasar dengan suara lantang . Makanan cukup baik, tempat menunjang , tapi dr kenyamanan nya tidak ada nilai nya. Sudah. Lanjutan",negative
