content,polarity
"yammmmiiiii. tempat makan bakso yang sangat cocok bagi anda pecinta bakso. bakso panghegar sudah berdiri sejak lama. dan di teruskan secara turun temurun, dan rasa baksonya sangat ueeennaaak tenan.",positive
"Baso Panghegar terletak di jalan Holis, dekat Soekarno Hatta. Baso ini sudah berdiri sejak lama. rasa masih terjaga sejak dulu. Kandungan daging menjadi utama dalam baso. sehingga rasa nya menjadi luar bisa. Untuk yang ingin makan beramai ramai, tempat ini menjadi pilihan, karena bangku nya banyak dan luas. buat pecinta baso, tempat ini wajib dicoba.",positive
"Disini baksonya banyak jenis, gampang banget milih. Tapi, harus cepet cepet belinya karena lakunya cepet banget. Top",positive
"pas makan rasanya biasa saja sih gak ada yg spesial rasanya dgn harga 35rbu . Masih kalah rasanya sama mie baso lain, tapi gak buruk2 amat koq. Cmn sebalnya masa tamu dtg pegawainya ngerumpii semua siih . Nilai plusnya es jeruknya enaak",positive
"Terkenal dgn baso sapi asli yg diolah sndiri. Tapi skrg tersedia berbagai macam makanan,mulai dari baso sapi asli,ramesan,makanan yg dimasak langsung,hingga ke otak2 dan rujak buah beku yg segar. Tampat cukup luas dgn berbagai pilihan tmpat duduk.",positive
Jarang makan disitu bau nya aja udh bosen tiap hari. . top lah pokok na mah asal ulah nganjuk,positive
"Untuk para wisatawan luar bandung, harus coba ke tempat ini, karena baso nya sudah terkenal, dan memang enak, tempatnya biasa reservasi atau datang langsung juga bisa, ada juga lesehan(saung), makanannya beraneka ragam",positive
"Untuk rasa makanan disini cukup enak, tapi tidak ada yang istimewa. Untuk tempat sangat luas dan bersih.",positive
bagi penggila baso tidak akan lengkap rasanya bila belum nyobain baso panghegar karena sudah terkenal dan juga terkenal karena rasanya yang maknyooss tetapi mungkin anda harus merogoh uang sedikit dalam karena harganya sedikit lebih mahal dari tukang baso yang ada.,positive
"Rekomendasi tempat makan keluarga dengan suasana yang cukup nyaman dan makanannya juga enak, terlebih lagi bakso nya yang memang sdah terkenal disini.",positive
baksonya enak bgt. rekomendasi bagi yang ingin wisata kuliner di bandung. lokasinya juga bagus dan tenang,positive
