content,polarity
"datang trus hujan, trus makan iga bakar rasa iga kuah asem manis. Minta lilin krn banyak lalat dikasih lilin pake tissue yg api nya jadi besar sekali. Kenapa tidak pake api petromak saja dibandung banyak kalau alasannya angin. Ketan habis. jd deh cuaca dingin dengan pemandangan bagus ini tidak terlalu menyenangkan. Lain kali tingkatkan pelayanan ya.",positive
"Saya makan siang di sini bersama keluarga,. makanan khas sunda, rasanya cukup enak dengan suasana alam dibawah pohon rindang dengan pemandangan danau yg indah, anak2 senang sekali memberi ikan di kolam/danau. puas foto2 di tempat ini.",positive
"Pertama kali saya kesini bersama keluarga, perjalanan cukup jauh masuk ke dalam tetapi penginapan cukup bagus hanya saja banyak nyamuk",positive
"tempat nya nyaman dengan view ke kolam, sejuk, unik juga, kalau buat rasa sih enak yah kalau pengen irit untuk 4 orang mending ambil paket. kalau harga yaa emang mahal standar harga hotel/resort deh.",positive
"Long weekend kemarin (7-8 Mei 2016) kami rencananya mau menginal di hotel ini, namun kamar ternyata sdh penuh semua. Setelah pencarian hotel yg cukup lama karena macet, maka kami putuskan utk makan siang saja di restoran ini karena kami tidak kebagian kamar di hotel ini (amat disayangkan). Tapi kekecewaan tersebut sedikit terobati setelah kami makan di restoran Imah Seniman ini. Lanjutan",positive
"standar, lumayan jauh kalo jalan dari bbrp cluster tp ada kok jemputan nya., tp buat jemput aja deh kaya nya.kalo balik ke tempat masing2 nginep inisiatip nya pada kurang.",positive
"Ketempat ini weekend kemarin, menuju ke lokasi nya lumayan macet 2 jam lebih, kami kesana ber 8, dan tiba disana langsung order yg paket untuk ber 6. Karena takut kurang kami order tambahan nasi lagi 2. Lauk2nya ditaruh di tampah dengan lumayan banyak isi lauk dan sayurnya, dan nasi untuk 8 porsi di bakul yg ternyata isinya banyak banget. Nasi. Lanjutan",positive
"Saya berlibur bersama keluarga dg 3 anak ke Imah Seniman, bener2 perpaduan villa, alam dan gallery yg elok. Interior ruangan gaya Jawa kuno, dengan ranjang berkelambu yg sangat mengesankan (teringat masa kecil masih pakai kelambu hihihi.) lantai kayu yg adem. kamar mandi yg luas dg bath tube. Danau yg indah dg saung2 artistik, restoran yg artistik dan menu2 yg unik,. Lanjutan",positive
Di Imah Seniman kita bisa bersantap sambil menikmati nuansa Sunda. Tempat ini cocok bagi wisatawan yang berkunjung ke Bandung.,positive
"Tempat penginapan yang luas dan masih Asri. tapi pas berenang dingin banget. maunya ada sedikit fasilitas air panas kolam renangnya, tuk makanan sarapan pagi pas di mulut tetapi cepet dingin karena udara yang begitu dingin. bravo Imah Seniman Resort",positive
"menyediakan masakan sunda yang cukup enak, bisa duduk lesehan & di meja. tapi agak banyak nyamuk karna tempatnya banyak tanaman seperti hutan. selain tempat makan, ada penginapannya jg",positive
"Suasana pedesaan terasa disini, banyak tanaman padi dan anda bisa sewa sampan untuk berkeliling di danau buatan, hanya saja untuk makanan kurang enak dan agak mahal",negative
"Salah satu tempat makan dengan suasana alam yang lumayan bagus. rasa makanan juga enak walaupun harganya diatas rata2. Tempat makan menyerupai rumah2 kayu di pedesaan, sangat tradisional. Selain tempat makan, disini juga menyediakan villa untuk menginap, suasana malam pasti sangat bagus. sayang saya kesini saat makan siang.",positive
"Kamar cukup nyaman, makanan betul2 otentik cita rasa tatar sunda. Banyak jenis aktivitas yang dapat dilakukan, ATV, horse riding, dll. Rate kamar yg terhitung cukup murah. Sayangnya sempat ada kendala teknis seperti air yg tidak mengalir sehingga tidak bisa mandi.",positive
"Siapkan payung jika kesini siang hari. Suasananya serasa di desa. makan siang di saung sambil melihat pemandangan pepohonan. Untuk danau tidak sebesar di restaurant lain yang saya kunjungi, tapi tetap ada perahu kecil yang bisa dipakai. Untuk makanan, rasa menurut saya standar. Namun suasananya sangat bagus. Jika ingin makan sambil menikmati suasana pedesaan, restaurant ini saya rekomendasikan.",positive
"Suasananya bagus alami seperti di desa banget pinggir hutan. Kami coba nasi goreng kampung, ayam kahaseupan (ayam asap), jamur bakar, sayur2an. Nasi goreng dengan ebi kering cukup enak. Ayamnya bau asap cair banget jadi kurang disukai. Jamur bakar oke. Cah kangkung porsinya agak sedikit. Harga sedikit di atas rata2, misal ayam kahaseupan Rp 95rb/ekor. Anak2 relatif kurang suka. Kata mereka. Lanjutan",positive
