content,polarity
"Outlet KFC ini selalu ramai pengunjung karena lokasinya sangat strategis di kawasan Bandung Indah Plaza (BIP) terutama saat akhir pekan tiba, mulai dari anak-anak hingga remasa dan dewasa. Menu andalannya tetap ayam goreng yang gurih dan lezat. Karena terlalu ramai kadang-kadang suasananya kurang nyaman, namun pelayanan stafnya cukup cekatan dan ramah.",positive
"lokasinya tepat di bawah hotel jadi tidak terlalu ramai, jadi tidak perlu bingung untuk mencari lokasi tempat duduk.",positive
Resto ini merupakan resto cepat saji dengan layanan yang baik. Tempatnya cukup nyaman dengan penataan ruangan cukup serasi. Menu andalan adalah Ayam goreng. Ayam gorengnya rasanya gurih dan renyah. Apalagi kalau minta yang kering rasanya kriuk-kriuk hanya lebih pedas. Burgernya terasa enak dan nikmat. Rata-rata masakannya enak.,positive
"tempat ini selalu rama, karena mungki sudah banyak fans berat dan rasanya dimana-mana hampir sama (standar KFC). Kelebihan KFC di Bandung pada umumnya adalah sayur dan jagung saladnya yang segar, penyeimbang fast food untuk makanan yang lebih sehat.",positive
Dimana mana standar kfc sama sih menurut gw nothing spesial . buat pencinta makanan junkfood kfc jadi tempat pelampiasan untuk rasa sih standar aja dimana mana sama gak ada yg gimana gimana getooooo .,negative
"fast food, yaa KFC, tapi bedanya. disini ada live accoustic , udah kaya cafe , nice atmosphere anyway",positive
"Selalu padat fast food favorit dari anak muda ampe keluarga, ayam nya enak gede pas buat yang sudah keliling shopping, cuman agak sedikit lama saat mengantri dan nunggu pesanan mungkin karena banyak pesanan kali ya, worth it with pocket lah.",positive
"Kentucky ayam goreng , di BIP jl.merdeka bandung . Ayam nya renyah dan garing enak sihhh. Dan juga di mall BIP tempat bagus .",positive
"Bagi saya yang memang pecinta ayam, makan di KFC bukanlah hal baru. Namun disaat pergi dengan anak kecil, terkadang fasilitas dan letak sebuah tempat makan jadi pertimbangan buat saya. Karena keponakan saya yang berumur 4thn sangat aktif, maka saya memilih KFC di jl. Merdeka ini. Selain luas, fasilitas bermain anak pun tersedia. Sehingga sambil menunggu pesanan, anak-anak bisa main gratis. Lanjutan",positive
"Kalau lagi menginap di Hotel Santika, saya dan keluarga sering mampir ke BIP untuk menikmati makan siang di Restoran KFC. Walaupun KFC BIP selalu ramai oleh pengunjung terutama pada saat akhir pekan namun selalu tersedia tempat duduk di dalam restoran.",positive
"Berada tepat didepan BIP dan disebelah Gramedia Jl. merdeka, sebenernya lokasinya sangat mudah ditemukan, ditambah dengan logo KFC yang super besar setiap yang lewat depannya pasti ngeh dengan resto ini. Parkirannya yang luas, kadang menjadi pertimbangan untuk makan ditempat ini. Cafenya sendiri sebenernya tidaklah terlalu besar, seperti KFC yang lain, dimana ruangan dibagi menjadi 2 ruangan, yaitu smoking dan non. Lanjutan",positive
"Berada di lokasi keramaian sekelas BIP, restoran ayam goreng ini sangat laris. Kadang kala anda akan kesulitan mencari tempat duduk. lokasi tempat duduk ada yang indoor maupun outdoor. untuk rasa makanan ya sama aja kaya KFC yang lain. hehehe,,",positive
"di kfc makanan favorit saya adalah ayam goreng yang biasa bukan yang renyah seperti kebanyakan orang, bumbunya begitu meresap hingga ke dalam daging ayam, tidak pernah bosan makan disini.",positive
"terletak didepan Plaza BIP, Parkiran yang luas dan buka 24 jam, merupakan tempat berkumpul dikala janjian dan tempat pertolongan dikala kelaparan di atas jam 12 malam, karena buka 24 jam so lanjut terus",positive
"tempat yang tepat untuk menikmati malam setelah berkeliling kota, rehat sejenak dengan penganan dan makanan khas sajian kolonel sanders",positive
"yang paling suka makan di KFC depan BIP adalah banyak pilihan tempat duduk dan buka 24 jam, bagi yang kelaparan malam2 dan restoran pada tutup KFC ini pilihan yang tepat",positive
