content,polarity
Makan nasi hainan murah disini lah tempatnya. Saya suka duduk diam disini menghabiskan berbagai aktifitas. Hanya pelayannya kurang ramah. Kalau makanan saya suka,positive
"Kemaren mesen hakau goreng, harga 23 ribu isi 3, seperti kulit pangsit dengan isi kucai dan ayam, dicocol pakai saos, untuk rasa lumayan enak, tetapi porsi nya kecil. Mesen kwetiau penang pedas dan mi penang pedas, harga 35 ribu, sama bumbu tapi beda mie nya aja untuk rasa enak, porsi lumayan kenyang. Mesan Mi ayam rica manis, harga sekitar. Lanjutan",positive
"Saya bersama 2 teman mencari restoran atau kedai yang khusus menyajikan masakah Chinese halal, karena ada 1 teman saya yang Muslimah. Dari hasil pencarian, ditemukanlah Mangkok Ayam Istana Plasa ini, yang lokasinya dekat rumah. Mungkin saya berharap kelewat banyak, karena ketika 1 pesanan kami tibga, yaitu Caisim Cah Saus Tiram, selain penampilannya tidak menarik, ketika dicicipi, tidak ada rasanya sama. Lanjutan",positive
"Tempat makan unik ini berada di area depan mall Istana Plaza Bandung. Sangat mudah mencapainya, saat masuk ke area mall pake mobil kita akan bisa langsung melihatnya. Tempatnya agak sempit. Keunikan disini adalah banyaknya ornamen ayam, termasuk patung ayam yang berjejer di bagian dalam resto. Ada juga majalah-majalah dipajang serta timbangan, ya timbangan . (entah apa hubungannya timbangan dengan restoran. Lanjutan",negative
Kwetiauw penang yang mantap ada rasa terasi yg kuat ditambah seafood jangan lupa dipadu padankan dengan es teh tarik,positive
Rasa sangat biasa saja dibanding gerai2 lain di Bandung yang juga menawarkan mie. Harga di sini juga tidak murah jika disesuaikan dgn rasa yang didapatkan.,positive
"Mencoba alternatif lain makanan chinesse. Cukup bergaram menu makanan yg ditawarkan. Tempatnya sempit dengan interior cina peranakan, cukup nyaman untuk nongkrong apabila tidak sedang penuh.Rasa biasa saja, porsi sedang , harga standar, pelayanan jg standar. Ada wifi .",positive
"Lokasi dibawah, tempat agak terbatas. Coba kwetiauw goreng, minuman yang cocok teh tarik. Porsinya agak kecil",positive
"Kalau ke mangkok ayam yang recomended menurut saya adalah nasi goreng nya. Porsinya sih standard untuk 1 orang dan mengenyangkan. Minuman nya milo dinausaurus, jadi itu milo dan atasnya dikasih bubuk milo. Untuk harga lumayan terjangkau karena ini kan letaknya di mall.",positive
"Harga cukup terjangkau untuk ukuran mall (istana plaza). menu mie ayam, dimsum, nasi lemak, kaya toast, kwetiaw. pelayanan cepat, tempat agak sempit.",positive
"Makan di Festival Citylink karna baru buka bulan April lalu. Makanan banyak, tinggal pilih. Karna saya baru pertama kali datang dan nama restonya Mangkok Ayam jadi pikirannya ke mie , jadi saya pesan mie bebek. Well biasa aja sih rasanya, kalau menurut pendapat saya gak sesuai dengan harganya yang buat mie aja bisa sampe 35rb. Kwetiau nya juga biasa aja.",positive
"Kalo ke mangkok ayam pasti beli kwetiaw siram nya, kalo diliat kyk yg sedikit, tp pas di makan beuh, banyak bgt kalo buat porsi saya, kwetiaw siram nya msh juara disini dr pada di tempat lain, sungguh, tp buat sambel nya ga terlalu pedes, padahal udh make banyak",positive
"Menunggu malll istana plaza buka di pagi hari, sebaiknya mampir di mangkok ayam di pelataran lantai 1 istana plaza, berbagai macam menu pilihan indonesia food, chinese food tersedia. Sebaiknya di coba mie ayam rica sungguh sangat puas sembari minum kopi di pagi hari. Sembari mall dibuka",positive
"Tempatnya ok pilihan menu beragam rata2 chines food, halal, pelayanan cukup cepat. Porsi makanannya pas. Ok for quick lunch.",positive
Resto ini punya Menu yg beragam tetapi mostly chinesse menu dan Halal. Mie ayam jamur dan nasi hainan nya enak dan rekomend. Bebeknya jg enak. Resto ini skrg punya cabang di Istana Plaza. Tp buat saya lbh enak yg di setiabudhi market.,positive
"restonya terletak di bagian belakang Setiabudi Supermarket. tidak terlalu besar tempatnya, cocok untuk ngemil dan makan-makan sore. menu yang ditawarkan lebih ke masakan china dan singapore. Dimsumnya enak, ayam rebusnya wajib di coba, dan bebek panggangnya enak!",positive
